SA2_NAME16	AustCitizen	Sex	persons
Braidwood	0	F	301
Braidwood	0	M	279
Braidwood	1	F	1615
Braidwood	1	M	1676
Karabar	0	F	443
Karabar	0	M	405
Karabar	1	F	3729
Karabar	1	M	3668
Queanbeyan	0	F	1038
Queanbeyan	0	M	1048
Queanbeyan	1	F	4365
Queanbeyan	1	M	4382
Queanbeyan - East	0	F	411
Queanbeyan - East	0	M	441
Queanbeyan - East	1	F	1914
Queanbeyan - East	1	M	2018
Queanbeyan Region	0	F	973
Queanbeyan Region	0	M	1100
Queanbeyan Region	1	F	7358
Queanbeyan Region	1	M	7519
Queanbeyan West - Jerrabomberra	0	F	522
Queanbeyan West - Jerrabomberra	0	M	506
Queanbeyan West - Jerrabomberra	1	F	5828
Queanbeyan West - Jerrabomberra	1	M	5785
Bombala	0	F	127
Bombala	0	M	116
Bombala	1	F	1061
Bombala	1	M	1091
Cooma	0	F	420
Cooma	0	M	557
Cooma	1	F	2926
Cooma	1	M	2831
Cooma Region	0	F	202
Cooma Region	0	M	197
Cooma Region	1	F	1394
Cooma Region	1	M	1494
Jindabyne - Berridale	0	F	449
Jindabyne - Berridale	0	M	528
Jindabyne - Berridale	1	F	2779
Jindabyne - Berridale	1	M	3197
Batemans Bay	0	F	426
Batemans Bay	0	M	432
Batemans Bay	1	F	3489
Batemans Bay	1	M	3346
Batemans Bay - South	0	F	484
Batemans Bay - South	0	M	473
Batemans Bay - South	1	F	3884
Batemans Bay - South	1	M	3518
Bega - Tathra	0	F	452
Bega - Tathra	0	M	455
Bega - Tathra	1	F	3869
Bega - Tathra	1	M	3630
Bega-Eden Hinterland	0	F	399
Bega-Eden Hinterland	0	M	471
Bega-Eden Hinterland	1	F	3961
Bega-Eden Hinterland	1	M	3962
Broulee - Tomakin	0	F	179
Broulee - Tomakin	0	M	192
Broulee - Tomakin	1	F	1503
Broulee - Tomakin	1	M	1415
Deua - Wadbilliga	0	F	-1
Deua - Wadbilliga	0	M	8
Deua - Wadbilliga	1	F	11
Deua - Wadbilliga	1	M	7
Eden	0	F	196
Eden	0	M	186
Eden	1	F	1444
Eden	1	M	1396
Eurobodalla Hinterland	0	F	155
Eurobodalla Hinterland	0	M	171
Eurobodalla Hinterland	1	F	1470
Eurobodalla Hinterland	1	M	1503
Merimbula - Tura Beach	0	F	617
Merimbula - Tura Beach	0	M	492
Merimbula - Tura Beach	1	F	4924
Merimbula - Tura Beach	1	M	4582
Moruya - Tuross Head	0	F	404
Moruya - Tuross Head	0	M	374
Moruya - Tuross Head	1	F	3603
Moruya - Tuross Head	1	M	3585
Narooma - Bermagui	0	F	477
Narooma - Bermagui	0	M	495
Narooma - Bermagui	1	F	4084
Narooma - Bermagui	1	M	3917
Goulburn	0	F	1157
Goulburn	0	M	1734
Goulburn	1	F	10284
Goulburn	1	M	9713
Goulburn Region	0	F	668
Goulburn Region	0	M	719
Goulburn Region	1	F	5459
Goulburn Region	1	M	5824
Yass	0	F	298
Yass	0	M	275
Yass	1	F	3087
Yass	1	M	2843
Yass Region	0	F	495
Yass Region	0	M	529
Yass Region	1	F	5247
Yass Region	1	M	5235
Young	0	F	515
Young	0	M	440
Young	1	F	4978
Young	1	M	4670
Young Region	0	F	351
Young Region	0	M	312
Young Region	1	F	3283
Young Region	1	M	3378
Avoca Beach - Copacabana	0	F	385
Avoca Beach - Copacabana	0	M	414
Avoca Beach - Copacabana	1	F	3254
Avoca Beach - Copacabana	1	M	3260
Box Head - MacMasters Beach	0	F	514
Box Head - MacMasters Beach	0	M	462
Box Head - MacMasters Beach	1	F	4950
Box Head - MacMasters Beach	1	M	4768
Calga - Kulnura	0	F	315
Calga - Kulnura	0	M	359
Calga - Kulnura	1	F	1922
Calga - Kulnura	1	M	2107
Erina - Green Point	0	F	921
Erina - Green Point	0	M	730
Erina - Green Point	1	F	6532
Erina - Green Point	1	M	5768
Gosford - Springfield	0	F	1535
Gosford - Springfield	0	M	1435
Gosford - Springfield	1	F	8157
Gosford - Springfield	1	M	7676
Kariong	0	F	334
Kariong	0	M	448
Kariong	1	F	2809
Kariong	1	M	2791
Kincumber - Picketts Valley	0	F	331
Kincumber - Picketts Valley	0	M	280
Kincumber - Picketts Valley	1	F	3630
Kincumber - Picketts Valley	1	M	3070
Narara	0	F	329
Narara	0	M	296
Narara	1	F	3070
Narara	1	M	2940
Niagara Park - Lisarow	0	F	353
Niagara Park - Lisarow	0	M	364
Niagara Park - Lisarow	1	F	3714
Niagara Park - Lisarow	1	M	3591
Point Clare - Koolewong	0	F	317
Point Clare - Koolewong	0	M	297
Point Clare - Koolewong	1	F	2872
Point Clare - Koolewong	1	M	2720
Saratoga - Davistown	0	F	307
Saratoga - Davistown	0	M	294
Saratoga - Davistown	1	F	3289
Saratoga - Davistown	1	M	3091
Terrigal - North Avoca	0	F	776
Terrigal - North Avoca	0	M	727
Terrigal - North Avoca	1	F	6027
Terrigal - North Avoca	1	M	5814
Umina - Booker Bay - Patonga	0	F	1482
Umina - Booker Bay - Patonga	0	M	1349
Umina - Booker Bay - Patonga	1	F	10822
Umina - Booker Bay - Patonga	1	M	9941
Wamberal - Forresters Beach	0	F	417
Wamberal - Forresters Beach	0	M	441
Wamberal - Forresters Beach	1	F	4519
Wamberal - Forresters Beach	1	M	4380
Woy Woy - Blackwall	0	F	954
Woy Woy - Blackwall	0	M	784
Woy Woy - Blackwall	1	F	6333
Woy Woy - Blackwall	1	M	5851
Wyoming	0	F	721
Wyoming	0	M	665
Wyoming	1	F	5271
Wyoming	1	M	4780
Bateau Bay - Killarney Vale	0	F	1120
Bateau Bay - Killarney Vale	0	M	990
Bateau Bay - Killarney Vale	1	F	10480
Bateau Bay - Killarney Vale	1	M	9419
Blue Haven - San Remo	0	F	507
Blue Haven - San Remo	0	M	466
Blue Haven - San Remo	1	F	5193
Blue Haven - San Remo	1	M	4882
Budgewoi - Buff Point - Halekulani	0	F	476
Budgewoi - Buff Point - Halekulani	0	M	442
Budgewoi - Buff Point - Halekulani	1	F	4294
Budgewoi - Buff Point - Halekulani	1	M	4198
Chittaway Bay - Tumbi Umbi	0	F	653
Chittaway Bay - Tumbi Umbi	0	M	634
Chittaway Bay - Tumbi Umbi	1	F	7271
Chittaway Bay - Tumbi Umbi	1	M	6798
Gorokan - Kanwal - Charmhaven	0	F	1354
Gorokan - Kanwal - Charmhaven	0	M	1236
Gorokan - Kanwal - Charmhaven	1	F	10117
Gorokan - Kanwal - Charmhaven	1	M	9406
Jilliby - Yarramalong	0	F	204
Jilliby - Yarramalong	0	M	197
Jilliby - Yarramalong	1	F	1465
Jilliby - Yarramalong	1	M	1490
Lake Munmorah - Mannering Park	0	F	486
Lake Munmorah - Mannering Park	0	M	451
Lake Munmorah - Mannering Park	1	F	5036
Lake Munmorah - Mannering Park	1	M	4757
Ourimbah - Fountaindale	0	F	237
Ourimbah - Fountaindale	0	M	228
Ourimbah - Fountaindale	1	F	2213
Ourimbah - Fountaindale	1	M	2181
Summerland Point - Gwandalan	0	F	215
Summerland Point - Gwandalan	0	M	204
Summerland Point - Gwandalan	1	F	2655
Summerland Point - Gwandalan	1	M	2692
The Entrance	0	F	925
The Entrance	0	M	840
The Entrance	1	F	6829
The Entrance	1	M	6354
Toukley - Norah Head	0	F	613
Toukley - Norah Head	0	M	545
Toukley - Norah Head	1	F	4389
Toukley - Norah Head	1	M	4222
Tuggerah - Kangy Angy	0	F	332
Tuggerah - Kangy Angy	0	M	343
Tuggerah - Kangy Angy	1	F	2377
Tuggerah - Kangy Angy	1	M	2252
Warnervale - Wadalba	0	F	771
Warnervale - Wadalba	0	M	743
Warnervale - Wadalba	1	F	7094
Warnervale - Wadalba	1	M	6612
Wyong	0	F	658
Wyong	0	M	565
Wyong	1	F	3857
Wyong	1	M	3739
Bathurst	0	F	1436
Bathurst	0	M	1859
Bathurst	1	F	10578
Bathurst	1	M	9956
Bathurst - East	0	F	488
Bathurst - East	0	M	519
Bathurst - East	1	F	5148
Bathurst - East	1	M	5028
Bathurst Region	0	F	352
Bathurst Region	0	M	662
Bathurst Region	1	F	2905
Bathurst Region	1	M	2993
Oberon	0	F	328
Oberon	0	M	470
Oberon	1	F	1915
Oberon	1	M	1957
Condobolin	0	F	420
Condobolin	0	M	455
Condobolin	1	F	2869
Condobolin	1	M	2884
Cowra	0	F	459
Cowra	0	M	405
Cowra	1	F	4272
Cowra	1	M	4006
Cowra Region	0	F	256
Cowra Region	0	M	254
Cowra Region	1	F	2420
Cowra Region	1	M	2520
Forbes	0	F	499
Forbes	0	M	505
Forbes	1	F	4566
Forbes	1	M	4597
Grenfell	0	F	209
Grenfell	0	M	189
Grenfell	1	F	1615
Grenfell	1	M	1637
