SA2_NAME16	BornAust	persons
Braidwood	0	460
Braidwood	1	2948
Karabar	0	1322
Karabar	1	6354
Queanbeyan	0	2680
Queanbeyan	1	7273
Queanbeyan - East	0	1189
Queanbeyan - East	1	3291
Queanbeyan Region	0	2205
Queanbeyan Region	1	13040
Queanbeyan West - Jerrabomberra	0	1988
Queanbeyan West - Jerrabomberra	1	10112
Bombala	0	192
Bombala	1	1984
Cooma	0	977
Cooma	1	5124
Cooma Region	0	408
Cooma Region	1	2511
Jindabyne - Berridale	0	917
Jindabyne - Berridale	1	5354
Batemans Bay	0	1087
Batemans Bay	1	5956
Batemans Bay - South	0	1257
Batemans Bay - South	1	6358
Bega - Tathra	0	741
Bega - Tathra	1	6906
Bega-Eden Hinterland	0	1015
Bega-Eden Hinterland	1	7005
Broulee - Tomakin	0	399
Broulee - Tomakin	1	2604
Deua - Wadbilliga	1	16
Eden	0	352
Eden	1	2527
Eurobodalla Hinterland	0	353
Eurobodalla Hinterland	1	2639
Merimbula - Tura Beach	0	1431
Merimbula - Tura Beach	1	8308
Moruya - Tuross Head	0	1022
Moruya - Tuross Head	1	6253
Narooma - Bermagui	0	1196
Narooma - Bermagui	1	6872
Goulburn	0	2143
Goulburn	1	19141
Goulburn Region	0	1140
Goulburn Region	1	10309
Yass	0	528
Yass	1	5513
Yass Region	0	1282
Yass Region	1	9384
Young	0	623
Young	1	9098
Young Region	0	497
Young Region	1	6238
Avoca Beach - Copacabana	0	1288
Avoca Beach - Copacabana	1	5667
Box Head - MacMasters Beach	0	1621
Box Head - MacMasters Beach	1	8527
Calga - Kulnura	0	708
Calga - Kulnura	1	3475
Erina - Green Point	0	2740
Erina - Green Point	1	10241
Gosford - Springfield	0	3988
Gosford - Springfield	1	13426
Kariong	0	1120
Kariong	1	4950
Kincumber - Picketts Valley	0	1108
Kincumber - Picketts Valley	1	5840
Narara	0	1125
Narara	1	5236
Niagara Park - Lisarow	0	1228
Niagara Park - Lisarow	1	6467
Point Clare - Koolewong	0	1189
Point Clare - Koolewong	1	4757
Saratoga - Davistown	0	889
Saratoga - Davistown	1	5728
Terrigal - North Avoca	0	2567
Terrigal - North Avoca	1	10129
Umina - Booker Bay - Patonga	0	3575
Umina - Booker Bay - Patonga	1	18178
Wamberal - Forresters Beach	0	1306
Wamberal - Forresters Beach	1	7942
Woy Woy - Blackwall	0	2317
Woy Woy - Blackwall	1	10545
Wyoming	0	2050
Wyoming	1	8657
Bateau Bay - Killarney Vale	0	2356
Bateau Bay - Killarney Vale	1	18223
Blue Haven - San Remo	0	1111
Blue Haven - San Remo	1	9309
Budgewoi - Buff Point - Halekulani	0	977
Budgewoi - Buff Point - Halekulani	1	7736
Chittaway Bay - Tumbi Umbi	0	1818
Chittaway Bay - Tumbi Umbi	1	12845
Gorokan - Kanwal - Charmhaven	0	2576
Gorokan - Kanwal - Charmhaven	1	17572
Jilliby - Yarramalong	0	356
Jilliby - Yarramalong	1	2687
Lake Munmorah - Mannering Park	0	1210
Lake Munmorah - Mannering Park	1	8793
Ourimbah - Fountaindale	0	721
Ourimbah - Fountaindale	1	3914
Summerland Point - Gwandalan	0	624
Summerland Point - Gwandalan	1	4867
The Entrance	0	1875
The Entrance	1	11748
Toukley - Norah Head	0	1038
Toukley - Norah Head	1	7799
Tuggerah - Kangy Angy	0	981
Tuggerah - Kangy Angy	1	4010
Warnervale - Wadalba	0	2275
Warnervale - Wadalba	1	12291
Wyong	0	1324
Wyong	1	6809
Bathurst	0	2249
Bathurst	1	19774
Bathurst - East	0	818
Bathurst - East	1	9625
Bathurst Region	0	536
Bathurst Region	1	5660
Oberon	0	447
Oberon	1	3642
Condobolin	0	251
Condobolin	1	5534
Cowra	0	531
Cowra	1	7779
Cowra Region	0	329
Cowra Region	1	4635
Forbes	0	417
Forbes	1	8720
Grenfell	0	207
Grenfell	1	3073
Parkes (NSW)	0	612
Parkes (NSW)	1	9305
Parkes Region	0	163
Parkes Region	1	2821
West Wyalong	0	288
West Wyalong	1	4867
Lithgow	0	1269
Lithgow	1	10359
Lithgow Region	0	694
Lithgow Region	1	6414
Mudgee	0	834
Mudgee	1	9718
Mudgee Region - East	0	306
Mudgee Region - East	1	2693
Mudgee Region - West	0	745
Mudgee Region - West	1	8202
Blayney	0	453
Blayney	1	6215
Orange	0	1743
Orange	1	15595
Orange - North	0	1922
Orange - North	1	16704
Orange Region	0	733
Orange Region	1	9923
Grafton	0	1043
Grafton	1	16261
Grafton Region	0	1154
Grafton Region	1	12563
Maclean - Yamba - Iluka	0	1593
Maclean - Yamba - Iluka	1	13282
Bellingen	0	840
Bellingen	1	4489
Coffs Harbour - North	0	2544
Coffs Harbour - North	1	13495
Coffs Harbour - South	0	1741
Coffs Harbour - South	1	7506
Coramba - Nana Glen - Bucca	0	420
Coramba - Nana Glen - Bucca	1	3053
Dorrigo	0	314
Dorrigo	1	2594
Korora - Emerald Beach	0	1281
Korora - Emerald Beach	1	6961
Sawtell - Boambee	0	2127
Sawtell - Boambee	1	16187
Urunga	0	423
Urunga	1	3873
Woolgoolga - Arrawarra	0	1981
Woolgoolga - Arrawarra	1	9501
Bourke - Brewarrina	0	131
Bourke - Brewarrina	1	3160
Cobar	0	325
Cobar	1	3729
Coonamble	0	116
Coonamble	1	3323
Nyngan - Warren	0	231
Nyngan - Warren	1	4116
Walgett - Lightning Ridge	0	564
Walgett - Lightning Ridge	1	4990
Broken Hill	0	800
Broken Hill	1	15364
Far West	0	107
