SA2_NAME16	Age	MaritalStatus	Registered	adults
Braidwood	15-19	Married	0	4
Braidwood	15-19	Never married		156
Braidwood	20-24	Married	0	14
Braidwood	20-24	Married	1	8
Braidwood	20-24	Never married		68
Braidwood	25-34	Married	0	65
Braidwood	25-34	Married	1	92
Braidwood	25-34	Never married		92
Braidwood	35-44	Married	0	86
Braidwood	35-44	Married	1	202
Braidwood	35-44	Never married		70
Braidwood	45-54	Married	0	91
Braidwood	45-54	Married	1	257
Braidwood	45-54	Never married		123
Braidwood	55-64	Married	0	76
Braidwood	55-64	Married	1	331
Braidwood	55-64	Never married		165
Braidwood	65-74	Married	0	31
Braidwood	65-74	Married	1	287
Braidwood	65-74	Never married		153
Braidwood	75-84	Married	0	11
Braidwood	75-84	Married	1	106
Braidwood	75-84	Never married		83
Braidwood	85+	Married	1	19
Braidwood	85+	Never married		29
Karabar	15-19	Married	0	4
Karabar	15-19	Never married		530
Karabar	20-24	Married	0	94
Karabar	20-24	Married	1	21
Karabar	20-24	Never married		369
Karabar	25-34	Married	0	207
Karabar	25-34	Married	1	379
Karabar	25-34	Never married		397
Karabar	35-44	Married	0	158
Karabar	35-44	Married	1	530
Karabar	35-44	Never married		329
Karabar	45-54	Married	0	125
Karabar	45-54	Married	1	654
Karabar	45-54	Never married		334
Karabar	55-64	Married	0	74
Karabar	55-64	Married	1	596
Karabar	55-64	Never married		292
Karabar	65-74	Married	0	38
Karabar	65-74	Married	1	331
Karabar	65-74	Never married		223
Karabar	75-84	Married	0	16
Karabar	75-84	Married	1	139
Karabar	75-84	Never married		126
Karabar	85+	Married	1	16
Karabar	85+	Never married		60
Queanbeyan	15-19	Married	0	13
Queanbeyan	15-19	Never married		378
Queanbeyan	20-24	Married	0	130
Queanbeyan	20-24	Married	1	58
Queanbeyan	20-24	Never married		466
Queanbeyan	25-34	Married	0	340
Queanbeyan	25-34	Married	1	807
Queanbeyan	25-34	Never married		773
Queanbeyan	35-44	Married	0	179
Queanbeyan	35-44	Married	1	671
Queanbeyan	35-44	Never married		529
Queanbeyan	45-54	Married	0	129
Queanbeyan	45-54	Married	1	492
Queanbeyan	45-54	Never married		620
Queanbeyan	55-64	Married	0	81
Queanbeyan	55-64	Married	1	407
Queanbeyan	55-64	Never married		505
Queanbeyan	65-74	Married	0	33
Queanbeyan	65-74	Married	1	350
Queanbeyan	65-74	Never married		297
Queanbeyan	75-84	Married	0	5
Queanbeyan	75-84	Married	1	198
Queanbeyan	75-84	Never married		202
Queanbeyan	85+	Married	1	50
Queanbeyan	85+	Never married		115
Queanbeyan - East	15-19	Married	0	11
Queanbeyan - East	15-19	Never married		199
Queanbeyan - East	20-24	Married	0	83
Queanbeyan - East	20-24	Married	1	26
Queanbeyan - East	20-24	Never married		205
Queanbeyan - East	25-34	Married	0	176
Queanbeyan - East	25-34	Married	1	378
Queanbeyan - East	25-34	Never married		310
Queanbeyan - East	35-44	Married	0	78
Queanbeyan - East	35-44	Married	1	295
Queanbeyan - East	35-44	Never married		193
Queanbeyan - East	45-54	Married	0	65
Queanbeyan - East	45-54	Married	1	312
Queanbeyan - East	45-54	Never married		245
Queanbeyan - East	55-64	Married	0	38
Queanbeyan - East	55-64	Married	1	247
Queanbeyan - East	55-64	Never married		220
Queanbeyan - East	65-74	Married	0	10
Queanbeyan - East	65-74	Married	1	159
Queanbeyan - East	65-74	Never married		109
Queanbeyan - East	75-84	Married	1	65
Queanbeyan - East	75-84	Never married		76
Queanbeyan - East	85+	Married	1	8
Queanbeyan - East	85+	Never married		41
Queanbeyan Region	15-19	Married	0	3
Queanbeyan Region	15-19	Never married		1020
Queanbeyan Region	20-24	Married	0	80
Queanbeyan Region	20-24	Married	1	22
Queanbeyan Region	20-24	Never married		540
Queanbeyan Region	25-34	Married	0	367
Queanbeyan Region	25-34	Married	1	711
Queanbeyan Region	25-34	Never married		411
Queanbeyan Region	35-44	Married	0	324
Queanbeyan Region	35-44	Married	1	1552
Queanbeyan Region	35-44	Never married		229
Queanbeyan Region	45-54	Married	0	364
Queanbeyan Region	45-54	Married	1	1817
Queanbeyan Region	45-54	Never married		390
Queanbeyan Region	55-64	Married	0	234
Queanbeyan Region	55-64	Married	1	1487
Queanbeyan Region	55-64	Never married		333
Queanbeyan Region	65-74	Married	0	69
Queanbeyan Region	65-74	Married	1	908
Queanbeyan Region	65-74	Never married		222
Queanbeyan Region	75-84	Married	0	12
Queanbeyan Region	75-84	Married	1	220
Queanbeyan Region	75-84	Never married		112
Queanbeyan Region	85+	Married	1	26
Queanbeyan Region	85+	Never married		45
Queanbeyan West - Jerrabomberra	15-19	Married	0	5
Queanbeyan West - Jerrabomberra	15-19	Never married		963
Queanbeyan West - Jerrabomberra	20-24	Married	0	75
Queanbeyan West - Jerrabomberra	20-24	Married	1	16
Queanbeyan West - Jerrabomberra	20-24	Never married		574
Queanbeyan West - Jerrabomberra	25-34	Married	0	293
Queanbeyan West - Jerrabomberra	25-34	Married	1	593
Queanbeyan West - Jerrabomberra	25-34	Never married		451
Queanbeyan West - Jerrabomberra	35-44	Married	0	200
Queanbeyan West - Jerrabomberra	35-44	Married	1	1328
Queanbeyan West - Jerrabomberra	35-44	Never married		259
Queanbeyan West - Jerrabomberra	45-54	Married	0	195
Queanbeyan West - Jerrabomberra	45-54	Married	1	1631
Queanbeyan West - Jerrabomberra	45-54	Never married		384
Queanbeyan West - Jerrabomberra	55-64	Married	0	78
Queanbeyan West - Jerrabomberra	55-64	Married	1	861
Queanbeyan West - Jerrabomberra	55-64	Never married		261
Queanbeyan West - Jerrabomberra	65-74	Married	0	16
Queanbeyan West - Jerrabomberra	65-74	Married	1	361
Queanbeyan West - Jerrabomberra	65-74	Never married		146
Queanbeyan West - Jerrabomberra	75-84	Married	1	139
Queanbeyan West - Jerrabomberra	75-84	Never married		98
Queanbeyan West - Jerrabomberra	85+	Married	1	23
Queanbeyan West - Jerrabomberra	85+	Never married		32
Bombala	15-19	Married	0	3
Bombala	15-19	Never married		101
Bombala	20-24	Married	0	21
Bombala	20-24	Married	1	7
Bombala	20-24	Never married		48
Bombala	25-34	Married	0	57
Bombala	25-34	Married	1	74
Bombala	25-34	Never married		66
Bombala	35-44	Married	0	37
Bombala	35-44	Married	1	116
Bombala	35-44	Never married		55
Bombala	45-54	Married	0	38
Bombala	45-54	Married	1	169
Bombala	45-54	Never married		85
Bombala	55-64	Married	0	34
Bombala	55-64	Married	1	193
Bombala	55-64	Never married		115
Bombala	65-74	Married	0	11
Bombala	65-74	Married	1	183
Bombala	65-74	Never married		97
Bombala	75-84	Married	0	3
Bombala	75-84	Married	1	65
Bombala	75-84	Never married		51
Bombala	85+	Married	1	9
Bombala	85+	Never married		38
Cooma	15-19	Married	0	9
Cooma	15-19	Never married		341
Cooma	20-24	Married	0	63
Cooma	20-24	Married	1	11
Cooma	20-24	Never married		220
Cooma	25-34	Married	0	133
Cooma	25-34	Married	1	226
Cooma	25-34	Never married		251
Cooma	35-44	Married	0	102
Cooma	35-44	Married	1	334
Cooma	35-44	Never married		198
Cooma	45-54	Married	0	96
Cooma	45-54	Married	1	448
Cooma	45-54	Never married		256
Cooma	55-64	Married	0	50
