SA2_NAME16	CountryOfBirth	persons
Braidwood		525
Braidwood	AUS	2948
Braidwood	CAN	5
Braidwood	CHL	3
Braidwood	CHN	4
Braidwood	DEU	16
Braidwood	EGY	3
Braidwood	FRA	7
Braidwood	GBR	184
Braidwood	GRC	3
Braidwood	IDN	4
Braidwood	IND	15
Braidwood	IRL	9
Braidwood	ITA	3
Braidwood	LBN	3
Braidwood	MLT	3
Braidwood	MYS	4
Braidwood	NLD	12
Braidwood	NPL	3
Braidwood	NZL	56
Braidwood	PAK	3
Braidwood	PHL	15
Braidwood	PNG	5
Braidwood	POL	5
Braidwood	USA	20
Braidwood	ZAF	4
Karabar		769
Karabar	AFG	6
Karabar	AUS	6354
Karabar	BIH	11
Karabar	CAN	11
Karabar	CHL	7
Karabar	CHN	18
Karabar	DEU	47
Karabar	EGY	3
Karabar	FJI	23
Karabar	FRA	9
Karabar	GBR	177
Karabar	GRC	20
Karabar	HKG	4
Karabar	HRV	37
Karabar	IDN	3
Karabar	IND	52
Karabar	IRL	11
Karabar	ITA	102
Karabar	JPN	5
Karabar	KHM	7
Karabar	KOR	6
Karabar	LBN	3
Karabar	LKA	8
Karabar	MKD	177
Karabar	MLT	12
Karabar	MMR	4
Karabar	MYS	18
Karabar	NLD	10
Karabar	NPL	7
Karabar	NZL	114
Karabar	PAK	6
Karabar	PHL	59
Karabar	PNG	9
Karabar	POL	11
Karabar	SGP	5
Karabar	THA	18
Karabar	USA	33
Karabar	VNM	22
Karabar	ZAF	14
Karabar	ZWE	9
Queanbeyan		1236
Queanbeyan	AFG	5
Queanbeyan	AUS	7273
Queanbeyan	BGD	71
Queanbeyan	BIH	14
Queanbeyan	CAN	29
Queanbeyan	CHL	7
Queanbeyan	CHN	85
Queanbeyan	DEU	61
Queanbeyan	EGY	26
Queanbeyan	FJI	35
Queanbeyan	FRA	12
Queanbeyan	GBR	260
Queanbeyan	GRC	86
Queanbeyan	HKG	18
Queanbeyan	HRV	50
Queanbeyan	IDN	32
Queanbeyan	IND	363
Queanbeyan	IRL	21
Queanbeyan	IRN	16
Queanbeyan	IRQ	5
Queanbeyan	ITA	124
Queanbeyan	JPN	10
Queanbeyan	KHM	12
Queanbeyan	KOR	30
Queanbeyan	LBN	3
Queanbeyan	LKA	27
Queanbeyan	MKD	151
Queanbeyan	MLT	29
Queanbeyan	MMR	7
Queanbeyan	MUS	9
Queanbeyan	MYS	25
Queanbeyan	NLD	23
Queanbeyan	NPL	95
Queanbeyan	NZL	175
Queanbeyan	PAK	63
Queanbeyan	PHL	194
Queanbeyan	PNG	14
Queanbeyan	POL	32
Queanbeyan	SGP	7
Queanbeyan	THA	26
Queanbeyan	TWN	3
Queanbeyan	USA	32
Queanbeyan	VNM	33
Queanbeyan	ZAF	26
Queanbeyan	ZWE	10
Queanbeyan - East		438
Queanbeyan - East	AUS	3291
Queanbeyan - East	BGD	92
Queanbeyan - East	BIH	3
Queanbeyan - East	CAN	12
Queanbeyan - East	CHL	9
Queanbeyan - East	CHN	22
Queanbeyan - East	DEU	31
Queanbeyan - East	EGY	13
Queanbeyan - East	FJI	18
Queanbeyan - East	FRA	4
Queanbeyan - East	GBR	160
Queanbeyan - East	GRC	5
Queanbeyan - East	HKG	3
Queanbeyan - East	HRV	21
Queanbeyan - East	IDN	16
Queanbeyan - East	IND	239
Queanbeyan - East	IRL	7
Queanbeyan - East	IRN	3
Queanbeyan - East	IRQ	3
Queanbeyan - East	ITA	27
Queanbeyan - East	JPN	3
Queanbeyan - East	KOR	4
Queanbeyan - East	LBN	7
Queanbeyan - East	LKA	9
Queanbeyan - East	MKD	55
Queanbeyan - East	MLT	3
Queanbeyan - East	MYS	10
Queanbeyan - East	NPL	14
Queanbeyan - East	NZL	70
Queanbeyan - East	PAK	11
Queanbeyan - East	PHL	67
Queanbeyan - East	PNG	11
Queanbeyan - East	POL	10
Queanbeyan - East	SGP	8
Queanbeyan - East	THA	11
Queanbeyan - East	TWN	7
Queanbeyan - East	USA	26
Queanbeyan - East	VNM	11
Queanbeyan - East	ZAF	24
Queanbeyan - East	ZWE	16
Queanbeyan Region		1968
Queanbeyan Region	AFG	3
Queanbeyan Region	AUS	13040
Queanbeyan Region	BIH	4
Queanbeyan Region	CAN	27
Queanbeyan Region	CHL	9
Queanbeyan Region	CHN	26
Queanbeyan Region	DEU	86
Queanbeyan Region	EGY	3
Queanbeyan Region	FJI	7
Queanbeyan Region	FRA	21
Queanbeyan Region	GBR	798
Queanbeyan Region	GRC	7
Queanbeyan Region	HKG	11
Queanbeyan Region	HRV	25
Queanbeyan Region	IDN	11
Queanbeyan Region	IND	78
Queanbeyan Region	IRL	31
Queanbeyan Region	IRN	3
Queanbeyan Region	IRQ	3
Queanbeyan Region	ITA	71
Queanbeyan Region	JPN	5
Queanbeyan Region	KOR	6
Queanbeyan Region	LBN	3
Queanbeyan Region	LKA	17
Queanbeyan Region	MKD	22
Queanbeyan Region	MLT	19
Queanbeyan Region	MMR	8
Queanbeyan Region	MUS	6
Queanbeyan Region	MYS	31
Queanbeyan Region	NLD	53
Queanbeyan Region	NPL	13
Queanbeyan Region	NZL	193
Queanbeyan Region	PAK	3
Queanbeyan Region	PHL	51
Queanbeyan Region	PNG	23
Queanbeyan Region	POL	19
Queanbeyan Region	SGP	15
Queanbeyan Region	THA	14
Queanbeyan Region	TUR	3
Queanbeyan Region	TWN	4
Queanbeyan Region	USA	103
Queanbeyan Region	VNM	5
Queanbeyan Region	ZAF	72
Queanbeyan Region	ZWE	8
Queanbeyan West - Jerrabomberra		776
Queanbeyan West - Jerrabomberra	AUS	10112
Queanbeyan West - Jerrabomberra	BGD	3
Queanbeyan West - Jerrabomberra	BIH	8
Queanbeyan West - Jerrabomberra	CAN	36
Queanbeyan West - Jerrabomberra	CHL	11
Queanbeyan West - Jerrabomberra	CHN	50
Queanbeyan West - Jerrabomberra	DEU	62
Queanbeyan West - Jerrabomberra	FJI	37
Queanbeyan West - Jerrabomberra	FRA	14
Queanbeyan West - Jerrabomberra	GBR	480
Queanbeyan West - Jerrabomberra	GRC	15
Queanbeyan West - Jerrabomberra	HKG	8
Queanbeyan West - Jerrabomberra	HRV	35
Queanbeyan West - Jerrabomberra	IDN	18
Queanbeyan West - Jerrabomberra	IND	94
Queanbeyan West - Jerrabomberra	IRL	30
Queanbeyan West - Jerrabomberra	IRN	10
Queanbeyan West - Jerrabomberra	IRQ	3
Queanbeyan West - Jerrabomberra	ITA	70
Queanbeyan West - Jerrabomberra	JPN	6
Queanbeyan West - Jerrabomberra	KOR	3
Queanbeyan West - Jerrabomberra	LBN	11
Queanbeyan West - Jerrabomberra	LKA	34
Queanbeyan West - Jerrabomberra	MKD	119
Queanbeyan West - Jerrabomberra	MLT	10
Queanbeyan West - Jerrabomberra	MMR	3
Queanbeyan West - Jerrabomberra	MUS	3
Queanbeyan West - Jerrabomberra	MYS	31
Queanbeyan West - Jerrabomberra	NLD	28
Queanbeyan West - Jerrabomberra	NPL	3
Queanbeyan West - Jerrabomberra	NZL	193
Queanbeyan West - Jerrabomberra	PAK	14
Queanbeyan West - Jerrabomberra	PHL	69
Queanbeyan West - Jerrabomberra	PNG	18
Queanbeyan West - Jerrabomberra	POL	14
Queanbeyan West - Jerrabomberra	SGP	10
Queanbeyan West - Jerrabomberra	THA	25
Queanbeyan West - Jerrabomberra	TUR	12
Queanbeyan West - Jerrabomberra	USA	95
Queanbeyan West - Jerrabomberra	VNM	13
Queanbeyan West - Jerrabomberra	ZAF	63
Queanbeyan West - Jerrabomberra	ZWE	12
Bombala		250
Bombala	AUS	1984
Bombala	CHN	3
Bombala	DEU	16
Bombala	FJI	3
Bombala	GBR	72
Bombala	HRV	3
Bombala	IND	3
Bombala	IRL	9
Bombala	ITA	3
Bombala	KOR	14
Bombala	MMR	3
Bombala	NLD	5
Bombala	NZL	22
Bombala	PHL	3
Bombala	USA	6
Cooma		781
Cooma	AUS	5124
Cooma	BIH	3
Cooma	CAN	9
Cooma	CHL	3
Cooma	CHN	36
Cooma	DEU	93
Cooma	FJI	4
Cooma	FRA	8
Cooma	GBR	213
Cooma	GRC	9
Cooma	HKG	11
Cooma	HRV	11
Cooma	IDN	18
Cooma	IND	15
Cooma	IRL	10
Cooma	ITA	54
Cooma	KOR	4
Cooma	LBN	18
Cooma	LKA	20
Cooma	MYS	13
Cooma	NLD	43
Cooma	NZL	97
Cooma	PAK	6
Cooma	PHL	19
Cooma	PNG	3
Cooma	POL	12
Cooma	SGP	9
Cooma	THA	13
Cooma	TUR	5
Cooma	TWN	9
Cooma	USA	15
Cooma	VNM	15
Cooma	ZAF	12
Cooma	ZWE	3
Cooma Region		429
Cooma Region	AUS	2511
Cooma Region	CAN	3
Cooma Region	CHN	3
Cooma Region	DEU	31
Cooma Region	FJI	3
Cooma Region	FRA	5
Cooma Region	GBR	165
Cooma Region	GRC	3
Cooma Region	HKG	3
Cooma Region	HRV	4
Cooma Region	IDN	6
Cooma Region	IND	3
Cooma Region	IRL	4
Cooma Region	ITA	8
Cooma Region	LBN	6
Cooma Region	MLT	3
Cooma Region	NLD	14
Cooma Region	NZL	29
Cooma Region	PHL	3
Cooma Region	POL	3
Cooma Region	THA	3
Cooma Region	USA	12
Cooma Region	ZAF	19
Jindabyne - Berridale		801
Jindabyne - Berridale	AUS	5354
Jindabyne - Berridale	CAN	39
Jindabyne - Berridale	CHN	11
Jindabyne - Berridale	DEU	49
Jindabyne - Berridale	FRA	9
Jindabyne - Berridale	GBR	299
Jindabyne - Berridale	HKG	16
Jindabyne - Berridale	HRV	3
Jindabyne - Berridale	IDN	7
Jindabyne - Berridale	IND	6
Jindabyne - Berridale	IRL	11
Jindabyne - Berridale	ITA	17
Jindabyne - Berridale	JPN	6
Jindabyne - Berridale	KOR	7
Jindabyne - Berridale	MKD	4
Jindabyne - Berridale	MLT	5
Jindabyne - Berridale	MYS	3
Jindabyne - Berridale	NLD	19
Jindabyne - Berridale	NZL	114
Jindabyne - Berridale	PHL	16
Jindabyne - Berridale	PNG	7
Jindabyne - Berridale	POL	9
Jindabyne - Berridale	THA	25
Jindabyne - Berridale	TUR	6
Jindabyne - Berridale	TWN	36
Jindabyne - Berridale	USA	34
Jindabyne - Berridale	ZAF	17
Jindabyne - Berridale	ZWE	3
Batemans Bay		754
Batemans Bay	AUS	5956
Batemans Bay	BGD	6
Batemans Bay	CAN	16
Batemans Bay	CHN	13
Batemans Bay	DEU	61
