SA2_NAME16	BornAust	Sex	persons
Braidwood	0	F	243
Braidwood	0	M	219
Braidwood	1	F	1446
Braidwood	1	M	1504
Karabar	0	F	689
Karabar	0	M	638
Karabar	1	F	3175
Karabar	1	M	3182
Queanbeyan	0	F	1348
Queanbeyan	0	M	1333
Queanbeyan	1	F	3645
Queanbeyan	1	M	3628
Queanbeyan - East	0	F	581
Queanbeyan - East	0	M	612
Queanbeyan - East	1	F	1597
Queanbeyan - East	1	M	1692
Queanbeyan Region	0	F	1101
Queanbeyan Region	0	M	1102
Queanbeyan Region	1	F	6423
Queanbeyan Region	1	M	6620
Queanbeyan West - Jerrabomberra	0	F	982
Queanbeyan West - Jerrabomberra	0	M	1003
Queanbeyan West - Jerrabomberra	1	F	5108
Queanbeyan West - Jerrabomberra	1	M	5005
Bombala	0	F	104
Bombala	0	M	84
Bombala	1	F	966
Bombala	1	M	1015
Cooma	0	F	493
Cooma	0	M	484
Cooma	1	F	2541
Cooma	1	M	2584
Cooma Region	0	F	199
Cooma Region	0	M	205
Cooma Region	1	F	1213
Cooma Region	1	M	1294
Jindabyne - Berridale	0	F	449
Jindabyne - Berridale	0	M	471
Jindabyne - Berridale	1	F	2475
Jindabyne - Berridale	1	M	2875
Batemans Bay	0	F	591
Batemans Bay	0	M	499
Batemans Bay	1	F	3000
Batemans Bay	1	M	2955
Batemans Bay - South	0	F	650
Batemans Bay - South	0	M	599
Batemans Bay - South	1	F	3340
Batemans Bay - South	1	M	3015
Bega - Tathra	0	F	395
Bega - Tathra	0	M	349
Bega - Tathra	1	F	3539
Bega - Tathra	1	M	3365
Bega-Eden Hinterland	0	F	499
Bega-Eden Hinterland	0	M	518
Bega-Eden Hinterland	1	F	3496
Bega-Eden Hinterland	1	M	3505
Broulee - Tomakin	0	F	208
Broulee - Tomakin	0	M	187
Broulee - Tomakin	1	F	1332
Broulee - Tomakin	1	M	1269
Deua - Wadbilliga	1	F	11
Deua - Wadbilliga	1	M	7
Eden	0	F	174
Eden	0	M	177
Eden	1	F	1284
Eden	1	M	1244
Eurobodalla Hinterland	0	F	173
Eurobodalla Hinterland	0	M	178
Eurobodalla Hinterland	1	F	1301
Eurobodalla Hinterland	1	M	1340
Merimbula - Tura Beach	0	F	772
Merimbula - Tura Beach	0	M	655
Merimbula - Tura Beach	1	F	4298
Merimbula - Tura Beach	1	M	4016
Moruya - Tuross Head	0	F	513
Moruya - Tuross Head	0	M	509
Moruya - Tuross Head	1	F	3137
Moruya - Tuross Head	1	M	3120
Narooma - Bermagui	0	F	591
Narooma - Bermagui	0	M	605
Narooma - Bermagui	1	F	3496
Narooma - Bermagui	1	M	3377
Goulburn	0	F	1020
Goulburn	0	M	1126
Goulburn	1	F	9578
Goulburn	1	M	9568
Goulburn Region	0	F	568
Goulburn Region	0	M	569
Goulburn Region	1	F	4970
Goulburn Region	1	M	5336
Yass	0	F	287
Yass	0	M	240
Yass	1	F	2857
Yass	1	M	2651
Yass Region	0	F	662
Yass Region	0	M	621
Yass Region	1	F	4676
Yass Region	1	M	4704
Young	0	F	334
Young	0	M	286
Young	1	F	4700
Young	1	M	4401
Young Region	0	F	277
Young Region	0	M	219
Young Region	1	F	3057
Young Region	1	M	3181
Avoca Beach - Copacabana	0	F	616
Avoca Beach - Copacabana	0	M	663
Avoca Beach - Copacabana	1	F	2842
Avoca Beach - Copacabana	1	M	2824
Box Head - MacMasters Beach	0	F	824
Box Head - MacMasters Beach	0	M	799
Box Head - MacMasters Beach	1	F	4350
Box Head - MacMasters Beach	1	M	4177
Calga - Kulnura	0	F	341
Calga - Kulnura	0	M	364
Calga - Kulnura	1	F	1654
Calga - Kulnura	1	M	1819
Erina - Green Point	0	F	1464
Erina - Green Point	0	M	1277
Erina - Green Point	1	F	5441
Erina - Green Point	1	M	4803
Gosford - Springfield	0	F	2092
Gosford - Springfield	0	M	1899
Gosford - Springfield	1	F	6870
Gosford - Springfield	1	M	6554
Kariong	0	F	561
Kariong	0	M	559
Kariong	1	F	2441
Kariong	1	M	2510
Kincumber - Picketts Valley	0	F	621
Kincumber - Picketts Valley	0	M	493
Kincumber - Picketts Valley	1	F	3142
Kincumber - Picketts Valley	1	M	2699
Narara	0	F	590
Narara	0	M	536
Narara	1	F	2658
Narara	1	M	2582
