SA2_NAME16	medianTotalHouseholdIncome
Braidwood	56316
Karabar	87984
Queanbeyan	72800
Queanbeyan - East	74568
Queanbeyan Region	128856
Queanbeyan West - Jerrabomberra	128908
Bombala	54496
Cooma	52468
Cooma Region	63856
Jindabyne - Berridale	72644
Batemans Bay	47112
Batemans Bay - South	52000
Bega - Tathra	55172
Bega-Eden Hinterland	51064
Broulee - Tomakin	55120
Deua - Wadbilliga	44148
Eden	44252
Eurobodalla Hinterland	52468
Merimbula - Tura Beach	52728
Moruya - Tuross Head	47424
Narooma - Bermagui	44096
Goulburn	60528
Goulburn Region	62712
Yass	76440
Yass Region	107276
Young	50284
Young Region	50180
Avoca Beach - Copacabana	97188
Box Head - MacMasters Beach	73424
Calga - Kulnura	74932
Erina - Green Point	66248
Gosford - Springfield	62244
Kariong	94276
Kincumber - Picketts Valley	57200
Narara	81068
Niagara Park - Lisarow	86580
Point Clare - Koolewong	73164
Saratoga - Davistown	72904
Terrigal - North Avoca	91520
Umina - Booker Bay - Patonga	55744
Wamberal - Forresters Beach	96304
Woy Woy - Blackwall	54080
Wyoming	63908
Bateau Bay - Killarney Vale	64792
Blue Haven - San Remo	65000
Budgewoi - Buff Point - Halekulani	52260
Chittaway Bay - Tumbi Umbi	76232
Gorokan - Kanwal - Charmhaven	54652
Jilliby - Yarramalong	100984
Lake Munmorah - Mannering Park	50804
Ourimbah - Fountaindale	86788
Summerland Point - Gwandalan	61672
The Entrance	51168
Toukley - Norah Head	50492
Tuggerah - Kangy Angy	78832
Warnervale - Wadalba	87256
Wyong	54912
Bathurst	64168
Bathurst - East	77012
Bathurst Region	70512
Oberon	62764
Condobolin	53560
Cowra	48776
Cowra Region	50648
Forbes	55484
Grenfell	47008
Parkes (NSW)	58812
Parkes Region	51012
West Wyalong	57096
Lithgow	47788
Lithgow Region	58396
Mudgee	67340
Mudgee Region - East	40092
Mudgee Region - West	55328
Wollangambe - Wollemi	
Blayney	63804
Orange	55640
Orange - North	82212
Orange Region	77116
Grafton	47892
Grafton Region	49660
Maclean - Yamba - Iluka	45292
Bellingen	54600
Coffs Harbour - North	54236
Coffs Harbour - South	52468
Coramba - Nana Glen - Bucca	67340
Dorrigo	42692
Korora - Emerald Beach	76596
Sawtell - Boambee	56784
Urunga	52156
Woolgoolga - Arrawarra	55068
Bourke - Brewarrina	57668
Cobar	77688
Coonamble	52468
Nyngan - Warren	57200
Walgett - Lightning Ridge	41652
Broken Hill	50180
Far West	50440
Coonabarabran	45708
Dubbo - East	69472
Dubbo - South	69004
Dubbo - West	66560
Dubbo Region	77532
Gilgandra	51792
Narromine	56316
Wellington	48828
Branxton - Greta - Pokolbin	86736
Cessnock	54236
Cessnock Region	73164
Dungog	63752
Kurri Kurri - Abermain	58292
Singleton	84708
Singleton Region	87984
Maitland	74360
Maitland - East	67548
Maitland - North	95836
Maitland - West	71656
Thornton - Millers Forest	90116
Anna Bay	60060
Lemon Tree Passage - Tanilba Bay	50648
Nelson Bay Peninsula	57044
Raymond Terrace	56368
Seaham - Woodville	97812
Tea Gardens - Hawks Nest	46956
Williamtown - Medowie - Karuah	77428
Muswellbrook	69212
Muswellbrook Region	72696
Scone	69160
Scone Region	61412
Dapto - Avondale	63336
Horsley - Kembla Grange	95472
Port Kembla Industrial	
Unanderra - Mount Kembla	78936
Berkeley - Lake Heights - Cringila	54548
Port Kembla - Warrawong	45344
Windang - Primbee	46956
Illawarra Catchment Reserve	
Albion Park - Macquarie Pass	88036
Albion Park Rail	62296
Kiama	69004
Kiama Downs - Minnamurra	92768
Kiama Hinterland - Gerringong	82524
Shellharbour - Flinders	94484
Shellharbour - Oak Flats	67496
Warilla	51428
Balgownie - Fairy Meadow	67600
Corrimal - Tarrawanna - Bellambi	60008
Figtree - Keiraville	76492
Helensburgh	112268
Thirroul - Austinmer - Coalcliff	104520
Woonona - Bulli - Russell Vale	83980
Wollongong - East	64012
Wollongong - West	63076
Bulahdelah - Stroud	51480
Forster	45292
Forster-Tuncurry Region	47892
Tuncurry	39000
Kempsey	46228
Kempsey Region	47476
Macksville - Scotts Head	47736
Nambucca Heads	38740
Nambucca Heads Region	48204
South West Rocks	45292
Lord Howe Island	72644
Laurieton - Bonny Hills	47320
Port Macquarie - East	59904
Port Macquarie - West	49608
Port Macquarie Region	61204
Wauchope	57460
Gloucester	46696
Old Bar - Manning Point - Red Head	54236
Taree	44148
Taree Region	46124
Wingham	47424
Albury - East	77480
Albury - North	58084
Albury - South	63492
Albury Region	64480
Lavington	48568
Hay	56264
Wentworth - Buronga	54704
Wentworth-Balranald Region	59176
Corowa	51896
Corowa Region	54184
Deniliquin	54496
Deniliquin Region	52728
Moama	60164
Tocumwal - Finley - Jerilderie	51584
Armidale	62452
Armidale Region - North	56004
Armidale Region - South	58812
Walcha	54704
Glen Innes	43576
Inverell	50492
Inverell Region - East	44564
Inverell Region - West	46436
Tenterfield	39884
Moree	63024
Moree Region	67236
Narrabri	67184
Narrabri Region	62296
Gunnedah	65364
Gunnedah Region	63492
Quirindi	53664
Tamworth - East	61620
Tamworth - North	64532
Tamworth - West	51324
Tamworth Region	60996
Belmont - Bennetts Green	66612
Belmont South - Blacksmiths	52520
Charlestown - Dudley	72696
Glendale - Cardiff - Hillsborough	75348
Mount Hutton - Windale	50076
Redhead	66612
Swansea - Caves Beach	60788
Valentine - Eleebana	94692
Warners Bay - Boolaroo	68848
Bolton Point - Teralba	59800
Bonnells Bay - Silverwater	64376
Edgeworth - Cameron Park	83512
Morisset - Cooranbong	58084
Toronto - Awaba	62348
Wangi Wangi - Rathmines	67548
West Wallsend - Barnsley - Killingworth	71916
Adamstown - Kotara	80444
Beresfield - Hexham	54184
Hamilton - Broadmeadow	67912
Lambton - New Lambton	76700
Maryland - Fletcher - Minmi	93392
Mayfield - Warabrook	64220
Merewether - The Junction	94380
Newcastle - Cooks Hill	85696
Newcastle Port - Kooragang	68224
Shortland - Jesmond	51584
Stockton - Fullerton Cove	60528
Wallsend - Elermore Vale	61828
Waratah - North Lambton	62140
Wickham - Carrington - Tighes Hill	73424
Ballina	50232
Ballina Region	65208
Bangalow	70356
Brunswick Heads - Ocean Shores	53716
Byron Bay	69108
Evans Head	48828
Lennox Head - Skennars Head	80340
Mullumbimby	51636
Casino	47632
Casino Region	51688
Goonellabah	57200
Kyogle	43992
Lismore	49764
Lismore Region	60736
Kingscliff - Fingal Head	63596
Murwillumbah	50076
Murwillumbah Region	57668
Pottsville	62400
Tweed Heads	50284
Banora Point	57772
Terranora - North Tumblegum	87100
Tweed Heads South	40872
Griffith (NSW)	67756
Griffith Region	68380
Leeton	62244
Narrandera	53300
Tumbarumba	59020
Tumut	55952
Tumut Region	60944
Cootamundra	47840
Gundagai	56524
Junee	58968
Temora	52312
Wagga Wagga - East	74204
Wagga Wagga - North	87516
Wagga Wagga - South	70408
Wagga Wagga - West	57616
Wagga Wagga Region	70096
Berry - Kangaroo Valley	59436
Callala Bay - Currarong	49452
Culburra Beach	48256
Ettrema - Sassafras - Budawang	46800
Huskisson - Vincentia	60892
North Nowra - Bomaderry	59020
Nowra	53664
