SA2_NAME16	MaxSchoolingCompleted	adults
Braidwood	Did not go to school	6
Braidwood	Year 8	118
Braidwood	Year 9	243
Braidwood	Year 10	828
Braidwood	Year 11	180
Braidwood	Year 12	1402
Karabar	Did not go to school	34
Karabar	Year 8	400
Karabar	Year 9	469
Karabar	Year 10	1660
Karabar	Year 11	454
Karabar	Year 12	3110
Queanbeyan	Did not go to school	86
Queanbeyan	Year 8	531
Queanbeyan	Year 9	487
Queanbeyan	Year 10	1839
Queanbeyan	Year 11	508
Queanbeyan	Year 12	4788
Queanbeyan - East	Did not go to school	17
Queanbeyan - East	Year 8	129
Queanbeyan - East	Year 9	190
Queanbeyan - East	Year 10	761
Queanbeyan - East	Year 11	276
Queanbeyan - East	Year 12	2338
Queanbeyan Region	Did not go to school	26
Queanbeyan Region	Year 8	299
Queanbeyan Region	Year 9	607
Queanbeyan Region	Year 10	2559
Queanbeyan Region	Year 11	789
Queanbeyan Region	Year 12	7632
Queanbeyan West - Jerrabomberra	Did not go to school	16
Queanbeyan West - Jerrabomberra	Year 8	269
Queanbeyan West - Jerrabomberra	Year 9	478
Queanbeyan West - Jerrabomberra	Year 10	1861
Queanbeyan West - Jerrabomberra	Year 11	647
Queanbeyan West - Jerrabomberra	Year 12	5956
Bombala	Did not go to school	17
Bombala	Year 8	167
Bombala	Year 9	200
Bombala	Year 10	598
Bombala	Year 11	151
Bombala	Year 12	661
Cooma	Did not go to school	29
Cooma	Year 8	330
Cooma	Year 9	457
Cooma	Year 10	1566
Cooma	Year 11	387
Cooma	Year 12	2082
Cooma Region	Did not go to school	7
Cooma Region	Year 8	121
Cooma Region	Year 9	218
Cooma Region	Year 10	738
Cooma Region	Year 11	179
Cooma Region	Year 12	1130
Jindabyne - Berridale	Did not go to school	11
Jindabyne - Berridale	Year 8	140
Jindabyne - Berridale	Year 9	260
Jindabyne - Berridale	Year 10	1292
Jindabyne - Berridale	Year 11	427
Jindabyne - Berridale	Year 12	2975
Batemans Bay	Did not go to school	18
Batemans Bay	Year 8	381
Batemans Bay	Year 9	642
Batemans Bay	Year 10	2082
Batemans Bay	Year 11	486
Batemans Bay	Year 12	2089
Batemans Bay - South	Did not go to school	14
Batemans Bay - South	Year 8	409
Batemans Bay - South	Year 9	640
Batemans Bay - South	Year 10	2084
Batemans Bay - South	Year 11	509
Batemans Bay - South	Year 12	2654
Bega - Tathra	Did not go to school	9
Bega - Tathra	Year 8	389
Bega - Tathra	Year 9	544
Bega - Tathra	Year 10	1951
Bega - Tathra	Year 11	596
Bega - Tathra	Year 12	2603
Bega-Eden Hinterland	Did not go to school	20
Bega-Eden Hinterland	Year 8	386
Bega-Eden Hinterland	Year 9	583
Bega-Eden Hinterland	Year 10	2208
Bega-Eden Hinterland	Year 11	648
Bega-Eden Hinterland	Year 12	2764
Broulee - Tomakin	Did not go to school	3
Broulee - Tomakin	Year 8	129
Broulee - Tomakin	Year 9	263
Broulee - Tomakin	Year 10	745
Broulee - Tomakin	Year 11	198
Broulee - Tomakin	Year 12	1182
Deua - Wadbilliga	Year 8	4
Deua - Wadbilliga	Year 12	9
Eden	Did not go to school	10
Eden	Year 8	202
Eden	Year 9	262
Eden	Year 10	808
Eden	Year 11	247
Eden	Year 12	790
Eurobodalla Hinterland	Did not go to school	6
Eurobodalla Hinterland	Year 8	152
Eurobodalla Hinterland	Year 9	259
Eurobodalla Hinterland	Year 10	931
Eurobodalla Hinterland	Year 11	214
Eurobodalla Hinterland	Year 12	1006
Merimbula - Tura Beach	Did not go to school	16
Merimbula - Tura Beach	Year 8	437
Merimbula - Tura Beach	Year 9	699
Merimbula - Tura Beach	Year 10	2444
Merimbula - Tura Beach	Year 11	996
Merimbula - Tura Beach	Year 12	3605
Moruya - Tuross Head	Did not go to school	20
Moruya - Tuross Head	Year 8	401
Moruya - Tuross Head	Year 9	659
Moruya - Tuross Head	Year 10	2053
Moruya - Tuross Head	Year 11	499
Moruya - Tuross Head	Year 12	2601
