SA2_NAME16	AgeStudent	Sex	students
Braidwood	0-4	F	22
Braidwood	0-4	M	27
Braidwood	5-14	F	185
Braidwood	5-14	M	196
Braidwood	15-19	F	65
Braidwood	15-19	M	68
Braidwood	20-24	F	17
Braidwood	20-24	M	8
Braidwood	25+	F	66
Braidwood	25+	M	30
Karabar	0-4	F	25
Karabar	0-4	M	45
Karabar	5-14	F	483
Karabar	5-14	M	512
Karabar	15-19	F	188
Karabar	15-19	M	202
Karabar	20-24	F	82
Karabar	20-24	M	78
Karabar	25+	F	152
Karabar	25+	M	100
Queanbeyan	0-4	F	51
Queanbeyan	0-4	M	80
Queanbeyan	5-14	F	416
Queanbeyan	5-14	M	416
Queanbeyan	15-19	F	136
Queanbeyan	15-19	M	154
Queanbeyan	20-24	F	129
Queanbeyan	20-24	M	96
Queanbeyan	25+	F	335
Queanbeyan	25+	M	212
Queanbeyan - East	0-4	F	21
Queanbeyan - East	0-4	M	48
Queanbeyan - East	5-14	F	181
Queanbeyan - East	5-14	M	208
Queanbeyan - East	15-19	F	81
Queanbeyan - East	15-19	M	80
Queanbeyan - East	20-24	F	51
Queanbeyan - East	20-24	M	42
Queanbeyan - East	25+	F	162
Queanbeyan - East	25+	M	119
Queanbeyan Region	0-4	F	109
Queanbeyan Region	0-4	M	120
Queanbeyan Region	5-14	F	1089
Queanbeyan Region	5-14	M	1174
Queanbeyan Region	15-19	F	418
Queanbeyan Region	15-19	M	446
Queanbeyan Region	20-24	F	137
Queanbeyan Region	20-24	M	122
Queanbeyan Region	25+	F	365
Queanbeyan Region	25+	M	196
Queanbeyan West - Jerrabomberra	0-4	F	93
Queanbeyan West - Jerrabomberra	0-4	M	93
Queanbeyan West - Jerrabomberra	5-14	F	976
Queanbeyan West - Jerrabomberra	5-14	M	1000
Queanbeyan West - Jerrabomberra	15-19	F	390
Queanbeyan West - Jerrabomberra	15-19	M	442
Queanbeyan West - Jerrabomberra	20-24	F	143
Queanbeyan West - Jerrabomberra	20-24	M	134
Queanbeyan West - Jerrabomberra	25+	F	312
Queanbeyan West - Jerrabomberra	25+	M	242
Bombala	0-4	F	11
Bombala	0-4	M	20
