SA2_NAME16	Age	NeedsAssistance	Sex	persons
Braidwood	0-4		F	7
Braidwood	0-4		M	15
Braidwood	0-4	0	F	80
Braidwood	0-4	0	M	103
Braidwood	5-14		F	27
Braidwood	5-14		M	19
Braidwood	5-14	0	F	190
Braidwood	5-14	0	M	202
Braidwood	5-14	1	M	11
Braidwood	15-19		F	11
Braidwood	15-19		M	9
Braidwood	15-19	0	F	82
Braidwood	15-19	0	M	83
Braidwood	15-19	1	M	3
Braidwood	20-24		F	5
Braidwood	20-24		M	8
Braidwood	20-24	0	F	42
Braidwood	20-24	0	M	48
Braidwood	25-34		F	23
Braidwood	25-34		M	14
Braidwood	25-34	0	F	124
Braidwood	25-34	0	M	129
Braidwood	25-34	1	F	3
Braidwood	25-34	1	M	5
Braidwood	35-44		F	33
Braidwood	35-44		M	29
Braidwood	35-44	0	F	197
Braidwood	35-44	0	M	170
Braidwood	35-44	1	F	9
Braidwood	35-44	1	M	6
Braidwood	45-54		F	35
Braidwood	45-54		M	35
Braidwood	45-54	0	F	249
Braidwood	45-54	0	M	234
Braidwood	45-54	1	F	9
Braidwood	45-54	1	M	5
Braidwood	55-64		F	40
Braidwood	55-64		M	38
Braidwood	55-64	0	F	286
Braidwood	55-64	0	M	295
Braidwood	55-64	1	F	12
Braidwood	55-64	1	M	20
Braidwood	65-74		F	45
Braidwood	65-74		M	34
Braidwood	65-74	0	F	245
Braidwood	65-74	0	M	242
Braidwood	65-74	1	F	13
Braidwood	65-74	1	M	20
Braidwood	75-84		F	15
Braidwood	75-84		M	15
Braidwood	75-84	0	F	79
Braidwood	75-84	0	M	95
Braidwood	75-84	1	F	13
Braidwood	75-84	1	M	20
Braidwood	85+		F	10
Braidwood	85+		M	3
Braidwood	85+	0	F	15
Braidwood	85+	0	M	16
Braidwood	85+	1	F	17
Braidwood	85+	1	M	8
Karabar	0-4		F	14
Karabar	0-4		M	21
Karabar	0-4	0	F	220
Karabar	0-4	0	M	257
Karabar	0-4	1	F	8
Karabar	0-4	1	M	3
Karabar	5-14		F	35
Karabar	5-14		M	33
Karabar	5-14	0	F	488
Karabar	5-14	0	M	496
Karabar	5-14	1	F	21
Karabar	5-14	1	M	30
Karabar	15-19		F	17
Karabar	15-19		M	22
Karabar	15-19	0	F	250
Karabar	15-19	0	M	271
Karabar	15-19	1	F	5
Karabar	15-19	1	M	10
Karabar	20-24		F	17
Karabar	20-24		M	9
Karabar	20-24	0	F	249
Karabar	20-24	0	M	244
Karabar	20-24	1	F	10
Karabar	20-24	1	M	11
Karabar	25-34		F	33
Karabar	25-34		M	28
Karabar	25-34	0	F	510
Karabar	25-34	0	M	489
Karabar	25-34	1	F	13
