SA2_NAME16	EduInstitutionType	Sex	students
Braidwood		F	254
Braidwood		M	247
Braidwood	Infants/Primary	F	131
Braidwood	Infants/Primary	M	142
Braidwood	Pre-school	F	23
Braidwood	Pre-school	M	37
Braidwood	Secondary	F	99
Braidwood	Secondary	M	91
Braidwood	Technical or Further Educational Institution	F	27
Braidwood	Technical or Further Educational Institution	M	21
Braidwood	University or other tertiary	F	42
Braidwood	University or other tertiary	M	24
Karabar		F	343
Karabar		M	287
Karabar	Infants/Primary	F	333
Karabar	Infants/Primary	M	360
Karabar	Pre-school	F	40
Karabar	Pre-school	M	61
Karabar	Secondary	F	271
Karabar	Secondary	M	294
Karabar	Technical or Further Educational Institution	F	94
Karabar	Technical or Further Educational Institution	M	103
Karabar	University or other tertiary	F	140
Karabar	University or other tertiary	M	101
Queanbeyan		F	462
Queanbeyan		M	472
Queanbeyan	Infants/Primary	F	323
Queanbeyan	Infants/Primary	M	299
Queanbeyan	Pre-school	F	57
Queanbeyan	Pre-school	M	91
Queanbeyan	Secondary	F	183
Queanbeyan	Secondary	M	230
Queanbeyan	Technical or Further Educational Institution	F	145
Queanbeyan	Technical or Further Educational Institution	M	122
Queanbeyan	University or other tertiary	F	289
Queanbeyan	University or other tertiary	M	187
Queanbeyan - East		F	165
Queanbeyan - East		M	170
Queanbeyan - East	Infants/Primary	F	143
Queanbeyan - East	Infants/Primary	M	143
Queanbeyan - East	Pre-school	F	24
Queanbeyan - East	Pre-school	M	49
Queanbeyan - East	Secondary	F	104
Queanbeyan - East	Secondary	M	104
Queanbeyan - East	Technical or Further Educational Institution	F	66
Queanbeyan - East	Technical or Further Educational Institution	M	49
Queanbeyan - East	University or other tertiary	F	145
Queanbeyan - East	University or other tertiary	M	112
Queanbeyan Region		F	872
Queanbeyan Region		M	901
Queanbeyan Region	Infants/Primary	F	780
Queanbeyan Region	Infants/Primary	M	851
Queanbeyan Region	Pre-school	F	130
Queanbeyan Region	Pre-school	M	151
Queanbeyan Region	Secondary	F	632
Queanbeyan Region	Secondary	M	654
Queanbeyan Region	Technical or Further Educational Institution	F	159
Queanbeyan Region	Technical or Further Educational Institution	M	173
Queanbeyan Region	University or other tertiary	F	372
Queanbeyan Region	University or other tertiary	M	205
Queanbeyan West - Jerrabomberra		F	316
Queanbeyan West - Jerrabomberra		M	324
Queanbeyan West - Jerrabomberra	Infants/Primary	F	701
Queanbeyan West - Jerrabomberra	Infants/Primary	M	715
Queanbeyan West - Jerrabomberra	Pre-school	F	97
Queanbeyan West - Jerrabomberra	Pre-school	M	115
Queanbeyan West - Jerrabomberra	Secondary	F	574
Queanbeyan West - Jerrabomberra	Secondary	M	592
Queanbeyan West - Jerrabomberra	Technical or Further Educational Institution	F	124
Queanbeyan West - Jerrabomberra	Technical or Further Educational Institution	M	123
Queanbeyan West - Jerrabomberra	University or other tertiary	F	370
Queanbeyan West - Jerrabomberra	University or other tertiary	M	339
Bombala		F	110
Bombala		M	106
Bombala	Infants/Primary	F	97
Bombala	Infants/Primary	M	85
Bombala	Pre-school	F	19
Bombala	Pre-school	M	19
Bombala	Secondary	F	57
Bombala	Secondary	M	49
Bombala	Technical or Further Educational Institution	F	16
Bombala	Technical or Further Educational Institution	M	19
Bombala	University or other tertiary	F	24
Bombala	University or other tertiary	M	8
Cooma		F	365
Cooma		M	527
Cooma	Infants/Primary	F	231
Cooma	Infants/Primary	M	256
Cooma	Pre-school	F	50
Cooma	Pre-school	M	51
Cooma	Secondary	F	183
Cooma	Secondary	M	188
Cooma	Technical or Further Educational Institution	F	87
Cooma	Technical or Further Educational Institution	M	46
Cooma	University or other tertiary	F	89
Cooma	University or other tertiary	M	48
Cooma Region		F	183
Cooma Region		M	166
Cooma Region	Infants/Primary	F	130
Cooma Region	Infants/Primary	M	134
Cooma Region	Pre-school	F	10
Cooma Region	Pre-school	M	24
Cooma Region	Secondary	F	97
Cooma Region	Secondary	M	109
Cooma Region	Technical or Further Educational Institution	F	27
Cooma Region	Technical or Further Educational Institution	M	25
Cooma Region	University or other tertiary	F	42
Cooma Region	University or other tertiary	M	19
Jindabyne - Berridale		F	337
Jindabyne - Berridale		M	407
Jindabyne - Berridale	Infants/Primary	F	289
Jindabyne - Berridale	Infants/Primary	M	323
Jindabyne - Berridale	Pre-school	F	44
Jindabyne - Berridale	Pre-school	M	66
Jindabyne - Berridale	Secondary	F	211
Jindabyne - Berridale	Secondary	M	233
Jindabyne - Berridale	Technical or Further Educational Institution	F	73
Jindabyne - Berridale	Technical or Further Educational Institution	M	74
Jindabyne - Berridale	University or other tertiary	F	103
Jindabyne - Berridale	University or other tertiary	M	50
Batemans Bay		F	400
Batemans Bay		M	390
Batemans Bay	Infants/Primary	F	277
Batemans Bay	Infants/Primary	M	279
Batemans Bay	Pre-school	F	54
Batemans Bay	Pre-school	M	46
Batemans Bay	Secondary	F	200
Batemans Bay	Secondary	M	195
Batemans Bay	Technical or Further Educational Institution	F	49
Batemans Bay	Technical or Further Educational Institution	M	45
Batemans Bay	University or other tertiary	F	56
Batemans Bay	University or other tertiary	M	22
Batemans Bay - South		F	466
Batemans Bay - South		M	418
Batemans Bay - South	Infants/Primary	F	270
Batemans Bay - South	Infants/Primary	M	275
Batemans Bay - South	Pre-school	F	41
Batemans Bay - South	Pre-school	M	45
Batemans Bay - South	Secondary	F	216
Batemans Bay - South	Secondary	M	218
Batemans Bay - South	Technical or Further Educational Institution	F	71
Batemans Bay - South	Technical or Further Educational Institution	M	52
Batemans Bay - South	University or other tertiary	F	95
Batemans Bay - South	University or other tertiary	M	34
Bega - Tathra		F	440
Bega - Tathra		M	435
Bega - Tathra	Infants/Primary	F	341
Bega - Tathra	Infants/Primary	M	359
Bega - Tathra	Pre-school	F	61
Bega - Tathra	Pre-school	M	76
Bega - Tathra	Secondary	F	264
Bega - Tathra	Secondary	M	237
Bega - Tathra	Technical or Further Educational Institution	F	65
Bega - Tathra	Technical or Further Educational Institution	M	47
Bega - Tathra	University or other tertiary	F	104
Bega - Tathra	University or other tertiary	M	37
Bega-Eden Hinterland		F	381
Bega-Eden Hinterland		M	386
Bega-Eden Hinterland	Infants/Primary	F	337
Bega-Eden Hinterland	Infants/Primary	M	338
Bega-Eden Hinterland	Pre-school	F	61
Bega-Eden Hinterland	Pre-school	M	67
Bega-Eden Hinterland	Secondary	F	291
Bega-Eden Hinterland	Secondary	M	288
Bega-Eden Hinterland	Technical or Further Educational Institution	F	77
Bega-Eden Hinterland	Technical or Further Educational Institution	M	57
Bega-Eden Hinterland	University or other tertiary	F	99
Bega-Eden Hinterland	University or other tertiary	M	25
Broulee - Tomakin		F	137
Broulee - Tomakin		M	139
Broulee - Tomakin	Infants/Primary	F	128
Broulee - Tomakin	Infants/Primary	M	116
Broulee - Tomakin	Pre-school	F	20
Broulee - Tomakin	Pre-school	M	25
Broulee - Tomakin	Secondary	F	90
Broulee - Tomakin	Secondary	M	129
Broulee - Tomakin	Technical or Further Educational Institution	F	21
Broulee - Tomakin	Technical or Further Educational Institution	M	14
Broulee - Tomakin	University or other tertiary	F	40
Broulee - Tomakin	University or other tertiary	M	18
Deua - Wadbilliga		F	3
Eden		F	175
Eden		M	150
Eden	Infants/Primary	F	95
Eden	Infants/Primary	M	118
Eden	Pre-school	F	24
Eden	Pre-school	M	20
Eden	Secondary	F	88
Eden	Secondary	M	85
Eden	Technical or Further Educational Institution	F	25
Eden	Technical or Further Educational Institution	M	24
Eden	University or other tertiary	F	21
Eden	University or other tertiary	M	3
Eurobodalla Hinterland		F	145
Eurobodalla Hinterland		M	140
Eurobodalla Hinterland	Infants/Primary	F	96
Eurobodalla Hinterland	Infants/Primary	M	121
Eurobodalla Hinterland	Pre-school	F	11
Eurobodalla Hinterland	Pre-school	M	13
Eurobodalla Hinterland	Secondary	F	109
Eurobodalla Hinterland	Secondary	M	96
Eurobodalla Hinterland	Technical or Further Educational Institution	F	29
Eurobodalla Hinterland	Technical or Further Educational Institution	M	23
Eurobodalla Hinterland	University or other tertiary	F	22
Eurobodalla Hinterland	University or other tertiary	M	7
Merimbula - Tura Beach		F	524
Merimbula - Tura Beach		M	426
Merimbula - Tura Beach	Infants/Primary	F	311
Merimbula - Tura Beach	Infants/Primary	M	364
Merimbula - Tura Beach	Pre-school	F	68
Merimbula - Tura Beach	Pre-school	M	78
Merimbula - Tura Beach	Secondary	F	269
Merimbula - Tura Beach	Secondary	M	283
Merimbula - Tura Beach	Technical or Further Educational Institution	F	86
Merimbula - Tura Beach	Technical or Further Educational Institution	M	55
Merimbula - Tura Beach	University or other tertiary	F	113
Merimbula - Tura Beach	University or other tertiary	M	36
Moruya - Tuross Head		F	368
Moruya - Tuross Head		M	343
Moruya - Tuross Head	Infants/Primary	F	250
Moruya - Tuross Head	Infants/Primary	M	264
Moruya - Tuross Head	Pre-school	F	46
Moruya - Tuross Head	Pre-school	M	53
Moruya - Tuross Head	Secondary	F	205
Moruya - Tuross Head	Secondary	M	206
Moruya - Tuross Head	Technical or Further Educational Institution	F	73
Moruya - Tuross Head	Technical or Further Educational Institution	M	64
Moruya - Tuross Head	University or other tertiary	F	79
Moruya - Tuross Head	University or other tertiary	M	23
Narooma - Bermagui		F	464
Narooma - Bermagui		M	427
Narooma - Bermagui	Infants/Primary	F	230
Narooma - Bermagui	Infants/Primary	M	291
Narooma - Bermagui	Pre-school	F	57
Narooma - Bermagui	Pre-school	M	71
Narooma - Bermagui	Secondary	F	188
Narooma - Bermagui	Secondary	M	200
Narooma - Bermagui	Technical or Further Educational Institution	F	49
Narooma - Bermagui	Technical or Further Educational Institution	M	46
Narooma - Bermagui	University or other tertiary	F	66
Narooma - Bermagui	University or other tertiary	M	35
Goulburn		F	995
Goulburn		M	1438
Goulburn	Infants/Primary	F	861
Goulburn	Infants/Primary	M	952
Goulburn	Pre-school	F	214
Goulburn	Pre-school	M	202
Goulburn	Secondary	F	621
Goulburn	Secondary	M	692
Goulburn	Technical or Further Educational Institution	F	268
Goulburn	Technical or Further Educational Institution	M	212
Goulburn	University or other tertiary	F	329
Goulburn	University or other tertiary	M	184
Goulburn Region		F	591
Goulburn Region		M	636
Goulburn Region	Infants/Primary	F	495
Goulburn Region	Infants/Primary	M	525
Goulburn Region	Pre-school	F	85
Goulburn Region	Pre-school	M	122
Goulburn Region	Secondary	F	364
Goulburn Region	Secondary	M	375
Goulburn Region	Technical or Further Educational Institution	F	122
Goulburn Region	Technical or Further Educational Institution	M	112
Goulburn Region	University or other tertiary	F	144
Goulburn Region	University or other tertiary	M	52
Yass		F	362
Yass		M	270
Yass	Infants/Primary	F	279
Yass	Infants/Primary	M	299
Yass	Pre-school	F	59
Yass	Pre-school	M	72
Yass	Secondary	F	206
Yass	Secondary	M	202
Yass	Technical or Further Educational Institution	F	80
Yass	Technical or Further Educational Institution	M	58
Yass	University or other tertiary	F	127
Yass	University or other tertiary	M	54
Yass Region		F	416
Yass Region		M	434
Yass Region	Infants/Primary	F	546
Yass Region	Infants/Primary	M	554
Yass Region	Pre-school	F	101
Yass Region	Pre-school	M	115
Yass Region	Secondary	F	481
Yass Region	Secondary	M	442
Yass Region	Technical or Further Educational Institution	F	109
Yass Region	Technical or Further Educational Institution	M	81
Yass Region	University or other tertiary	F	233
Yass Region	University or other tertiary	M	133
Young		F	466
Young		M	415
Young	Infants/Primary	F	506
Young	Infants/Primary	M	516
Young	Pre-school	F	104
Young	Pre-school	M	113
Young	Secondary	F	355
Young	Secondary	M	353
Young	Technical or Further Educational Institution	F	133
Young	Technical or Further Educational Institution	M	74
Young	University or other tertiary	F	110
Young	University or other tertiary	M	37
Young Region		F	325
Young Region		M	302
Young Region	Infants/Primary	F	289
Young Region	Infants/Primary	M	306
Young Region	Pre-school	F	55
Young Region	Pre-school	M	60
Young Region	Secondary	F	217
Young Region	Secondary	M	214
Young Region	Technical or Further Educational Institution	F	75
Young Region	Technical or Further Educational Institution	M	46
Young Region	University or other tertiary	F	86
Young Region	University or other tertiary	M	36
Avoca Beach - Copacabana		F	195
Avoca Beach - Copacabana		M	213
Avoca Beach - Copacabana	Infants/Primary	F	354
Avoca Beach - Copacabana	Infants/Primary	M	394
Avoca Beach - Copacabana	Pre-school	F	90
Avoca Beach - Copacabana	Pre-school	M	83
Avoca Beach - Copacabana	Secondary	F	303
Avoca Beach - Copacabana	Secondary	M	324
Avoca Beach - Copacabana	Technical or Further Educational Institution	F	56
Avoca Beach - Copacabana	Technical or Further Educational Institution	M	60
Avoca Beach - Copacabana	University or other tertiary	F	191
Avoca Beach - Copacabana	University or other tertiary	M	123
Box Head - MacMasters Beach		F	335
Box Head - MacMasters Beach		M	261
Box Head - MacMasters Beach	Infants/Primary	F	416
Box Head - MacMasters Beach	Infants/Primary	M	446
Box Head - MacMasters Beach	Pre-school	F	111
Box Head - MacMasters Beach	Pre-school	M	103
Box Head - MacMasters Beach	Secondary	F	366
Box Head - MacMasters Beach	Secondary	M	355
Box Head - MacMasters Beach	Technical or Further Educational Institution	F	78
Box Head - MacMasters Beach	Technical or Further Educational Institution	M	95
Box Head - MacMasters Beach	University or other tertiary	F	210
Box Head - MacMasters Beach	University or other tertiary	M	146
Calga - Kulnura		F	255
Calga - Kulnura		M	272
Calga - Kulnura	Infants/Primary	F	162
Calga - Kulnura	Infants/Primary	M	163
Calga - Kulnura	Pre-school	F	35
Calga - Kulnura	Pre-school	M	21
Calga - Kulnura	Secondary	F	147
Calga - Kulnura	Secondary	M	156
Calga - Kulnura	Technical or Further Educational Institution	F	55
Calga - Kulnura	Technical or Further Educational Institution	M	40
Calga - Kulnura	University or other tertiary	F	83
Calga - Kulnura	University or other tertiary	M	35
Erina - Green Point		F	577
Erina - Green Point		M	398
Erina - Green Point	Infants/Primary	F	499
Erina - Green Point	Infants/Primary	M	549
Erina - Green Point	Pre-school	F	97
Erina - Green Point	Pre-school	M	119
Erina - Green Point	Secondary	F	462
Erina - Green Point	Secondary	M	455
Erina - Green Point	Technical or Further Educational Institution	F	123
Erina - Green Point	Technical or Further Educational Institution	M	84
Erina - Green Point	University or other tertiary	F	305
Erina - Green Point	University or other tertiary	M	224
Gosford - Springfield		F	823
Gosford - Springfield		M	728
Gosford - Springfield	Infants/Primary	F	653
Gosford - Springfield	Infants/Primary	M	646
Gosford - Springfield	Pre-school	F	140
Gosford - Springfield	Pre-school	M	160
Gosford - Springfield	Secondary	F	450
Gosford - Springfield	Secondary	M	513
