SA2_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Braidwood		0	18
Braidwood	(Other)	11812	3
Braidwood	Person not in same household	0	15
Braidwood	Person not in same household	5250	10
Braidwood	Person not in same household	7875	13
Braidwood	Person not in same household	10500	11
Braidwood	Person not in same household	11812	13
Braidwood	Person not in same household	14437	23
Braidwood	Person not in same household	18375	7
Braidwood	Real estate agent	0	3
Braidwood	Real estate agent	5250	3
Braidwood	Real estate agent	7875	10
Braidwood	Real estate agent	10500	4
Braidwood	Real estate agent	11812	25
Braidwood	Real estate agent	14437	43
Braidwood	Real estate agent	18375	32
Braidwood	State or territory housing authority	5250	4
Braidwood	State or territory housing authority	7875	4
Braidwood	State or territory housing authority	11812	4
Karabar		0	10
Karabar		7875	3
Karabar	(Other)	7875	3
Karabar	(Other)	11812	12
Karabar	(Other)	14437	14
Karabar	(Other)	18375	6
Karabar	Co-op/church group etc	7875	14
Karabar	Co-op/church group etc	10500	8
Karabar	Co-op/church group etc	11812	8
Karabar	Co-op/church group etc	14437	7
Karabar	Co-op/church group etc	18375	4
Karabar	Person not in same household	0	9
Karabar	Person not in same household	7875	6
Karabar	Person not in same household	10500	3
Karabar	Person not in same household	11812	11
Karabar	Person not in same household	14437	16
Karabar	Person not in same household	18375	54
Karabar	Person not in same household	23625	23
Karabar	Person not in same household	28875	3
Karabar	Real estate agent	5250	3
Karabar	Real estate agent	7875	23
Karabar	Real estate agent	10500	19
Karabar	Real estate agent	11812	21
Karabar	Real estate agent	14437	53
Karabar	Real estate agent	18375	158
Karabar	Real estate agent	23625	57
Karabar	Real estate agent	28875	10
Karabar	Real estate agent	34125	5
Karabar	Real estate agent	39375	3
Karabar	State or territory housing authority	0	7
Karabar	State or territory housing authority	3937	4
Karabar	State or territory housing authority	5250	85
Karabar	State or territory housing authority	7875	71
Karabar	State or territory housing authority	10500	30
Karabar	State or territory housing authority	11812	26
Karabar	State or territory housing authority	14437	19
Karabar	State or territory housing authority	18375	36
Karabar	State or territory housing authority	23625	5
Queanbeyan		0	6
Queanbeyan		7875	3
Queanbeyan		11812	3
Queanbeyan	(Other)	0	3
Queanbeyan	(Other)	5250	3
Queanbeyan	(Other)	7875	3
Queanbeyan	(Other)	10500	8
Queanbeyan	(Other)	11812	12
Queanbeyan	(Other)	14437	10
Queanbeyan	(Other)	18375	8
Queanbeyan	Co-op/church group etc	0	3
Queanbeyan	Co-op/church group etc	5250	10
Queanbeyan	Co-op/church group etc	7875	15
Queanbeyan	Co-op/church group etc	10500	5
Queanbeyan	Co-op/church group etc	11812	3
Queanbeyan	Person not in same household	0	26
Queanbeyan	Person not in same household	5250	11
Queanbeyan	Person not in same household	7875	32
Queanbeyan	Person not in same household	10500	29
Queanbeyan	Person not in same household	11812	62
Queanbeyan	Person not in same household	14437	93
Queanbeyan	Person not in same household	18375	82
Queanbeyan	Person not in same household	23625	26
Queanbeyan	Person not in same household	28875	7
Queanbeyan	Real estate agent	5250	11
Queanbeyan	Real estate agent	7875	129
Queanbeyan	Real estate agent	10500	193
Queanbeyan	Real estate agent	11812	278
Queanbeyan	Real estate agent	14437	291
Queanbeyan	Real estate agent	18375	405
Queanbeyan	Real estate agent	23625	96
Queanbeyan	Real estate agent	28875	14
Queanbeyan	Real estate agent	44625	3
Queanbeyan	Real estate agent	49875	3
Queanbeyan	State or territory housing authority	0	13
Queanbeyan	State or territory housing authority	3937	8
