SA2_NAME16	medianTotalFamilyIncome
Lismore	66300
Lismore Region	73996
Kingscliff - Fingal Head	82836
Murwillumbah	64740
Murwillumbah Region	66976
Pottsville	73528
Tweed Heads	64220
Banora Point	69992
Terranora - North Tumblegum	93600
Tweed Heads South	56784
Griffith (NSW)	79716
Griffith Region	81224
Leeton	76284
Narrandera	69316
Tumbarumba	71032
Tumut	72384
Tumut Region	77844
Cootamundra	64064
Gundagai	72488
Junee	73164
Temora	67756
Wagga Wagga - East	90532
Wagga Wagga - North	101400
Wagga Wagga - South	88140
Wagga Wagga - West	75140
Wagga Wagga Region	82004
Berry - Kangaroo Valley	77220
Callala Bay - Currarong	57928
Culburra Beach	59696
Ettrema - Sassafras - Budawang	77948
Huskisson - Vincentia	76076
North Nowra - Bomaderry	73164
Nowra	65052
St Georges Basin - Erowal Bay	56160
Sussex Inlet - Berrara	50544
Tomerong - Wandandian - Woollamia	76960
Ulladulla	58760
Ulladulla Region	59748
Bowral	87620
Hill Top - Colo Vale	88556
Mittagong	83512
Moss Vale - Berrima	83148
Robertson - Fitzroy Falls	90168
Southern Highlands	78884
Baulkham Hills (East)	114920
Baulkham Hills (West) - Bella Vista	131352
Glenhaven	130520
West Pennant Hills	149552
Castle Hill - Central	116532
Castle Hill - East	130364
Castle Hill - North	129272
Castle Hill - South	118404
Castle Hill - West	147784
Cherrybrook	135148
Kellyville	133120
Dural - Kenthurst - Wisemans Ferry	121056
Galston - Laughtondale	115232
Bilpin - Colo - St Albans	88192
Kurrajong Heights - Ebenezer	107848
Pitt Town - McGraths Hill	112840
Rouse Hill - Beaumont Hills	135980
Blacktown (East) - Kings Park	81640
Blacktown (North) - Marayong	83512
Doonside - Woodcroft	93600
Lalor Park - Kings Langley	99008
Seven Hills - Toongabbie	92300
Blacktown (South)	84240
Blacktown (West)	86424
Glenwood	125736
Parklea - Kellyville Ridge	130624
Riverstone - Marsden Park	107380
Acacia Gardens	123136
Quakers Hill	110708
Bidwill - Hebersham - Emerton	60164
Glendenning - Dean Park	93912
Hassall Grove - Plumpton	95628
Lethbridge Park - Tregear	71448
Mount Druitt - Whalan	67496
Prospect Reservoir	
Rooty Hill - Minchinbury	96044
Banksmeadow	
Botany	119080
Mascot - Eastlakes	94640
Pagewood - Hillsdale - Daceyville	89284
Port Botany Industrial	
Sydney Airport	
Marrickville	108888
Petersham - Stanmore	136136
Sydenham - Tempe - St Peters	122564
Darlinghurst	160940
Erskineville - Alexandria	153660
Glebe - Forest Lodge	133744
Newtown - Camperdown - Darlington	141960
Potts Point - Woolloomooloo	150956
Pyrmont - Ultimo	123032
Redfern - Chippendale	119964
Surry Hills	153088
Sydney - Haymarket - The Rocks	101920
Waterloo - Beaconsfield	118144
Bondi - Tamarama - Bronte	155688
Bondi Beach - North Bondi	154284
Bondi Junction - Waverly	145080
Centennial Park	
Double Bay - Bellevue Hill	185848
Dover Heights	149708
Paddington - Moore Park	187044
Rose Bay - Vaucluse - Watsons Bay	187356
Woollahra	190424
Coogee - Clovelly	156468
Malabar - La Perouse - Chifley	114608
Kensington (NSW)	114244
Kingsford	104000
Maroubra - North	128232
Maroubra - South	111280
Maroubra - West	106964
Randwick - North	142688
Randwick - South	139048
Bass Hill - Georges Hall	72124
Chullora	101088
Condell Park	74516
Greenacre - Mount Lewis	69108
Padstow	95576
Panania - Milperra - Picnic Point	105092
Revesby	93808
Yagoona - Birrong	70356
Bankstown - North	62296
Bankstown - South	60892
Belmore - Belfield	74828
Canterbury (South) - Campsie	69368
Kingsgrove (North) - Earlwood	102492
Punchbowl	64012
Roselands	81744
Lakemba	54704
Wiley Park	57824
Hurstville	71708
Mortdale - Penshurst	100152
Narwee - Beverly Hills	83824
Oatley - Hurstville Grove	119444
Peakhurst - Lugarno	106548
Riverwood	67392
South Hurstville - Blakehurst	97500
Arncliffe - Bardwell Valley	95992
Bexley	86840
Kingsgrove (South) - Bardwell Park	97604
Kogarah	93496
Kogarah Bay - Carlton - Allawah	91156
Monterey - Brighton-le-Sands - Kyeemagh	91728
Rockdale - Banksia	83720
Sans Souci - Ramsgate	100204
Concord - Mortlake - Cabarita	124748
Concord West - North Strathfield	107900
Drummoyne - Rodd Point	149812
Five Dock - Abbotsford	127972
Balmain	193440
Leichhardt - Annandale	156676
Lilyfield - Rozelle	179608
Ashfield	94484
Burwood - Croydon	88296
Canterbury (North) - Ashbury	105612
Croydon Park - Enfield	99372
Dulwich Hill - Lewisham	118716
Haberfield - Summer Hill	130624
Homebush	90428
Strathfield	103428
Strathfield South	106496
Chatswood (East) - Artarmon	114296
Chatswood (West) - Lane Cove North	130832
Lane Cove - Greenwich	169416
St Leonards - Naremburn	159588
Willoughby - Castle Cove - Northbridge	180544
Asquith - Mount Colah	121992
Berowra - Brooklyn - Cowan	123344
Normanhurst - Thornleigh - Westleigh	134420
Hornsby - East	95108
Hornsby - West	110188
Waitara - Wahroonga (West)	111644
Gordon - Killara	143988
Lindfield - Roseville	169000
Pymble	173524
St Ives	149344
Turramurra	154804
Wahroonga (East) - Warrawee	168584
Cremorne - Cammeray	173368
Crows Nest - Waverton	162552
Mosman	190892
Neutral Bay - Kirribilli	165152
North Sydney - Lavender Bay	172172
Balgowlah - Clontarf - Seaforth	178932
Manly - Fairlight	169728
Avalon - Palm Beach	129896
Bayview - Elanora Heights	129168
Newport - Bilgola	129064
Warriewood - Mona Vale	122460
Beacon Hill - Narraweena	116636
Cromer	119080
Dee Why - North Curl Curl	109876
Forestville - Killarney Heights	137384
Frenchs Forest - Belrose	135512
Freshwater - Brookvale	140348
Manly Vale - Allambie Heights	136448
Narrabeen - Collaroy	124696
Terrey Hills - Duffys Forest	132808
Camden - Ellis Lane	113308
Elderslie - Harrington Park	115960
Mount Annan - Currans Hill	111904
Bradbury - Wedderburn	77324
Campbelltown - Woodbine	81380
Claymore - Eagle Vale - Raby	87828
Holsworthy Military Area	
Ingleburn - Denham Court	87256
Leumeah - Minto Heights	82940
Macquarie Fields - Glenfield	79716
Minto - St Andrews	82680
Rosemeadow - Glen Alpine	84916
Bargo	90844
Douglas Park - Appin	117000
Picton - Tahmoor - Buxton	96148
The Oaks - Oakdale	105872
Blackheath - Megalong Valley	71916
Blaxland - Warrimoo - Lapstone	115648
Blue Mountains - North	97448
Katoomba - Leura	74620
Lawson - Hazelbrook - Linden	91832
Springwood - Winmalee	106860
Wentworth Falls	81640
Blue Mountains - South	
Cambridge Park	91988
Castlereagh - Cranebrook	106444
Emu Plains - Leonay	109720
Glenmore Park - Regentville	116688
Jamisontown - South Penrith	91988
Kingswood - Werrington	85748
Mulgoa - Luddenham - Orchard Hills	118456
Penrith	77064
Warragamba - Silverdale	110292
Richmond - Clarendon	85176
Windsor - Bligh Park	93548
Yarramundi - Londonderry	97552
Erskine Park	111852
St Clair	99424
Colyton - Oxley Park	77584
St Marys - North St Marys	71708
Homebush Bay - Silverwater	111436
Rookwood Cemetery	
Auburn - Central	58760
Auburn - North	57616
Auburn - South	66144
Berala	68276
Lidcombe	77376
Regents Park	69784
Carlingford	102856
Ermington - Rydalmere	96460
Oatlands - Dundas Valley	95004
Chester Hill - Sefton	69160
Fairfield - East	60060
Granville - Clyde	69732
Greystanes - Pemulwuy	99944
Guildford - South Granville	61204
Guildford West - Merrylands West	70668
Merrylands - Holroyd	73892
Smithfield Industrial	
Yennora Industrial	
North Parramatta	95160
North Rocks	116376
Northmead	105404
Parramatta - Rosehill	87516
Toongabbie - Constitution Hill	97552
Winston Hills	117208
Pendle Hill - Girraween	93288
Wentworthville - Westmead	95160
Epping - North Epping	116532
Pennant Hills - Cheltenham	145392
Eastwood - Denistone	103480
Gladesville - Huntleys Point	134628
Hunters Hill - Woolwich	185172
Macquarie Park - Marsfield	104728
North Ryde - East Ryde	124696
West Ryde - Meadowbank	102284
Putney	141908
Ryde	106288
Ashcroft - Busby - Miller	54392
Austral - Greendale	83564
Cobbitty - Leppington	111904
Badgerys Creek	62816
Cecil Hills	108108
Green Valley	79144
Hinchinbrook	90532
Hoxton Park - Carnes Hill - Horningsea Park	100152
West Hoxton - Middleton Grange	110136
Bonnyrigg Heights - Bonnyrigg	71812
Bossley Park - Abbotsbury	87048
Cabramatta - Lansvale	53040
Cabramatta West - Mount Pritchard	63440
Canley Vale - Canley Heights	60840
Edensor Park	81380
Fairfield	55172
Fairfield - West	62816
Greenfield Park - Prairiewood	72800
Horsley Park - Kemps Creek	103584
Smithfield - Wetherill Park	72384
St Johns Park - Wakeley	74464
Wetherill Park Industrial	
Casula	89128
Chipping Norton - Moorebank	101556
Holsworthy - Wattle Grove	115440
Liverpool	61776
Lurnea - Cartwright	59384
Prestons - Edmondson Park	103688
Warwick Farm	62660
Gymea - Grays Point	126412
Miranda - Yowie Bay	107328
Sylvania - Taren Point	106028
Caringbah	108368
Caringbah South	132392
