SA2_NAME16	medianTotalFamilyIncome
Bellbowrie - Moggill	114660
Brookfield - Kenmore Hills	148668
Chapel Hill	136864
Fig Tree Pocket	172276
Kenmore	120692
Pinjarra Hills - Pullenvale	152724
Chelmer - Graceville	150904
Corinda	121628
Indooroopilly	113516
Sherwood	131716
St Lucia	106028
Taringa	111176
Enoggera	113412
Enoggera Reservoir	53248
Keperra	85124
Mitchelton	118508
Mount Coot-tha	
The Gap	125528
Upper Kedron - Ferny Grove	118560
Brisbane City	115128
Fortitude Valley	111332
Highgate Hill	110500
Kangaroo Point	119392
New Farm	135252
South Brisbane	107692
Spring Hill	107068
West End	124436
Balmoral	148980
Bulimba	156364
East Brisbane	121420
Hawthorne	159016
Morningside - Seven Hills	123916
Norman Park	153868
Albion	126464
Alderley	128440
Ascot	142532
Clayfield	122252
Grange	157456
Hamilton (Qld)	132860
Hendra	143676
Kelvin Grove - Herston	99268
Newmarket	122096
Newstead - Bowen Hills	141128
Wilston	157352
Windsor	121940
Wooloowin - Lutwyche	124696
Ashgrove	147888
Auchenflower	128544
Bardon	163020
Paddington - Milton	146328
Red Hill (Qld)	143156
Toowong	117520
Brinsmead	106392
Clifton Beach - Kewarra Beach	85852
Freshwater - Stratford	101244
Redlynch	106912
Trinity Beach - Smithfield	93652
Yorkeys Knob - Machans Beach	75816
Bentley Park	86632
Cairns City	75504
Earlville - Bayview Heights	84032
Edmonton	76752
Gordonvale - Trinity	82888
Kanimbla - Mooroobool	87360
Lamb Range	
Manoora	55172
Manunda	59124
Mount Sheridan	88660
Westcourt - Bungalow	63544
White Rock	72384
Whitfield - Edge Hill	94588
Woree	62296
Babinda	72592
Innisfail	64428
Johnstone	70356
Tully	67184
Wooroonooran	
Yarrabah	45188
Daintree	72280
Port Douglas	82264
Atherton	68328
Herberton	51480
Kuranda	67236
Malanda - Yungaburra	64584
Mareeba	67496
Balonne	77220
Chinchilla	86684
Goondiwindi	88244
Inglewood - Waggamba	63440
Miles - Wandoan	75140
Roma	95784
Roma Region	76596
Tara	53040
Crows Nest - Rosalie	61412
Jondaryan	73736
Millmerran	69680
Pittsworth	77324
Wambo	79092
Clifton - Greenmount	71552
Southern Downs - East	64896
Southern Downs - West	59020
Stanthorpe	60944
Stanthorpe Region	59800
Warwick	65572
Central Highlands - East	109356
Central Highlands - West	98384
Emerald	110968
Berserker	66300
Bouldercombe	78208
Emu Park	65624
Frenchville - Mount Archer	90896
Glenlee - Rockyview	111540
Gracemere	79352
Lakes Creek	72436
Mount Morgan	49452
Norman Gardens	97136
Park Avenue	71812
Parkhurst - Kawana	87204
Rockhampton - West	77896
Rockhampton City	61620
Rockhampton Region - East	79040
Rockhampton Region - North	74204
Rockhampton Region - West	87828
Shoalwater Bay	35724
The Range - Allenstown	96824
Yeppoon	84344
Banana	91520
Biloela	107536
Agnes Water - Miriam Vale	55848
Boyne Island - Tannum Sands	113100
Callemondah	
Clinton - New Auckland	110032
Gladstone	88244
Gladstone Hinterland	103584
Kin Kora - Sun Valley	100204
South Trees	
Telina - Toolooa	108784
West Gladstone	80548
Broadbeach Waters	99996
Burleigh Heads	88192
Burleigh Waters	86736
Mermaid Beach - Broadbeach	87880
Mermaid Waters	83512
Miami	95888
Coolangatta	72228
Currumbin - Tugun	83564
Currumbin Waters	80704
Elanora	85592
Palm Beach	87516
Arundel	81276
Biggera Waters	74620
Coombabah	65104
Labrador	66664
Paradise Point - Hollywell	97656
Runaway Bay	78468
Guanaba - Springbrook	87776
Tamborine - Canungra	83304
Currumbin Valley - Tallebudgera	98124
Mudgeeraba - Bonogin	93288
Reedy Creek - Andrews	102336
Carrara	84292
Highland Park	77012
Nerang - Mount Nathan	79040
Pacific Pines - Gaven	95160
Worongary - Tallai	99788
Coomera	91312
Helensvale	95992
Hope Island	103636
Jacobs Well - Alberton	89752
Ormeau - Yatala	100828
Oxenford - Maudsland	93288
Pimpama	83304
Upper Coomera - Willow Vale	94224
Clear Island Waters	87620
Merrimac	82420
Robina	86892
Varsity Lakes	80392
Ashmore	83720
Molendinar	81588
Parkwood	91520
Southport - North	62400
Southport - South	71968
Benowa	96980
Bundall	102336
Main Beach	105404
Surfers Paradise	73528
Darra - Sumner	76960
Durack	72488
Forest Lake - Doolandella	94640
Inala - Richlands	51636
Oxley (Qld)	108992
Wacol	52208
Boonah	72800
Esk	54080
Lake Manchester - England Creek	
Lockyer Valley - East	68588
Lowood	69940
Rosewood	81016
Brassall	76752
Bundamba	71032
Churchill - Yamanto	87152
Ipswich - Central	76336
Ipswich - East	70564
Ipswich - North	106756
Karalee - Barellan Point	111072
Karana Downs	117832
Leichhardt - One Mile	60580
North Ipswich - Tivoli	71968
Raceview	84552
Ripley	105456
Riverview	53612
Bellbird Park - Brookwater	110292
Camira - Gailes	82056
Carole Park	
Collingwood Park - Redbank	77012
Goodna	66612
New Chum	
Redbank Plains	72436
Springfield	101452
Springfield Lakes	103532
Beaudesert	66716
Beenleigh	65260
Eagleby	56368
Edens Landing - Holmview	81068
Mount Warren Park	79456
Wolffdene - Bahrs Scrub	99840
Boronia Heights - Park Ridge	69576
Browns Plains	74412
Chambers Flat - Logan Reserve	89232
Crestmead	72020
Greenbank Military Camp	
Hillcrest	88296
Marsden	69628
Munruben - Park Ridge South	99112
Regents Park - Heritage Park	88816
Greenbank	102180
Jimboomba	94432
Logan Village	95316
Bethania - Waterford	74152
Cornubia - Carbrook	111332
Loganholme - Tanah Merah	90636
Loganlea	71864
Shailer Park	107328
Waterford West	66144
Daisy Hill	98280
Kingston (Qld.)	59384
Logan Central	50856
Rochedale South - Priestdale	96096
Slacks Creek	67444
Springwood	94224
Underwood	90532
Woodridge	53612
Bowen	71760
Broadsound - Nebo	117208
Clermont	98072
Collinsville	72280
Moranbah	141232
Andergrove - Beaconsfield	89180
East Mackay	88712
Eimeo - Rural View	105300
Eungella Hinterland	117000
Mackay	72644
Mackay Harbour	127712
Mount Pleasant - Glenella	109512
North Mackay	74308
Ooralea - Bakers Creek	102492
Pioneer Valley	95940
Sarina	84188
Seaforth - Calen	81588
Shoal Point - Bucasia	104052
Slade Point	75712
South Mackay	76544
Walkerston - Eton	97708
West Mackay	90896
Airlie - Whitsundays	84812
Cape Conway	
Proserpine	77220
Beachmere - Sandstone Point	63128
Bribie Island	57460
Burpengary - East	106236
Caboolture	66196
Caboolture - South	64324
Elimbah	93236
Morayfield - East	72072
Wamuran	95524
Kilcoy	66300
Woodford - D'Aguilar	76388
Burpengary	84552
Deception Bay	65728
Morayfield	97916
Narangba	100412
Upper Caboolture	97552
Clontarf	76908
Margate - Woody Point	75348
Redcliffe	70252
Rothwell - Kippa-Ring	70200
Scarborough - Newport - Moreton Island	91260
Albany Creek	114140
Cashmere	113516
Dayboro	106288
Eatons Hill	125736
The Hills District	112528
Samford Valley	127452
Dakabin - Kallangur	77428
Murrumba Downs - Griffin	96252
North Lakes - Mango Hill	101140
Bray Park	86268
Lawnton	78520
Petrie	94224
Strathpine - Brendale	75452
Aurukun	35256
Cape York	54860
Croydon - Etheridge	62556
Kowanyama - Pormpuraaw	41340
Northern Peninsula	55328
Tablelands	63180
Torres	99788
Torres Strait Islands	44512
Weipa	144404
Carpentaria	55068
Mount Isa	124280
Mount Isa Region	109772
Northern Highlands	72436
Barcaldine - Blackall	72436
Charleville	77480
Far Central West	79612
Far South West	69004
Longreach	83668
Buderim - North	87360
Buderim - South	92820
Mountain Creek	89492
Sippy Downs	74828
Aroona - Currimundi	76648
Buddina - Minyama	85332
Caloundra - Kings Beach	63440
Caloundra - West	77220
Golden Beach - Pelican Waters	71344
Moffat Beach - Battery Hill	79248
Parrearra - Warana	82316
Wurtulla - Birtinya	87880
Coolum Beach	80808
Marcoola - Mudjimba	75400
Maroochydore - Kuluin	71188
Mooloolaba - Alexandra Headland	81692
Noosa Heads	85748
Noosaville	73528
Sunshine Beach	86476
Tewantin	65312
Peregian Beach - Marcus Beach	85592
Peregian Springs	83096
Beerwah	73008
Caloundra Hinterland	63960
Glass House Mountains	77844
Landsborough	80652
Maroochy Hinterland	68432
Palmwoods	79196
Bli Bli	80860
Diddillibah - Rosemount	78520
Eumundi - Yandina	78468
Nambour	70876
Noosa Hinterland	71760
Cambooya - Wyreema	97240
Darling Heights	72280
Drayton - Harristown	67392
Gatton	64740
Gowrie (Qld)	92404
Highfields	103636
Lockyer Valley - West	81328
Middle Ridge	112944
Newtown (Qld)	67860
North Toowoomba - Harlaxton	70876
Rangeville	94120
Toowoomba - Central	75140
Toowoomba - East	112372
Toowoomba - West	96252
Wilsonton	65052
Ayr	76960
Burdekin	78156
Charters Towers	67496
Dalrymple	71864
Ingham	68172
Ingham Region	71760
Palm Island	48204
Aitkenvale	72852
Annandale	110396
Belgian Gardens - Pallarenda	108888
Bohle Plains	105508
Condon - Rasmussen	72748
Cranbrook	77064
Deeragun	96252
Douglas	110604
Garbutt - West End	74828
Gulliver - Currajong - Vincent	72176
Heatley	67652
Hermit Park - Rosslea	79040
Hyde Park - Pimlico	80496
Kelso	76024
Kirwan - East	72072
Kirwan - West	96616
Magnetic Island	59072
Mount Louisa	98592
Mundingburra	87568
Northern Beaches	75764
Oonoonba	109876
South Townsville - Railway Estate	89388
Townsville - South	91520
Townsville City - North Ward	115752
Wulguru - Roseneath	72956
Ashfield - Kepnock	65104
Bargara - Burnett Heads	67340
Branyan - Kensington	73944
Bundaberg	56940
Bundaberg East - Kalkie	68536
Bundaberg North - Gooburrum	58188
Bundaberg Region - North	60320
Bundaberg Region - South	54704
Millbank - Avoca	63856
Svensson Heights - Norville	60216
Walkervale - Avenell Heights	60944
Gayndah - Mundubbera	60320
Gin Gin	48568
Kingaroy	69836
Kingaroy Region - North	52676
Kingaroy Region - South	69368
Monto - Eidsvold	60216
Nanango	49764
North Burnett	
Cooloola	43680
Gympie - North	58084
Gympie - South	66508
Gympie Region	63440
Kilkivan	54652
Booral - River Heads	60736
Craignish - Dundowran Beach	70408
Pialba - Eli Waters	55172
Point Vernon	55536
Torquay - Scarness - Kawungan	54860
Urangan - Wondunna	59176
Burrum - Fraser	50440
Granville	54028
Maryborough (Qld)	56680
Maryborough Region - South	50752
Tinana	67600
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide	93236
North Adelaide	124644
Adelaide Hills	95368
Aldgate - Stirling	117312
Hahndorf - Echunga	100724
Lobethal - Woodside	88296
Mount Barker	88140
Mount Barker Region	89804
Nairne	87152
Uraidla - Summertown	109668
Burnside - Wattle Park	117312
Glenside - Beaumont	128388
Toorak Gardens	120224
Athelstone	98852
Paradise - Newton	75452
Rostrevor - Magill	85696
Norwood (SA)	106132
Payneham - Felixstow	81328
St Peters - Marden	114192
Nailsworth - Broadview	112060
Prospect	108004
Walkerville	120952
Goodwood - Millswood	117520
Unley - Parkside	120432
Gawler - North	92040
Gawler - South	74048
Lewiston - Two Wells	85332
Craigmore - Blakeview	79248
Davoren Park	55432
Elizabeth	45240
Elizabeth East	62036
Munno Para West - Angle Vale	76180
One Tree Hill	106912
Smithfield - Elizabeth North	48776
Virginia - Waterloo Corner	62608
Enfield - Blair Athol	66768
Northgate - Oakden - Gilles Plains	79196
Windsor Gardens	77480
Dry Creek - North	
Ingle Farm	68692
Para Hills	73892
Parafield	
Parafield Gardens	65936
Paralowie	69680
Salisbury	56784
Salisbury East	71968
Salisbury North	62556
Mawson Lakes - Globe Derby Park	95212
Pooraka - Cavan	66924
Golden Grove	97552
Greenwith	99684
Highbury - Dernancourt	97032
Hope Valley - Modbury	71500
Modbury Heights	88036
Redwood Park	90376
St Agnes - Ridgehaven	82888
Brighton (SA)	101192
Glenelg (SA)	105508
Edwardstown	80704
Hallett Cove	96148
Marino - Seaview Downs	92144
Mitchell Park	71604
Morphettville	86788
Sheidow Park - Trott Park	95680
Warradale	75972
Belair	115752
Bellevue Heights	91208
Blackwood	109928
Colonel Light Gardens	112164
Mitcham (SA)	123708
Panorama	78260
Aberfoyle Park	93132
Aldinga	68328
Christie Downs	57460
Christies Beach	63128
Clarendon	103688
Coromandel Valley	111592
Flagstaff Hill	102232
Hackham - Onkaparinga Hills	71448
Hackham West - Huntfield Heights	56784
Happy Valley	85436
Happy Valley Reservoir	
Lonsdale	33748
McLaren Vale	86060
Morphett Vale - East	67132
Morphett Vale - West	60684
Reynella	72540
Seaford (SA)	75348
Willunga	87776
Woodcroft	88036
Beverley	84344
Flinders Park	78676
Henley Beach	100256
Hindmarsh - Brompton	85280
Royal Park - Hendon - Albert Park	77168
Seaton - Grange	78572
West Lakes	88660
Woodville - Cheltenham	74724
Dry Creek - South	
Largs Bay - Semaphore	93548
North Haven	78468
Port Adelaide	68484
The Parks	60424
Torrens Island	
Adelaide Airport	
Fulham	92300
Lockleys	88036
Plympton	80548
Richmond (SA)	83512
West Beach	99216
Barossa - Angaston	81744
Light	81120
Lyndoch	89024
Mallala	68744
Nuriootpa	77688
Tanunda	85228
Clare	76128
Gilbert Valley	69264
Goyder	61568
Wakefield - Barunga West	65468
Jamestown	67860
Peterborough - Mount Remarkable	58396
Port Pirie	62296
Port Pirie Region	70564
Kadina	65468
Moonta	57460
Wallaroo	53404
Yorke Peninsula - North	60372
Yorke Peninsula - South	54860
Ceduna	80704
Eyre Peninsula	70616
Kimba - Cleve - Franklin Harbour	70512
Le Hunte - Elliston	70460
Port Lincoln	74568
West Coast (SA)	71292
Western	175448
Whyalla	72436
Whyalla - North	
APY Lands	38168
Coober Pedy	69108
Quorn - Lake Gilles	65988
Outback	71708
Port Augusta	70980
Roxby Downs	143520
Goolwa - Port Elliot	54132
Kangaroo Island	63076
Strathalbyn	71448
Strathalbyn Region	74880
Victor Harbor	55328
Yankalilla	61932
Grant	83148
Kingston - Robe	68068
Millicent	63284
Naracoorte	73580
Naracoorte Region	75036
Penola	71656
Tatiara	73268
Wattle Range	74464
Mount Gambier - East	76180
Mount Gambier - West	70980
Barmera	68276
Berri	59852
Karoonda - Lameroo	69160
Loxton	69316
Loxton Region	67444
Mannum	56992
Murray Bridge	61464
Murray Bridge Region	71968
Renmark	57668
Renmark Region	73008
The Coorong	60580
Waikerie	60840
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta	73372
Busselton	77324
Busselton Region	95264
Margaret River	84604
Australind - Leschenault	97812
Capel	84188
College Grove - Carey Park	70356
Collie	77376
Dardanup	96564
Davenport	123448
Eaton - Pelican Point	91260
Harvey	82056
East Bunbury - Glen Iris	77428
Waroona	76128
Dalyellup	105664
Gelorup - Stratham	113204
South Bunbury - Bunbury	93340
Withers - Usher	61620
Bridgetown - Boyup Brook	68016
Donnybrook - Balingup	74100
Manjimup	74776
Pemberton	67080
Dawesville - Bouvard	78832
Falcon - Wannanup	75244
Greenfields	59852
Halls Head - Erskine	81848
Mandurah	59384
Mandurah - East	74152
Mandurah - North	95212
Mandurah - South	64428
Pinjarra	74568
City Beach	191100
Claremont (WA)	146692
Cottesloe	190424
Floreat	186420
Mosman Park - Peppermint Grove	159900
Nedlands - Dalkeith - Crawley	175188
Swanbourne - Mount Claremont	178880
Kings Park (WA)	168948
Mount Hawthorn - Leederville	148252
Mount Lawley - Inglewood	130572
North Perth	136136
Perth City	118508
Subiaco - Shenton Park	144144
Wembley - West Leederville - Glendalough	122044
Bassendean - Eden Hill - Ashfield	99008
Bayswater - Embleton - Bedford	110344
Maylands	106860
Morley	81744
Noranda	93392
Chidlow	95680
Glen Forrest - Darlington	113256
Helena Valley - Koongamia	103272
Malmalling - Reservoir	53248
Mundaring	104260
Swan View - Greenmount - Midvale	83356
Avon Valley National Park	
Ballajura	88452
Beechboro	86944
Bullsbrook	95004
Ellenbrook	101452
Gidgegannup	112840
Hazelmere - Guildford	105664
Lockridge - Kiara	91052
Malaga	
Melaleuca - Lexia	
Middle Swan - Herne Hill	81068
Midland - Guildford	80184
Stratton - Jane Brook	95316
The Vines	111696
Walyunga National Park	
Craigie - Beldon	97240
Currambine - Kinross	114088
Duncraig	124228
Greenwood - Warwick	99112
Heathridge - Connolly	106288
Hillarys	133276
Iluka - Burns Beach	153972
Joondalup - Edgewater	102752
Kingsley	113776
Mullaloo - Kallaroo	117624
Ocean Reef	125788
Padbury	105248
Sorrento - Marmion	138424
Woodvale	124436
Balcatta - Hamersley	91260
Balga - Mirrabooka	64012
Dianella	96720
Herdsman	
Innaloo - Doubleview	121680
Karrinyup - Gwelup - Carine	129948
Nollamara - Westminster	78936
Osborne Park Industrial	
Scarborough	123812
Stirling - Osborne Park	106860
Trigg - North Beach - Watermans Bay	128180
Tuart Hill - Joondanna	99736
Wembley Downs - Churchlands - Woodlands	133640
Yokine - Coolbinia - Menora	108056
Alexander Heights - Koondoola	76700
Butler - Merriwa - Ridgewood	84084
Carramar	104624
Clarkson	91624
Girrawheen	62816
Madeley - Darch - Landsdale	113360
Marangaroo	79768
Mindarie - Quinns Rocks - Jindalee	115440
Neerabup National Park	
Tapping - Ashby - Sinagra	110812
Wanneroo	101348
Alkimos - Eglinton	109460
Carabooda - Pinjar	102180
Two Rocks	78468
Yanchep	89856
Armadale - Wungong - Brookdale	66352
Ashendon - Lesley	
Camillo - Champion Lakes	74360
Forrestdale - Harrisdale - Piara Waters	116116
Kelmscott	77012
Mount Nasura - Mount Richon - Bedfordale	100880
Roleystone	108836
Seville Grove	84292
Belmont - Ascot - Redcliffe	97084
East Victoria Park - Carlisle	102700
Kewdale Commercial	
Perth Airport	
Rivervale - Kewdale - Cloverdale	85800
Victoria Park - Lathlain - Burswood	107900
Bentley - Wilson - St James	81276
Canning Vale - West	115232
Canning Vale Commercial	
Cannington - Queens Park	78416
Parkwood - Ferndale - Lynwood	86164
Riverton - Shelley - Rossmoyne	105248
Welshpool	
Willetton	102284
Beckenham - Kenwick - Langford	73684
Canning Vale - East	109304
Gosnells	71292
Huntingdale - Southern River	103896
Maddington - Orange Grove - Martin	74100
Thornlie	84656
Forrestfield - Wattle Grove	97448
High Wycombe	95212
Kalamunda - Maida Vale - Gooseberry Hill	105820
Lesmurdie - Bickley - Carmel	106080
Byford	100984
Mundijong	106964
Serpentine - Jarrahdale	94068
Como	115960
Manning - Waterford	117728
South Perth - Kensington	137644
Banjup	119028
Bibra Industrial	
Bibra Lake	
Coogee	113724
Coolbellup	89232
Hamilton Hill	79040
Henderson	
North Coogee	160628
South Lake - Cockburn Central	94848
Spearwood	83200
Success - Hammond Park	114400
Yangebup	102648
Beeliar - Wattleup	112008
Jandakot	118248
East Fremantle	144560
Fremantle	123240
Fremantle - South	102700
O'Connor (WA)	
Bertram - Wellard (West)	99580
Calista	67392
Hope Valley - Postans	97500
Kwinana Industrial	79248
Parmelia - Orelia	69160
Casuarina - Wandi	112320
Applecross - Ardross	135356
Bateman	119236
Bicton - Palmyra	117208
Booragoon	126100
Bull Creek	107224
Leeming	122928
Melville	128076
Murdoch - Kardinya	99840
Willagee	96980
Winthrop	118456
Baldivis	107276
Cooloongup	68224
Port Kennedy	96044
Rockingham	73944
Rockingham Lakes	
Safety Bay - Shoalwater	83876
Singleton - Golden Bay - Secret Harbour	113100
Waikiki	88868
Warnbro	80340
Albany	76596
Albany Region	77740
Bayonet Head - Lower King	80028
Denmark	65936
Gnowangerup	85904
Katanning	73736
Kojonup	74932
Little Grove - Elleker	86996
McKail - Willyung	77844
Plantagenet	66300
Stirling Range National Park	
Chittering	96512
Cunderdin	73060
Dowerin	76596
Gingin - Dandaragan	71240
Merredin	86892
Moora	90532
Mukinbudin	82992
Northam	76336
Toodyay	74100
York - Beverley	69264
Brookton	77012
Kulin	81224
Murray	103012
Narrogin	78260
Wagin	74516
Broome	115752
Derby - West Kimberley	56212
Halls Creek	41964
Kununurra	101348
Roebuck	43420
East Pilbara	46384
Newman	152880
Port Hedland	185952
South Hedland	143520
Ashburton (WA)	150228
Karratha	154076
Roebourne	150956
Esperance	88192
Esperance Region	87776
Carnarvon	84292
Exmouth	91312
Boulder	107484
Kalgoorlie	124540
Kalgoorlie - North	136708
Kalgoorlie Airport	
Kambalda - Coolgardie - Norseman	103376
Leinster - Leonora	51376
Trafalgar (WA)	
Geraldton	72748
Geraldton - East	80548
Geraldton - North	96616
Geraldton - South	104780
Irwin	70252
Meekatharra	65468
Morawa	72852
Northampton - Mullewa - Greenough	70772
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Bridgewater - Gagebrook	48464
Brighton - Pontville	77844
Old Beach - Otago	93548
Bellerive - Rosny	87516
Cambridge	105820
Geilston Bay - Risdon	94692
Howrah - Tranmere	96564
Lindisfarne - Rose Bay	92716
Mornington - Warrane	62764
Risdon Vale	57616
Rokeby	60632
South Arm	96668
Austins Ferry - Granton	86320
Berriedale - Chigwell	67444
Claremont (Tas.)	67444
Derwent Park - Lutana	65052
Glenorchy	61516
Montrose - Rosetta	75712
Moonah	68120
New Norfolk	62660
West Moonah	72020
Kingston - Huntingfield	82888
Kingston Beach - Blackmans Bay	93808
Margate - Snug	89284
Mount Wellington	
Taroona - Bonnet Hill	110032
Hobart	101868
Lenah Valley - Mount Stuart	106964
Mount Nelson - Dynnyrne	106808
New Town	96616
Sandy Bay	110656
South Hobart - Fern Tree	101036
West Hobart	108940
Dodges Ferry - Lewisham	71188
Sorell - Richmond	75868
Invermay	64272
Kings Meadows - Punchbowl	69108
Launceston	95264
Legana	80912
Mowbray	54444
Newnham - Mayfield	58292
Newstead	84396
Norwood (Tas.)	80808
Prospect Vale - Blackstone	79352
Ravenswood	46280
Riverside	84032
South Launceston	74620
Summerhill - Prospect	72540
Trevallyn	92092
Waverley - St Leonards	62816
West Launceston	87620
Youngtown - Relbia	79768
Beauty Point - Beaconsfield	50596
Deloraine	61152
Grindelwald - Lanena	70044
Hadspen - Carrick	83512
Westbury	64012
Dilston - Lilydale	77168
George Town	56784
Longford	67080
Northern Midlands	59280
Perth - Evandale	76648
St Helens - Scamander	49764
Flinders and Cape Barren Islands	70824
Scottsdale - Bridport	57928
Central Highlands	56264
Derwent Valley	69836
Southern Midlands	66092
Wilderness - East	
Bruny Island - Kettering	66092
Cygnet	57876
Geeveston - Dover	55900
Huonville - Franklin	72384
Forestier - Tasman	51220
Triabunna - Bicheno	54548
Acton - Upper Burnie	59020
Burnie - Ulverstone Region	71136
Burnie - Wivenhoe	61360
Parklands - Camdale	71084
Penguin - Sulphur Creek	70512
Romaine - Havenview	68848
Somerset	63232
Ulverstone	64532
West Ulverstone	60892
Wynyard	63908
Devonport	60944
East Devonport	55900
Latrobe	64688
Miandetta - Don	78260
Port Sorell	71240
Quoiba - Spreyton	76440
Sheffield - Railton	60788
Turners Beach - Forth	78832
King Island	85384
North West	72748
Smithton	71240
Waratah	68172
West Coast (Tas.)	65416
Wilderness - West	
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin Airport	
Darwin City	134940
East Point	129948
Fannie Bay - The Gardens	153764
Larrakeyah	148668
Ludmilla - The Narrows	112268
Parap	151684
Stuart Park	129168
Woolner - Bayview - Winnellie	157560
Alawa	105976
Anula	122668
Berrimah	98176
Brinkin - Nakara	117936
Buffalo Creek	
Charles Darwin	
Coconut Grove	104260
East Arm	
Jingili	120692
Karama	104780
Leanyer	125424
Lyons (NT)	144768
Malak - Marrara	115128
Millner	102492
Moil	110552
Nightcliff	124696
Rapid Creek	119704
Tiwi	115440
Wagaman	100932
Wanguri	125632
Wulagi	123396
Howard Springs	122668
Humpty Doo	132236
Koolpinyah	
Virginia	124176
Weddell	113984
Bakewell	116896
Driver	113776
Durack - Marlow Lagoon	139672
Gray	96564
Moulden	86476
Palmerston - North	137124
Palmerston - South	134784
Rosebery - Bellamack	134108
Woodroffe	113880
Charles	113100
East Side	113308
Flynn (NT)	114660
Larapinta	120276
Mount Johns	130780
Petermann - Simpson	67548
Ross	112996
Sandover - Plenty	34580
Tanami	32760
Yuendumu - Anmatjere	41184
Barkly	41808
Tennant Creek	82784
Alligator	81328
Daly	42276
Thamarrurr	30212
Tiwi Islands	33488
West Arnhem	32916
Anindilyakwa	136968
East Arnhem	33488
Nhulunbuy	139152
Elsey	35620
Gulf	34268
Katherine	107848
Victoria River	36244
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Aranda	150956
Belconnen	99840
Bruce	127712
Charnwood	96096
Cook	131664
Dunlop	129116
Evatt	121628
Florey	110968
Flynn (ACT)	130884
Fraser	130156
Giralang	119600
Gooromon	
Hawker	130156
Higgins	108160
Holt	101036
Kaleen	121940
Latham	112944
Lawson	119548
Macgregor (ACT)	116948
Macquarie	116428
McKellar	133224
Melba	119808
Page	104936
Scullin	106288
Spence	113880
Weetangera	159848
Molonglo Corridor	
West Belconnen	
Hume	
Kowen	181948
Canberra East	81692
Canberra Airport	117000
Majura	164632
Amaroo	138372
Bonner	124488
Casey	128024
Crace	142740
Forde	160888
Franklin	123552
Gungahlin	116844
Hall	132600
Harrison	127816
Mitchell	
Ngunnawal	114036
Nicholls	151216
Palmerston	120744
Gungahlin - East	
Gungahlin - West	
Jacka	102648
Kenny	
Moncrieff	110448
Taylor	
Throsby	
Acton	
Ainslie	156936
Braddon	138008
Civic	160420
Dickson	122200
Downer	121732
Hackett	143676
Lyneham	118924
O'Connor (ACT)	148772
Turner	128232
Watson	127556
Black Mountain	
Campbell	179088
Duntroon	127920
Parkes (ACT) - North	
Reid	143468
Russell	
Deakin	186576
Forrest	195884
Griffith (ACT)	160316
Lake Burley Griffin	
Narrabundah	139308
Parkes (ACT) - South	
Red Hill (ACT)	191568
Yarralumla	179452
Barton	164164
Fyshwick	
Kingston (ACT)	157404
Banks	121420
Bonython	120172
Calwell	127400
Chisholm	119132
Conder	128908
Fadden	156468
Gilmore	123292
Gordon (ACT)	120796
Gowrie (ACT)	127660
Greenway	111384
Isabella Plains	110500
Kambah	117416
Macarthur	148512
Monash	121628
Mount Taylor	
Oxley (ACT)	123760
Richardson	107172
Theodore	123864
Tuggeranong	
Wanniassa	119288
Tuggeranong - West	
Chapman	165984
Duffy	133796
Fisher	132496
Holder	129636
Rivett	116792
Stirling	119756
Waramanga	130156
Weston	132600
Scrivener	
Chifley	124072
Curtin	149084
Farrer	136188
Garran	152100
Hughes	159016
Isaacs	135356
Lyons (ACT)	106704
Mawson	123188
O'Malley	198588
Pearce	139516
Phillip	112580
Torrens	136240
Arboretum	
Coombs	136708
Denman Prospect	
Molonglo	
Molonglo - North	
Wright	144560
ACT - South West	151060
Namadgi	123448
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	124228
Cocos (Keeling) Islands	71500
Jervis Bay	74048
Norfolk Island	67080
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
