SA2_NAME16	OnlyEnglishSpokenHome	persons
Braidwood	0	130
Braidwood	1	3300
Karabar	0	1112
Karabar	1	6649
Queanbeyan	0	2300
Queanbeyan	1	7719
Queanbeyan - East	0	974
Queanbeyan - East	1	3516
Queanbeyan Region	0	985
Queanbeyan Region	1	14364
Queanbeyan West - Jerrabomberra	0	1353
Queanbeyan West - Jerrabomberra	1	10783
Bombala	0	68
Bombala	1	2155
Cooma	0	454
Cooma	1	5569
Cooma Region	0	117
Cooma Region	1	2883
Jindabyne - Berridale	0	397
Jindabyne - Berridale	1	5950
Batemans Bay	0	348
Batemans Bay	1	6799
Batemans Bay - South	0	409
Batemans Bay - South	1	7315
Bega - Tathra	0	264
Bega - Tathra	1	7481
Bega-Eden Hinterland	0	187
Bega-Eden Hinterland	1	7988
Broulee - Tomakin	0	94
Broulee - Tomakin	1	2929
Deua - Wadbilliga	1	19
Eden	0	101
Eden	1	2823
Eurobodalla Hinterland	0	76
Eurobodalla Hinterland	1	2987
Merimbula - Tura Beach	0	366
Merimbula - Tura Beach	1	9507
Moruya - Tuross Head	0	249
Moruya - Tuross Head	1	7205
Narooma - Bermagui	0	315
Narooma - Bermagui	1	7905
Goulburn	0	1081
Goulburn	1	19834
Goulburn Region	0	387
Goulburn Region	1	11274
Yass	0	217
Yass	1	5875
Yass Region	0	384
Yass Region	1	10398
Young	0	438
Young	1	9468
Young Region	0	185
Young Region	1	6653
Avoca Beach - Copacabana	0	372
Avoca Beach - Copacabana	1	6609
Box Head - MacMasters Beach	0	430
Box Head - MacMasters Beach	1	9812
Calga - Kulnura	0	395
Calga - Kulnura	1	3849
Erina - Green Point	0	965
Erina - Green Point	1	12109
Gosford - Springfield	0	2484
Gosford - Springfield	1	15056
Kariong	0	535
Kariong	1	5465
Kincumber - Picketts Valley	0	278
Kincumber - Picketts Valley	1	6748
Narara	0	542
Narara	1	5863
Niagara Park - Lisarow	0	435
Niagara Park - Lisarow	1	7305
Point Clare - Koolewong	0	502
Point Clare - Koolewong	1	5481
Saratoga - Davistown	0	220
Saratoga - Davistown	1	6466
Terrigal - North Avoca	0	847
Terrigal - North Avoca	1	11907
Umina - Booker Bay - Patonga	0	1367
Umina - Booker Bay - Patonga	1	20675
Wamberal - Forresters Beach	0	381
Wamberal - Forresters Beach	1	8939
Woy Woy - Blackwall	0	1018
Woy Woy - Blackwall	1	12056
Wyoming	0	902
Wyoming	1	9736
Bateau Bay - Killarney Vale	0	720
Bateau Bay - Killarney Vale	1	19959
Blue Haven - San Remo	0	481
Blue Haven - San Remo	1	10092
Budgewoi - Buff Point - Halekulani	0	273
Budgewoi - Buff Point - Halekulani	1	8584
Chittaway Bay - Tumbi Umbi	0	589
Chittaway Bay - Tumbi Umbi	1	14170
Gorokan - Kanwal - Charmhaven	0	986
Gorokan - Kanwal - Charmhaven	1	19440
Jilliby - Yarramalong	0	106
Jilliby - Yarramalong	1	2963
Lake Munmorah - Mannering Park	0	282
Lake Munmorah - Mannering Park	1	9878
Ourimbah - Fountaindale	0	259
Ourimbah - Fountaindale	1	4399
Summerland Point - Gwandalan	0	231
Summerland Point - Gwandalan	1	5326
The Entrance	0	895
The Entrance	1	12904
Toukley - Norah Head	0	313
Toukley - Norah Head	1	8612
Tuggerah - Kangy Angy	0	551
Tuggerah - Kangy Angy	1	4400
Warnervale - Wadalba	0	1138
