SA2_NAME16	AgeStudent	students
Braidwood	0-4	42
Braidwood	5-14	375
Braidwood	15-19	136
Braidwood	20-24	24
Braidwood	25+	91
Karabar	0-4	76
Karabar	5-14	992
Karabar	15-19	387
Karabar	20-24	157
Karabar	25+	250
Queanbeyan	0-4	129
Queanbeyan	5-14	838
Queanbeyan	15-19	291
Queanbeyan	20-24	223
Queanbeyan	25+	545
Queanbeyan - East	0-4	61
Queanbeyan - East	5-14	394
Queanbeyan - East	15-19	160
Queanbeyan - East	20-24	99
Queanbeyan - East	25+	280
Queanbeyan Region	0-4	230
Queanbeyan Region	5-14	2267
Queanbeyan Region	15-19	864
Queanbeyan Region	20-24	256
Queanbeyan Region	25+	563
Queanbeyan West - Jerrabomberra	0-4	192
Queanbeyan West - Jerrabomberra	5-14	1977
Queanbeyan West - Jerrabomberra	15-19	835
Queanbeyan West - Jerrabomberra	20-24	278
Queanbeyan West - Jerrabomberra	25+	555
Bombala	0-4	28
Bombala	5-14	237
Bombala	15-19	76
Bombala	20-24	22
Bombala	25+	48
Cooma	0-4	84
Cooma	5-14	662
Cooma	15-19	245
Cooma	20-24	80
Cooma	25+	197
Cooma Region	0-4	28
Cooma Region	5-14	371
Cooma Region	15-19	142
Cooma Region	20-24	22
Cooma Region	25+	75
Jindabyne - Berridale	0-4	98
Jindabyne - Berridale	5-14	844
Jindabyne - Berridale	15-19	266
Jindabyne - Berridale	20-24	75
Jindabyne - Berridale	25+	245
Batemans Bay	0-4	79
Batemans Bay	5-14	779
Batemans Bay	15-19	215
Batemans Bay	20-24	35
Batemans Bay	25+	142
Batemans Bay - South	0-4	66
Batemans Bay - South	5-14	758
Batemans Bay - South	15-19	288
Batemans Bay - South	20-24	51
Batemans Bay - South	25+	193
Bega - Tathra	0-4	113
Bega - Tathra	5-14	951
Bega - Tathra	15-19	317
Bega - Tathra	20-24	61
Bega - Tathra	25+	195
Bega-Eden Hinterland	0-4	92
Bega-Eden Hinterland	5-14	963
Bega-Eden Hinterland	15-19	355
Bega-Eden Hinterland	20-24	46
Bega-Eden Hinterland	25+	189
Broulee - Tomakin	0-4	39
Broulee - Tomakin	5-14	350
Broulee - Tomakin	15-19	132
Broulee - Tomakin	20-24	22
Broulee - Tomakin	25+	90
Eden	0-4	42
Eden	5-14	293
Eden	15-19	109
Eden	20-24	21
Eden	25+	52
Eurobodalla Hinterland	0-4	21
Eurobodalla Hinterland	5-14	321
Eurobodalla Hinterland	15-19	144
Eurobodalla Hinterland	20-24	30
Eurobodalla Hinterland	25+	64
Merimbula - Tura Beach	0-4	103
Merimbula - Tura Beach	5-14	973
Merimbula - Tura Beach	15-19	346
Merimbula - Tura Beach	20-24	75
Merimbula - Tura Beach	25+	209
Moruya - Tuross Head	0-4	81
Moruya - Tuross Head	5-14	688
Moruya - Tuross Head	15-19	271
Moruya - Tuross Head	20-24	47
Moruya - Tuross Head	25+	177
Narooma - Bermagui	0-4	111
Narooma - Bermagui	5-14	724
Narooma - Bermagui	15-19	211
Narooma - Bermagui	20-24	46
Narooma - Bermagui	25+	156
Goulburn	0-4	333
Goulburn	5-14	2482
Goulburn	15-19	883
Goulburn	20-24	288
Goulburn	25+	660
Goulburn Region	0-4	170
Goulburn Region	5-14	1424
Goulburn Region	15-19	482
Goulburn Region	20-24	128
Goulburn Region	25+	278
Yass	0-4	112
Yass	5-14	811
Yass	15-19	261
Yass	20-24	94
Yass	25+	221
Yass Region	0-4	178
Yass Region	5-14	1569
Yass Region	15-19	577
Yass Region	20-24	154
Yass Region	25+	358
Young	0-4	164
Young	5-14	1415
Young	15-19	455
Young	20-24	102
Young	25+	221
Young Region	0-4	92
Young Region	5-14	804
Young Region	15-19	278
Young Region	20-24	75
Young Region	25+	150
Avoca Beach - Copacabana	0-4	137
Avoca Beach - Copacabana	5-14	1068
Avoca Beach - Copacabana	15-19	432
Avoca Beach - Copacabana	20-24	132
Avoca Beach - Copacabana	25+	255
Box Head - MacMasters Beach	0-4	167
Box Head - MacMasters Beach	5-14	1220
Box Head - MacMasters Beach	15-19	531
Box Head - MacMasters Beach	20-24	199
Box Head - MacMasters Beach	25+	272
Calga - Kulnura	0-4	49
Calga - Kulnura	5-14	474
Calga - Kulnura	15-19	220
Calga - Kulnura	20-24	69
Calga - Kulnura	25+	116
Erina - Green Point	0-4	163
Erina - Green Point	5-14	1528
Erina - Green Point	15-19	660
Erina - Green Point	20-24	240
Erina - Green Point	25+	387
Gosford - Springfield	0-4	234
Gosford - Springfield	5-14	1815
Gosford - Springfield	15-19	686
Gosford - Springfield	20-24	380
Gosford - Springfield	25+	849
Kariong	0-4	116
Kariong	5-14	923
Kariong	15-19	418
Kariong	20-24	146
Kariong	25+	196
Kincumber - Picketts Valley	0-4	111
Kincumber - Picketts Valley	5-14	851
Kincumber - Picketts Valley	15-19	315
Kincumber - Picketts Valley	20-24	120
Kincumber - Picketts Valley	25+	191
Narara	0-4	119
Narara	5-14	839
Narara	15-19	307
Narara	20-24	161
Narara	25+	237
Niagara Park - Lisarow	0-4	146
Niagara Park - Lisarow	5-14	1105
Niagara Park - Lisarow	15-19	458
Niagara Park - Lisarow	20-24	173
Niagara Park - Lisarow	25+	272
Point Clare - Koolewong	0-4	110
Point Clare - Koolewong	5-14	724
Point Clare - Koolewong	15-19	281
Point Clare - Koolewong	20-24	104
Point Clare - Koolewong	25+	224
Saratoga - Davistown	0-4	119
Saratoga - Davistown	5-14	840
Saratoga - Davistown	15-19	301
Saratoga - Davistown	20-24	121
Saratoga - Davistown	25+	199
Terrigal - North Avoca	0-4	206
Terrigal - North Avoca	5-14	1535
Terrigal - North Avoca	15-19	685
Terrigal - North Avoca	20-24	306
Terrigal - North Avoca	25+	483
Umina - Booker Bay - Patonga	0-4	332
Umina - Booker Bay - Patonga	5-14	2320
Umina - Booker Bay - Patonga	15-19	817
Umina - Booker Bay - Patonga	20-24	318
Umina - Booker Bay - Patonga	25+	616
Wamberal - Forresters Beach	0-4	196
Wamberal - Forresters Beach	5-14	1388
Wamberal - Forresters Beach	15-19	504
Wamberal - Forresters Beach	20-24	194
Wamberal - Forresters Beach	25+	274
Woy Woy - Blackwall	0-4	190
Woy Woy - Blackwall	5-14	1268
Woy Woy - Blackwall	15-19	486
Woy Woy - Blackwall	20-24	188
Woy Woy - Blackwall	25+	420
Wyoming	0-4	163
Wyoming	5-14	1278
Wyoming	15-19	496
Wyoming	20-24	213
Wyoming	25+	392
Bateau Bay - Killarney Vale	0-4	393
Bateau Bay - Killarney Vale	5-14	2568
Bateau Bay - Killarney Vale	15-19	908
Bateau Bay - Killarney Vale	20-24	333
Bateau Bay - Killarney Vale	25+	601
Blue Haven - San Remo	0-4	213
Blue Haven - San Remo	5-14	1621
Blue Haven - San Remo	15-19	553
Blue Haven - San Remo	20-24	151
Blue Haven - San Remo	25+	319
Budgewoi - Buff Point - Halekulani	0-4	159
Budgewoi - Buff Point - Halekulani	5-14	984
Budgewoi - Buff Point - Halekulani	15-19	310
Budgewoi - Buff Point - Halekulani	20-24	136
Budgewoi - Buff Point - Halekulani	25+	215
Chittaway Bay - Tumbi Umbi	0-4	266
Chittaway Bay - Tumbi Umbi	5-14	1994
Chittaway Bay - Tumbi Umbi	15-19	747
Chittaway Bay - Tumbi Umbi	20-24	283
Chittaway Bay - Tumbi Umbi	25+	458
Gorokan - Kanwal - Charmhaven	0-4	330
Gorokan - Kanwal - Charmhaven	5-14	2439
Gorokan - Kanwal - Charmhaven	15-19	866
Gorokan - Kanwal - Charmhaven	20-24	340
Gorokan - Kanwal - Charmhaven	25+	592
Jilliby - Yarramalong	0-4	48
Jilliby - Yarramalong	5-14	405
Jilliby - Yarramalong	15-19	209
Jilliby - Yarramalong	20-24	56
Jilliby - Yarramalong	25+	100
Lake Munmorah - Mannering Park	0-4	154
Lake Munmorah - Mannering Park	5-14	1067
Lake Munmorah - Mannering Park	15-19	404
Lake Munmorah - Mannering Park	20-24	131
Lake Munmorah - Mannering Park	25+	227
Ourimbah - Fountaindale	0-4	89
Ourimbah - Fountaindale	5-14	651
Ourimbah - Fountaindale	15-19	240
Ourimbah - Fountaindale	20-24	131
Ourimbah - Fountaindale	25+	185
Summerland Point - Gwandalan	0-4	102
Summerland Point - Gwandalan	5-14	690
Summerland Point - Gwandalan	15-19	225
Summerland Point - Gwandalan	20-24	64
Summerland Point - Gwandalan	25+	129
The Entrance	0-4	196
The Entrance	5-14	1360
The Entrance	15-19	492
The Entrance	20-24	187
The Entrance	25+	412
Toukley - Norah Head	0-4	130
Toukley - Norah Head	5-14	866
Toukley - Norah Head	15-19	290
Toukley - Norah Head	20-24	144
Toukley - Norah Head	25+	253
Tuggerah - Kangy Angy	0-4	93
Tuggerah - Kangy Angy	5-14	701
Tuggerah - Kangy Angy	15-19	287
Tuggerah - Kangy Angy	20-24	101
Tuggerah - Kangy Angy	25+	194
Warnervale - Wadalba	0-4	328
Warnervale - Wadalba	5-14	2539
Warnervale - Wadalba	15-19	820
Warnervale - Wadalba	20-24	215
Warnervale - Wadalba	25+	426
Wyong	0-4	115
Wyong	5-14	1023
Wyong	15-19	370
Wyong	20-24	147
Wyong	25+	280
Bathurst	0-4	335
Bathurst	5-14	2672
Bathurst	15-19	1216
Bathurst	20-24	924
Bathurst	25+	971
Bathurst - East	0-4	219
Bathurst - East	5-14	1734
Bathurst - East	15-19	618
Bathurst - East	20-24	178
Bathurst - East	25+	344
Bathurst Region	0-4	78
Bathurst Region	5-14	836
Bathurst Region	15-19	359
Bathurst Region	20-24	81
Bathurst Region	25+	145
Oberon	0-4	43
Oberon	5-14	453
Oberon	15-19	186
Oberon	20-24	36
Oberon	25+	89
Condobolin	0-4	125
Condobolin	5-14	769
Condobolin	15-19	194
Condobolin	20-24	46
Condobolin	25+	100
Cowra	0-4	144
Cowra	5-14	973
Cowra	15-19	325
Cowra	20-24	74
Cowra	25+	197
Cowra Region	0-4	56
Cowra Region	5-14	647
Cowra Region	15-19	211
Cowra Region	20-24	33
Cowra Region	25+	124
Forbes	0-4	173
Forbes	5-14	1250
Forbes	15-19	423
Forbes	20-24	102
Forbes	25+	179
Grenfell	0-4	53
Grenfell	5-14	384
Grenfell	15-19	115
Grenfell	20-24	24
Grenfell	25+	54
Parkes (NSW)	0-4	173
Parkes (NSW)	5-14	1381
Parkes (NSW)	15-19	514
Parkes (NSW)	20-24	122
Parkes (NSW)	25+	247
Parkes Region	0-4	37
Parkes Region	5-14	399
Parkes Region	15-19	146
Parkes Region	20-24	25
Parkes Region	25+	69
West Wyalong	0-4	81
West Wyalong	5-14	754
West Wyalong	15-19	217
West Wyalong	20-24	37
West Wyalong	25+	96
Lithgow	0-4	146
Lithgow	5-14	1225
Lithgow	15-19	486
Lithgow	20-24	133
Lithgow	25+	324
Lithgow Region	0-4	110
Lithgow Region	5-14	861
Lithgow Region	15-19	300
Lithgow Region	20-24	79
Lithgow Region	25+	206
Mudgee	0-4	165
Mudgee	5-14	1442
Mudgee	15-19	396
Mudgee	20-24	99
Mudgee	25+	339
Mudgee Region - East	0-4	43
Mudgee Region - East	5-14	330
Mudgee Region - East	15-19	123
Mudgee Region - East	20-24	23
Mudgee Region - East	25+	65
Mudgee Region - West	0-4	135
