SA2_NAME16	HomeCensusNight	persons
Braidwood	0	330
Braidwood	1	3545
Karabar	0	379
Karabar	1	7867
Queanbeyan	0	539
Queanbeyan	1	10300
Queanbeyan - East	0	247
Queanbeyan - East	1	4531
Queanbeyan Region	0	897
Queanbeyan Region	1	16052
Queanbeyan West - Jerrabomberra	0	568
Queanbeyan West - Jerrabomberra	1	12078
Bombala	0	178
Bombala	1	2218
Cooma	0	432
Cooma	1	6303
Cooma Region	0	214
Cooma Region	1	3073
Jindabyne - Berridale	0	527
Jindabyne - Berridale	1	6426
Batemans Bay	0	556
Batemans Bay	1	7138
Batemans Bay - South	0	569
Batemans Bay - South	1	7789
Bega - Tathra	0	614
Bega - Tathra	1	7796
Bega-Eden Hinterland	0	674
Bega-Eden Hinterland	1	8122
Broulee - Tomakin	0	269
Broulee - Tomakin	1	3017
Deua - Wadbilliga	0	3
Deua - Wadbilliga	1	23
Eden	0	244
Eden	1	2971
Eurobodalla Hinterland	0	231
Eurobodalla Hinterland	1	3065
Merimbula - Tura Beach	0	910
Merimbula - Tura Beach	1	9715
Moruya - Tuross Head	0	646
Moruya - Tuross Head	1	7317
Narooma - Bermagui	0	749
Narooma - Bermagui	1	8227
Goulburn	0	1210
Goulburn	1	21679
Goulburn Region	0	739
Goulburn Region	1	11936
Yass	0	341
Yass	1	6161
Yass Region	0	639
Yass Region	1	10869
Young	0	672
Young	1	9929
Young Region	0	438
Young Region	1	6884
Avoca Beach - Copacabana	0	437
Avoca Beach - Copacabana	1	6874
Box Head - MacMasters Beach	0	560
Box Head - MacMasters Beach	1	10127
Calga - Kulnura	0	215
Calga - Kulnura	1	4486
Erina - Green Point	0	622
Erina - Green Point	1	13329
Gosford - Springfield	0	882
Gosford - Springfield	1	17924
Kariong	0	240
Kariong	1	6142
Kincumber - Picketts Valley	0	307
Kincumber - Picketts Valley	1	7001
Narara	0	260
Narara	1	6380
Niagara Park - Lisarow	0	300
Niagara Park - Lisarow	1	7723
Point Clare - Koolewong	0	259
Point Clare - Koolewong	1	5951
Saratoga - Davistown	0	361
Saratoga - Davistown	1	6622
Terrigal - North Avoca	0	726
Terrigal - North Avoca	1	12617
Umina - Booker Bay - Patonga	0	1235
Umina - Booker Bay - Patonga	1	22353
Wamberal - Forresters Beach	0	570
Wamberal - Forresters Beach	1	9184
Woy Woy - Blackwall	0	628
Woy Woy - Blackwall	1	13300
Wyoming	0	503
Wyoming	1	10928
Bateau Bay - Killarney Vale	0	1026
Bateau Bay - Killarney Vale	1	20983
Blue Haven - San Remo	0	422
Blue Haven - San Remo	1	10623
Budgewoi - Buff Point - Halekulani	0	545
Budgewoi - Buff Point - Halekulani	1	8860
Chittaway Bay - Tumbi Umbi	0	728
Chittaway Bay - Tumbi Umbi	1	14623
Gorokan - Kanwal - Charmhaven	0	984
Gorokan - Kanwal - Charmhaven	1	21130
Jilliby - Yarramalong	0	159
Jilliby - Yarramalong	1	3191
Lake Munmorah - Mannering Park	0	589
Lake Munmorah - Mannering Park	1	10141
Ourimbah - Fountaindale	0	191
Ourimbah - Fountaindale	1	4661
Summerland Point - Gwandalan	0	315
Summerland Point - Gwandalan	1	5453
The Entrance	0	780
The Entrance	1	14162
Toukley - Norah Head	0	463
Toukley - Norah Head	1	9306
Tuggerah - Kangy Angy	0	202
Tuggerah - Kangy Angy	1	5099
Warnervale - Wadalba	0	537
Warnervale - Wadalba	1	14686
Wyong	0	460
Wyong	1	8363
Bathurst	0	1332
Bathurst	1	22499
Bathurst - East	0	567
Bathurst - East	1	10618
Bathurst Region	0	421
Bathurst Region	1	6495
Oberon	0	259
Oberon	1	4406
Condobolin	0	401
Condobolin	1	6234
Cowra	0	527
Cowra	1	8619
Cowra Region	0	293
Cowra Region	1	5158
Forbes	0	648
Forbes	1	9521
Grenfell	0	258
Grenfell	1	3395
Parkes (NSW)	0	716
Parkes (NSW)	1	10269
Parkes Region	0	232
Parkes Region	1	3156
West Wyalong	0	374
West Wyalong	1	5554
Lithgow	0	684
Lithgow	1	12133
Lithgow Region	0	521
Lithgow Region	1	7750
Mudgee	0	638
Mudgee	1	11093
Mudgee Region - East	0	198
Mudgee Region - East	1	3248
Mudgee Region - West	0	647
Mudgee Region - West	1	9713
Blayney	0	408
Blayney	1	6858
Orange	0	1124
Orange	1	17888
Orange - North	0	1042
Orange - North	1	18682
Orange Region	0	651
Orange Region	1	10950
Grafton	0	1046
Grafton	1	17628
Grafton Region	0	941
Grafton Region	1	14371
Maclean - Yamba - Iluka	0	962
Maclean - Yamba - Iluka	1	15321
Bellingen	0	291
Bellingen	1	5516
Coffs Harbour - North	0	1006
Coffs Harbour - North	1	16451
Coffs Harbour - South	0	589
Coffs Harbour - South	1	9701
Coramba - Nana Glen - Bucca	0	214
Coramba - Nana Glen - Bucca	1	3602
Dorrigo	0	214
Dorrigo	1	3031
Korora - Emerald Beach	0	513
Korora - Emerald Beach	1	8221
Sawtell - Boambee	0	1080
Sawtell - Boambee	1	18392
Urunga	0	288
Urunga	1	4378
Woolgoolga - Arrawarra	0	743
Woolgoolga - Arrawarra	1	11778
Bourke - Brewarrina	0	333
Bourke - Brewarrina	1	3670
Cobar	0	342
Cobar	1	4314
Coonamble	0	267
Coonamble	1	3842
Nyngan - Warren	0	406
Nyngan - Warren	1	4559
Walgett - Lightning Ridge	0	544
Walgett - Lightning Ridge	1	5873
Broken Hill	0	1370
Broken Hill	1	16337
Far West	0	259
Far West	1	2249
Coonabarabran	0	620
Coonabarabran	1	7327
Dubbo - East	0	692
Dubbo - East	1	9691
Dubbo - South	0	986
Dubbo - South	1	15959
Dubbo - West	0	571
Dubbo - West	1	8194
Dubbo Region	0	323
Dubbo Region	1	5301
Gilgandra	0	315
Gilgandra	1	4057
Narromine	0	412
Narromine	1	6123
Wellington	0	533
Wellington	1	8298
Branxton - Greta - Pokolbin	0	511
Branxton - Greta - Pokolbin	1	9610
Cessnock	0	1120
Cessnock	1	20882
Cessnock Region	0	460
Cessnock Region	1	7469
Dungog	0	470
Dungog	1	8506
Kurri Kurri - Abermain	0	815
Kurri Kurri - Abermain	1	16823
Singleton	0	830
Singleton	1	15267
Singleton Region	0	253
Singleton Region	1	4670
Maitland	0	287
Maitland	1	6313
Maitland - East	0	1317
Maitland - East	1	26100
Maitland - North	0	336
Maitland - North	1	7277
Maitland - West	0	1055
Maitland - West	1	21471
Thornton - Millers Forest	0	465
Thornton - Millers Forest	1	9544
Anna Bay	0	411
Anna Bay	1	5315
