SA2_NAME16	PrivateDwelling	Sex	persons
Braidwood	0	F	244
Braidwood	0	M	244
Braidwood	1	F	1623
Braidwood	1	M	1668
Karabar	0	F	208
Karabar	0	M	205
Karabar	1	F	3935
Karabar	1	M	3836
Queanbeyan	0	F	591
Queanbeyan	0	M	676
Queanbeyan	1	F	4782
Queanbeyan	1	M	4803
Queanbeyan - East	0	F	159
Queanbeyan - East	0	M	278
Queanbeyan - East	1	F	2169
Queanbeyan - East	1	M	2239
Queanbeyan Region	0	F	941
Queanbeyan Region	0	M	1360
Queanbeyan Region	1	F	7512
Queanbeyan Region	1	M	7617
Queanbeyan West - Jerrabomberra	0	F	186
Queanbeyan West - Jerrabomberra	0	M	170
Queanbeyan West - Jerrabomberra	1	F	6068
Queanbeyan West - Jerrabomberra	1	M	5924
Bombala	0	F	127
Bombala	0	M	107
Bombala	1	F	1038
Bombala	1	M	1066
Cooma	0	F	249
Cooma	0	M	446
Cooma	1	F	3015
Cooma	1	M	2896
Cooma Region	0	F	306
Cooma Region	0	M	330
Cooma Region	1	F	1434
Cooma Region	1	M	1466
Jindabyne - Berridale	0	F	5772
Jindabyne - Berridale	0	M	7430
Jindabyne - Berridale	1	F	2880
Jindabyne - Berridale	1	M	3204
Batemans Bay	0	F	434
Batemans Bay	0	M	483
Batemans Bay	1	F	3479
Batemans Bay	1	M	3322
Batemans Bay - South	0	F	454
Batemans Bay - South	0	M	433
Batemans Bay - South	1	F	3830
Batemans Bay - South	1	M	3494
Bega - Tathra	0	F	458
Bega - Tathra	0	M	405
Bega - Tathra	1	F	3851
Bega - Tathra	1	M	3601
Bega-Eden Hinterland	0	F	280
Bega-Eden Hinterland	0	M	319
Bega-Eden Hinterland	1	F	3944
Bega-Eden Hinterland	1	M	3965
Broulee - Tomakin	0	F	235
Broulee - Tomakin	0	M	200
Broulee - Tomakin	1	F	1453
Broulee - Tomakin	1	M	1368
Deua - Wadbilliga	1	F	11
Deua - Wadbilliga	1	M	8
Eden	0	F	205
Eden	0	M	219
Eden	1	F	1410
Eden	1	M	1359
Eurobodalla Hinterland	0	F	151
Eurobodalla Hinterland	0	M	167
Eurobodalla Hinterland	1	F	1500
Eurobodalla Hinterland	1	M	1514
Merimbula - Tura Beach	0	F	775
Merimbula - Tura Beach	0	M	725
Merimbula - Tura Beach	1	F	4823
Merimbula - Tura Beach	1	M	4481
Moruya - Tuross Head	0	F	261
Moruya - Tuross Head	0	M	270
Moruya - Tuross Head	1	F	3654
Moruya - Tuross Head	1	M	3601
Narooma - Bermagui	0	F	557
Narooma - Bermagui	0	M	528
Narooma - Bermagui	1	F	3968
Narooma - Bermagui	1	M	3839
Goulburn	0	F	1047
Goulburn	0	M	1830
Goulburn	1	F	10359
Goulburn	1	M	9862
Goulburn Region	0	F	508
Goulburn Region	0	M	592
Goulburn Region	1	F	5494
Goulburn Region	1	M	5827
Yass	0	F	298
Yass	0	M	273
Yass	1	F	3048
Yass	1	M	2831
Yass Region	0	F	319
Yass Region	0	M	373
Yass Region	1	F	5314
Yass Region	1	M	5289
Young	0	F	450
Young	0	M	407
Young	1	F	4947
Young	1	M	4652
Young Region	0	F	292
Young Region	0	M	291
Young Region	1	F	3308
Young Region	1	M	3351
Avoca Beach - Copacabana	0	F	168
Avoca Beach - Copacabana	0	M	198
Avoca Beach - Copacabana	1	F	3403
Avoca Beach - Copacabana	1	M	3386
Box Head - MacMasters Beach	0	F	218
Box Head - MacMasters Beach	0	M	195
Box Head - MacMasters Beach	1	F	5178
Box Head - MacMasters Beach	1	M	4936
Calga - Kulnura	0	F	251
Calga - Kulnura	0	M	273
Calga - Kulnura	1	F	2018
Calga - Kulnura	1	M	2172
Erina - Green Point	0	F	584
