SA2_NAME16	MaxSchoolingCompleted	Sex	persons
Bega - Tathra	Year 11	F	305
Bega - Tathra	Year 11	M	293
Bega - Tathra	Year 12	F	1418
Bega - Tathra	Year 12	M	1186
Bega-Eden Hinterland	Did not go to school	F	7
Bega-Eden Hinterland	Did not go to school	M	10
Bega-Eden Hinterland	Year 8	F	153
Bega-Eden Hinterland	Year 8	M	230
Bega-Eden Hinterland	Year 9	F	270
Bega-Eden Hinterland	Year 9	M	316
Bega-Eden Hinterland	Year 10	F	1019
Bega-Eden Hinterland	Year 10	M	1190
Bega-Eden Hinterland	Year 11	F	312
Bega-Eden Hinterland	Year 11	M	333
Bega-Eden Hinterland	Year 12	F	1515
Bega-Eden Hinterland	Year 12	M	1249
Broulee - Tomakin	Did not go to school	M	4
Broulee - Tomakin	Year 8	F	69
Broulee - Tomakin	Year 8	M	62
Broulee - Tomakin	Year 9	F	135
Broulee - Tomakin	Year 9	M	132
Broulee - Tomakin	Year 10	F	407
Broulee - Tomakin	Year 10	M	332
Broulee - Tomakin	Year 11	F	91
Broulee - Tomakin	Year 11	M	105
Broulee - Tomakin	Year 12	F	608
Broulee - Tomakin	Year 12	M	573
Deua - Wadbilliga	Year 8	M	3
Deua - Wadbilliga	Year 10	M	3
Deua - Wadbilliga	Year 12	F	6
Deua - Wadbilliga	Year 12	M	8
Eden	Did not go to school	F	3
Eden	Did not go to school	M	5
Eden	Year 8	F	94
Eden	Year 8	M	107
Eden	Year 9	F	122
Eden	Year 9	M	136
Eden	Year 10	F	402
Eden	Year 10	M	404
Eden	Year 11	F	129
Eden	Year 11	M	118
Eden	Year 12	F	440
Eden	Year 12	M	350
Eurobodalla Hinterland	Did not go to school	M	4
Eurobodalla Hinterland	Year 8	F	54
Eurobodalla Hinterland	Year 8	M	98
Eurobodalla Hinterland	Year 9	F	121
Eurobodalla Hinterland	Year 9	M	140
Eurobodalla Hinterland	Year 10	F	451
Eurobodalla Hinterland	Year 10	M	486
Eurobodalla Hinterland	Year 11	F	97
Eurobodalla Hinterland	Year 11	M	108
Eurobodalla Hinterland	Year 12	F	537
Eurobodalla Hinterland	Year 12	M	466
Merimbula - Tura Beach	Did not go to school	F	5
Merimbula - Tura Beach	Did not go to school	M	3
Merimbula - Tura Beach	Year 8	F	222
Merimbula - Tura Beach	Year 8	M	208
Merimbula - Tura Beach	Year 9	F	343
Merimbula - Tura Beach	Year 9	M	357
Merimbula - Tura Beach	Year 10	F	1282
Merimbula - Tura Beach	Year 10	M	1166
Merimbula - Tura Beach	Year 11	F	523
Merimbula - Tura Beach	Year 11	M	471
Merimbula - Tura Beach	Year 12	F	1938
Merimbula - Tura Beach	Year 12	M	1668
Moruya - Tuross Head	Did not go to school	F	7
Moruya - Tuross Head	Did not go to school	M	10
Moruya - Tuross Head	Year 8	F	174
Moruya - Tuross Head	Year 8	M	230
Moruya - Tuross Head	Year 9	F	335
Moruya - Tuross Head	Year 9	M	324
Moruya - Tuross Head	Year 10	F	991
Moruya - Tuross Head	Year 10	M	1065
Moruya - Tuross Head	Year 11	F	262
Moruya - Tuross Head	Year 11	M	233
Moruya - Tuross Head	Year 12	F	1380
Moruya - Tuross Head	Year 12	M	1220
Narooma - Bermagui	Did not go to school	F	15
Narooma - Bermagui	Did not go to school	M	10
Narooma - Bermagui	Year 8	F	207
Narooma - Bermagui	Year 8	M	239
Narooma - Bermagui	Year 9	F	351
Narooma - Bermagui	Year 9	M	369
Narooma - Bermagui	Year 10	F	1114
Narooma - Bermagui	Year 10	M	1130
Narooma - Bermagui	Year 11	F	315
Narooma - Bermagui	Year 11	M	265
Narooma - Bermagui	Year 12	F	1543
Narooma - Bermagui	Year 12	M	1336
Goulburn	Did not go to school	F	45
Goulburn	Did not go to school	M	58
Goulburn	Year 8	F	513
Goulburn	Year 8	M	541
Goulburn	Year 9	F	851
Goulburn	Year 9	M	854
Goulburn	Year 10	F	2907
Goulburn	Year 10	M	2746
Goulburn	Year 11	F	627
Goulburn	Year 11	M	612
Goulburn	Year 12	F	3469
Goulburn	Year 12	M	3024
Goulburn Region	Did not go to school	F	13
Goulburn Region	Did not go to school	M	22
Goulburn Region	Year 8	F	246
Goulburn Region	Year 8	M	422
Goulburn Region	Year 9	F	436
Goulburn Region	Year 9	M	490
Goulburn Region	Year 10	F	1439
Goulburn Region	Year 10	M	1814
Goulburn Region	Year 11	F	364
Goulburn Region	Year 11	M	317
Goulburn Region	Year 12	F	2009
Goulburn Region	Year 12	M	1682
Yass	Did not go to school	F	7
Yass	Did not go to school	M	5
Yass	Year 8	F	116
Yass	Year 8	M	115
Yass	Year 9	F	176
Yass	Year 9	M	185
Yass	Year 10	F	699
Yass	Year 10	M	628
Yass	Year 11	F	194
Yass	Year 11	M	192
Yass	Year 12	F	1233
Yass	Year 12	M	1037
Yass Region	Did not go to school	F	7
Yass Region	Did not go to school	M	14
Yass Region	Year 8	F	105
Yass Region	Year 8	M	171
Yass Region	Year 9	F	203
Yass Region	Year 9	M	271
Yass Region	Year 10	F	886
Yass Region	Year 10	M	1051
Yass Region	Year 11	F	296
Yass Region	Year 11	M	287
Yass Region	Year 12	F	2692
Yass Region	Year 12	M	2374
Young	Did not go to school	F	20
Young	Did not go to school	M	23
Young	Year 8	F	283
Young	Year 8	M	316
Young	Year 9	F	431
Young	Year 9	M	409
Young	Year 10	F	1315
Young	Year 10	M	1415
Young	Year 11	F	391
Young	Year 11	M	301
Young	Year 12	F	1496
Young	Year 12	M	1052
Young Region	Did not go to school	F	10
Young Region	Did not go to school	M	18
Young Region	Year 8	F	197
Young Region	Year 8	M	258
Young Region	Year 9	F	290
Young Region	Year 9	M	354
Young Region	Year 10	F	878
Young Region	Year 10	M	1004
Young Region	Year 11	F	222
Young Region	Year 11	M	182
Young Region	Year 12	F	1092
Young Region	Year 12	M	885
Avoca Beach - Copacabana	Did not go to school	F	5
Avoca Beach - Copacabana	Did not go to school	M	5
Avoca Beach - Copacabana	Year 8	F	62
Avoca Beach - Copacabana	Year 8	M	57
Avoca Beach - Copacabana	Year 9	F	153
Avoca Beach - Copacabana	Year 9	M	156
Avoca Beach - Copacabana	Year 10	F	719
Avoca Beach - Copacabana	Year 10	M	656
Avoca Beach - Copacabana	Year 11	F	161
Avoca Beach - Copacabana	Year 11	M	214
Avoca Beach - Copacabana	Year 12	F	1644
Avoca Beach - Copacabana	Year 12	M	1611
Box Head - MacMasters Beach	Did not go to school	F	13
Box Head - MacMasters Beach	Did not go to school	M	14
Box Head - MacMasters Beach	Year 8	F	139
Box Head - MacMasters Beach	Year 8	M	130
Box Head - MacMasters Beach	Year 9	F	353
Box Head - MacMasters Beach	Year 9	M	318
Box Head - MacMasters Beach	Year 10	F	1303
Box Head - MacMasters Beach	Year 10	M	1206
Box Head - MacMasters Beach	Year 11	F	271
Box Head - MacMasters Beach	Year 11	M	287
Box Head - MacMasters Beach	Year 12	F	2201
Box Head - MacMasters Beach	Year 12	M	2075
Calga - Kulnura	Did not go to school	F	11
Calga - Kulnura	Did not go to school	M	8
Calga - Kulnura	Year 8	F	62
Calga - Kulnura	Year 8	M	117
Calga - Kulnura	Year 9	F	114
Calga - Kulnura	Year 9	M	168
Calga - Kulnura	Year 10	F	498
Calga - Kulnura	Year 10	M	650
Calga - Kulnura	Year 11	F	107
Calga - Kulnura	Year 11	M	131
Calga - Kulnura	Year 12	F	863
Calga - Kulnura	Year 12	M	766
Erina - Green Point	Did not go to school	F	14
Erina - Green Point	Did not go to school	M	12
Erina - Green Point	Year 8	F	263
Erina - Green Point	Year 8	M	181
Erina - Green Point	Year 9	F	524
Erina - Green Point	Year 9	M	411
Erina - Green Point	Year 10	F	1778
Erina - Green Point	Year 10	M	1343
Erina - Green Point	Year 11	F	321
Erina - Green Point	Year 11	M	370
Erina - Green Point	Year 12	F	2742
Erina - Green Point	Year 12	M	2486
Gosford - Springfield	Did not go to school	F	20
Gosford - Springfield	Did not go to school	M	30
