SA2_NAME16	Age5yr	Indigenous	persons
Braidwood	0-4		12
Braidwood	0-4	0	184
Braidwood	0-4	1	3
Braidwood	5-9		18
Braidwood	5-9	0	209
Braidwood	5-9	1	9
Braidwood	10-14		25
Braidwood	10-14	0	172
Braidwood	10-14	1	18
Braidwood	15-19		24
Braidwood	15-19	0	163
Braidwood	15-19	1	3
Braidwood	20-24		9
Braidwood	20-24	0	96
Braidwood	20-24	1	3
Braidwood	25-29		13
Braidwood	25-29	0	101
Braidwood	25-29	1	4
Braidwood	30-34		16
Braidwood	30-34	0	158
Braidwood	30-34	1	5
Braidwood	35-39		26
Braidwood	35-39	0	147
Braidwood	40-44		28
Braidwood	40-44	0	228
Braidwood	40-44	1	9
Braidwood	45-49		34
Braidwood	45-49	0	251
Braidwood	45-49	1	6
Braidwood	50-54		36
Braidwood	50-54	0	255
Braidwood	50-54	1	3
Braidwood	55-59		36
Braidwood	55-59	0	338
Braidwood	55-59	1	3
Braidwood	60-64		25
Braidwood	60-64	0	282
Braidwood	60-64	1	4
Braidwood	65+		126
Braidwood	65+	0	790
Karabar	0-4		26
Karabar	0-4	0	448
Karabar	0-4	1	40
Karabar	5-9		37
Karabar	5-9	0	463
Karabar	5-9	1	63
Karabar	10-14		25
Karabar	10-14	0	436
Karabar	10-14	1	79
Karabar	15-19		41
Karabar	15-19	0	471
Karabar	15-19	1	68
Karabar	20-24		26
Karabar	20-24	0	477
Karabar	20-24	1	33
Karabar	25-29		22
Karabar	25-29	0	485
Karabar	25-29	1	29
Karabar	30-34		25
Karabar	30-34	0	499
Karabar	30-34	1	29
Karabar	35-39		29
Karabar	35-39	0	469
Karabar	35-39	1	32
Karabar	40-44		37
Karabar	40-44	0	509
Karabar	40-44	1	36
Karabar	45-49		33
Karabar	45-49	0	565
Karabar	45-49	1	22
Karabar	50-54		30
Karabar	50-54	0	527
Karabar	50-54	1	21
Karabar	55-59		24
Karabar	55-59	0	534
Karabar	55-59	1	19
Karabar	60-64		25
Karabar	60-64	0	448
Karabar	60-64	1	11
Karabar	65+		69
Karabar	65+	0	960
Karabar	65+	1	28
Queanbeyan	0-4		68
Queanbeyan	0-4	0	652
Queanbeyan	0-4	1	36
Queanbeyan	5-9		22
Queanbeyan	5-9	0	469
Queanbeyan	5-9	1	28
Queanbeyan	10-14		24
Queanbeyan	10-14	0	346
Queanbeyan	10-14	1	25
Queanbeyan	15-19		25
Queanbeyan	15-19	0	382
Queanbeyan	15-19	1	20
Queanbeyan	20-24		52
Queanbeyan	20-24	0	653
Queanbeyan	20-24	1	51
Queanbeyan	25-29		109
Queanbeyan	25-29	0	1005
Queanbeyan	25-29	1	27
Queanbeyan	30-34		107
Queanbeyan	30-34	0	975
Queanbeyan	30-34	1	15
Queanbeyan	35-39		66
Queanbeyan	35-39	0	738
Queanbeyan	35-39	1	24
Queanbeyan	40-44		43
Queanbeyan	40-44	0	672
Queanbeyan	40-44	1	14
Queanbeyan	45-49		49
Queanbeyan	45-49	0	640
Queanbeyan	45-49	1	11
Queanbeyan	50-54		43
Queanbeyan	50-54	0	621
Queanbeyan	50-54	1	19
Queanbeyan	55-59		36
Queanbeyan	55-59	0	541
Queanbeyan	55-59	1	24
Queanbeyan	60-64		35
Queanbeyan	60-64	0	487
Queanbeyan	60-64	1	5
Queanbeyan	65+		145
Queanbeyan	65+	0	1509
Queanbeyan	65+	1	8
Queanbeyan - East	0-4		18
Queanbeyan - East	0-4	0	320
Queanbeyan - East	0-4	1	23
Queanbeyan - East	5-9		18
Queanbeyan - East	5-9	0	202
Queanbeyan - East	5-9	1	29
Queanbeyan - East	10-14		11
Queanbeyan - East	10-14	0	167
Queanbeyan - East	10-14	1	15
Queanbeyan - East	15-19		5
Queanbeyan - East	15-19	0	214
Queanbeyan - East	15-19	1	10
Queanbeyan - East	20-24		17
Queanbeyan - East	20-24	0	316
Queanbeyan - East	20-24	1	23
Queanbeyan - East	25-29		33
Queanbeyan - East	25-29	0	441
Queanbeyan - East	25-29	1	13
Queanbeyan - East	30-34		24
Queanbeyan - East	30-34	0	446
Queanbeyan - East	30-34	1	17
Queanbeyan - East	35-39		27
Queanbeyan - East	35-39	0	308
Queanbeyan - East	35-39	1	7
Queanbeyan - East	40-44		19
Queanbeyan - East	40-44	0	274
Queanbeyan - East	40-44	1	14
Queanbeyan - East	45-49		23
Queanbeyan - East	45-49	0	321
Queanbeyan - East	45-49	1	10
Queanbeyan - East	50-54		19
Queanbeyan - East	50-54	0	310
Queanbeyan - East	50-54	1	12
Queanbeyan - East	55-59		14
Queanbeyan - East	55-59	0	309
Queanbeyan - East	55-59	1	4
Queanbeyan - East	60-64		13
Queanbeyan - East	60-64	0	223
Queanbeyan - East	60-64	1	3
Queanbeyan - East	65+		30
Queanbeyan - East	65+	0	493
Queanbeyan - East	65+	1	6
Queanbeyan Region	0-4		84
Queanbeyan Region	0-4	0	918
Queanbeyan Region	0-4	1	45
Queanbeyan Region	5-9		103
Queanbeyan Region	5-9	0	1118
Queanbeyan Region	5-9	1	41
Queanbeyan Region	10-14		104
Queanbeyan Region	10-14	0	1120
Queanbeyan Region	10-14	1	41
Queanbeyan Region	15-19		95
Queanbeyan Region	15-19	0	1015
Queanbeyan Region	15-19	1	29
Queanbeyan Region	20-24		99
Queanbeyan Region	20-24	0	681
Queanbeyan Region	20-24	1	23
