SA2_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Braidwood	0	1	442
Braidwood	0	2	27
Braidwood	1	2	556
Braidwood	1	3	180
Braidwood	1	4	153
Braidwood	1	5	64
Braidwood	1	6	36
Karabar	0	1	713
Karabar	0	2	66
Karabar	0	3	7
Karabar	0	4	3
Karabar	1	2	861
Karabar	1	3	500
Karabar	1	4	502
Karabar	1	5	218
Karabar	1	6	88
Queanbeyan	0	1	1930
Queanbeyan	0	2	142
Queanbeyan	0	3	27
Queanbeyan	0	5	3
Queanbeyan	1	2	1266
Queanbeyan	1	3	596
Queanbeyan	1	4	420
Queanbeyan	1	5	174
Queanbeyan	1	6	71
Queanbeyan - East	0	1	795
Queanbeyan - East	0	2	57
Queanbeyan - East	0	3	3
Queanbeyan - East	1	2	534
Queanbeyan - East	1	3	298
Queanbeyan - East	1	4	229
Queanbeyan - East	1	5	70
Queanbeyan - East	1	6	36
Queanbeyan Region	0	1	715
Queanbeyan Region	0	2	54
Queanbeyan Region	0	3	13
Queanbeyan Region	1	2	1783
Queanbeyan Region	1	3	898
Queanbeyan Region	1	4	1081
Queanbeyan Region	1	5	493
Queanbeyan Region	1	6	210
Queanbeyan West - Jerrabomberra	0	1	675
Queanbeyan West - Jerrabomberra	0	2	58
Queanbeyan West - Jerrabomberra	0	3	13
Queanbeyan West - Jerrabomberra	1	2	1119
Queanbeyan West - Jerrabomberra	1	3	739
Queanbeyan West - Jerrabomberra	1	4	966
Queanbeyan West - Jerrabomberra	1	5	430
Queanbeyan West - Jerrabomberra	1	6	133
Bombala	0	1	320
Bombala	0	2	19
Bombala	0	3	4
Bombala	1	2	326
Bombala	1	3	122
Bombala	1	4	95
Bombala	1	5	42
Bombala	1	6	18
Cooma	0	1	937
Cooma	0	2	68
Cooma	0	3	8
Cooma	0	4	3
Cooma	1	2	926
Cooma	1	3	341
Cooma	1	4	252
Cooma	1	5	109
Cooma	1	6	50
Cooma Region	0	1	318
Cooma Region	0	2	17
Cooma Region	0	3	4
Cooma Region	1	2	496
Cooma Region	1	3	137
Cooma Region	1	4	149
Cooma Region	1	5	70
Cooma Region	1	6	34
Jindabyne - Berridale	0	1	664
Jindabyne - Berridale	0	2	85
Jindabyne - Berridale	0	3	26
Jindabyne - Berridale	0	4	10
Jindabyne - Berridale	0	5	7
Jindabyne - Berridale	0	6	4
Jindabyne - Berridale	1	2	755
Jindabyne - Berridale	1	3	307
Jindabyne - Berridale	1	4	356
Jindabyne - Berridale	1	5	137
Jindabyne - Berridale	1	6	31
Batemans Bay	0	1	981
Batemans Bay	0	2	65
Batemans Bay	0	3	9
Batemans Bay	1	2	1183
Batemans Bay	1	3	327
Batemans Bay	1	4	259
Batemans Bay	1	5	138
Batemans Bay	1	6	81
Batemans Bay - South	0	1	969
Batemans Bay - South	0	2	78
Batemans Bay - South	0	3	10
Batemans Bay - South	1	2	1417
Batemans Bay - South	1	3	358
Batemans Bay - South	1	4	298
Batemans Bay - South	1	5	121
Batemans Bay - South	1	6	72
Bega - Tathra	0	1	1011
Bega - Tathra	0	2	64
Bega - Tathra	0	4	3
Bega - Tathra	1	2	1117
Bega - Tathra	1	3	432
Bega - Tathra	1	4	375
Bega - Tathra	1	5	160
Bega - Tathra	1	6	79
Bega-Eden Hinterland	0	1	867
Bega-Eden Hinterland	0	2	82
Bega-Eden Hinterland	0	3	6
Bega-Eden Hinterland	1	2	1410
Bega-Eden Hinterland	1	3	398
Bega-Eden Hinterland	1	4	362
Bega-Eden Hinterland	1	5	168
Bega-Eden Hinterland	1	6	94
Broulee - Tomakin	0	1	399
Broulee - Tomakin	0	2	28
Broulee - Tomakin	0	3	3
Broulee - Tomakin	1	2	495
Broulee - Tomakin	1	3	156
Broulee - Tomakin	1	4	133
Broulee - Tomakin	1	5	54
Broulee - Tomakin	1	6	28
Deua - Wadbilliga	0	1	7
Deua - Wadbilliga	1	2	4
Eden	0	1	442
Eden	0	2	39
Eden	1	2	455
Eden	1	3	156
Eden	1	4	109
Eden	1	5	62
Eden	1	6	27
Eurobodalla Hinterland	0	1	333
Eurobodalla Hinterland	0	2	27
Eurobodalla Hinterland	0	3	3
Eurobodalla Hinterland	1	2	513
Eurobodalla Hinterland	1	3	168
Eurobodalla Hinterland	1	4	138
Eurobodalla Hinterland	1	5	53
Eurobodalla Hinterland	1	6	40
Merimbula - Tura Beach	0	1	1366
Merimbula - Tura Beach	0	2	95
Merimbula - Tura Beach	0	3	8
Merimbula - Tura Beach	1	2	1783
Merimbula - Tura Beach	1	3	492
Merimbula - Tura Beach	1	4	392
Merimbula - Tura Beach	1	5	134
Merimbula - Tura Beach	1	6	72
Moruya - Tuross Head	0	1	1034
Moruya - Tuross Head	0	2	77
Moruya - Tuross Head	0	3	4
Moruya - Tuross Head	0	4	5
Moruya - Tuross Head	1	2	1380
Moruya - Tuross Head	1	3	357
Moruya - Tuross Head	1	4	295
Moruya - Tuross Head	1	5	122
Moruya - Tuross Head	1	6	63
Narooma - Bermagui	0	1	1282
Narooma - Bermagui	0	2	79
Narooma - Bermagui	0	3	12
Narooma - Bermagui	1	2	1622
Narooma - Bermagui	1	3	355
Narooma - Bermagui	1	4	253
Narooma - Bermagui	1	5	114
Narooma - Bermagui	1	6	72
Goulburn	0	1	2698
Goulburn	0	2	180
Goulburn	0	3	22
Goulburn	0	4	4
Goulburn	0	5	8
Goulburn	0	6	7
Goulburn	1	2	2728
Goulburn	1	3	1190
Goulburn	1	4	1046
Goulburn	1	5	467
Goulburn	1	6	235
Goulburn Region	0	1	1172
Goulburn Region	0	2	77
Goulburn Region	0	3	3
Goulburn Region	1	2	1733
Goulburn Region	1	3	597
Goulburn Region	1	4	555
Goulburn Region	1	5	298
Goulburn Region	1	6	165
Yass	0	1	630
Yass	0	2	48
Yass	0	3	3
Yass	1	2	747
Yass	1	3	362
Yass	1	4	344
Yass	1	5	153
Yass	1	6	66
Yass Region	0	1	659
Yass Region	0	2	60
Yass Region	0	3	9
Yass Region	1	2	1422
Yass Region	1	3	531
Yass Region	1	4	707
Yass Region	1	5	355
Yass Region	1	6	137
Young	0	1	1181
Young	0	2	90
Young	0	3	11
Young	0	4	3
Young	1	2	1285
Young	1	3	528
Young	1	4	459
Young	1	5	252
Young	1	6	139
Young Region	0	1	907
Young Region	0	2	70
Young Region	1	2	1103
Young Region	1	3	312
Young Region	1	4	301
Young Region	1	5	163
Young Region	1	6	76
Avoca Beach - Copacabana	0	1	449
Avoca Beach - Copacabana	0	2	38
Avoca Beach - Copacabana	0	3	11
Avoca Beach - Copacabana	0	4	5
Avoca Beach - Copacabana	1	2	719
Avoca Beach - Copacabana	1	3	419
Avoca Beach - Copacabana	1	4	525
Avoca Beach - Copacabana	1	5	211
Avoca Beach - Copacabana	1	6	79
Box Head - MacMasters Beach	0	1	908
Box Head - MacMasters Beach	0	2	61
Box Head - MacMasters Beach	0	3	7
Box Head - MacMasters Beach	0	5	3
Box Head - MacMasters Beach	1	2	1405
Box Head - MacMasters Beach	1	3	557
Box Head - MacMasters Beach	1	4	631
Box Head - MacMasters Beach	1	5	281
Box Head - MacMasters Beach	1	6	108
Calga - Kulnura	0	1	398
Calga - Kulnura	0	2	55
Calga - Kulnura	0	3	8
Calga - Kulnura	0	6	3
Calga - Kulnura	1	2	510
Calga - Kulnura	1	3	213
Calga - Kulnura	1	4	218
Calga - Kulnura	1	5	126
Calga - Kulnura	1	6	73
Erina - Green Point	0	1	1515
Erina - Green Point	0	2	82
Erina - Green Point	0	3	10
Erina - Green Point	0	4	3
Erina - Green Point	1	2	1625
Erina - Green Point	1	3	731
Erina - Green Point	1	4	739
Erina - Green Point	1	5	342
Erina - Green Point	1	6	144
Gosford - Springfield	0	1	2746
Gosford - Springfield	0	2	286
Gosford - Springfield	0	3	46
Gosford - Springfield	0	4	12
Gosford - Springfield	0	6	3
Gosford - Springfield	1	2	2317
Gosford - Springfield	1	3	1029
Gosford - Springfield	1	4	854
Gosford - Springfield	1	5	337
Gosford - Springfield	1	6	153
Kariong	0	1	290
Kariong	0	2	31
Kariong	0	3	6
Kariong	0	4	3
Kariong	1	2	509
Kariong	1	3	385
Kariong	1	4	493
Kariong	1	5	166
Kariong	1	6	100
Kincumber - Picketts Valley	0	1	880
Kincumber - Picketts Valley	0	2	43
Kincumber - Picketts Valley	0	3	8
Kincumber - Picketts Valley	1	2	920
Kincumber - Picketts Valley	1	3	389
Kincumber - Picketts Valley	1	4	412
