SA2_NAME16	HomeCensusNight	Sex	persons
Braidwood	0	F	157
Braidwood	0	M	176
Braidwood	1	F	1768
Braidwood	1	M	1777
Karabar	0	F	176
Karabar	0	M	197
Karabar	1	F	3997
Karabar	1	M	3872
Queanbeyan	0	F	261
Queanbeyan	0	M	274
Queanbeyan	1	F	5142
Queanbeyan	1	M	5157
Queanbeyan - East	0	F	96
Queanbeyan - East	0	M	153
Queanbeyan - East	1	F	2226
Queanbeyan - East	1	M	2305
Queanbeyan Region	0	F	416
Queanbeyan Region	0	M	477
Queanbeyan Region	1	F	7910
Queanbeyan Region	1	M	8140
Queanbeyan West - Jerrabomberra	0	F	247
Queanbeyan West - Jerrabomberra	0	M	320
Queanbeyan West - Jerrabomberra	1	F	6108
Queanbeyan West - Jerrabomberra	1	M	5971
Bombala	0	F	80
Bombala	0	M	93
Bombala	1	F	1104
Bombala	1	M	1111
Cooma	0	F	203
Cooma	0	M	233
Cooma	1	F	3147
Cooma	1	M	3158
Cooma Region	0	F	82
Cooma Region	0	M	133
Cooma Region	1	F	1512
Cooma Region	1	M	1557
Jindabyne - Berridale	0	F	255
Jindabyne - Berridale	0	M	274
Jindabyne - Berridale	1	F	2974
Jindabyne - Berridale	1	M	3458
Batemans Bay	0	F	251
Batemans Bay	0	M	302
Batemans Bay	1	F	3663
Batemans Bay	1	M	3477
Batemans Bay - South	0	F	285
Batemans Bay - South	0	M	286
Batemans Bay - South	1	F	4083
Batemans Bay - South	1	M	3703
Bega - Tathra	0	F	271
Bega - Tathra	0	M	338
Bega - Tathra	1	F	4048
Bega - Tathra	1	M	3744
Bega-Eden Hinterland	0	F	314
Bega-Eden Hinterland	0	M	357
Bega-Eden Hinterland	1	F	4045
Bega-Eden Hinterland	1	M	4076
Broulee - Tomakin	0	F	114
Broulee - Tomakin	0	M	153
Broulee - Tomakin	1	F	1565
Broulee - Tomakin	1	M	1457
Deua - Wadbilliga	1	F	9
Deua - Wadbilliga	1	M	13
