SA2_NAME16	OnlyEnglishSpokenHome	Sex	persons
Braidwood	0	F	69
Braidwood	0	M	64
Braidwood	1	F	1623
Braidwood	1	M	1677
Karabar	0	F	574
Karabar	0	M	540
Karabar	1	F	3341
Karabar	1	M	3310
Queanbeyan	0	F	1182
Queanbeyan	0	M	1116
Queanbeyan	1	F	3837
Queanbeyan	1	M	3885
Queanbeyan - East	0	F	467
Queanbeyan - East	0	M	509
Queanbeyan - East	1	F	1725
Queanbeyan - East	1	M	1793
Queanbeyan Region	0	F	503
Queanbeyan Region	0	M	484
Queanbeyan Region	1	F	7067
Queanbeyan Region	1	M	7295
Queanbeyan West - Jerrabomberra	0	F	691
Queanbeyan West - Jerrabomberra	0	M	658
Queanbeyan West - Jerrabomberra	1	F	5405
Queanbeyan West - Jerrabomberra	1	M	5380
Bombala	0	F	37
Bombala	0	M	35
Bombala	1	F	1062
Bombala	1	M	1092
Cooma	0	F	260
Cooma	0	M	191
Cooma	1	F	2814
Cooma	1	M	2752
Cooma Region	0	F	52
Cooma Region	0	M	66
Cooma Region	1	F	1405
Cooma Region	1	M	1479
Jindabyne - Berridale	0	F	197
Jindabyne - Berridale	0	M	196
Jindabyne - Berridale	1	F	2762
Jindabyne - Berridale	1	M	3187
Batemans Bay	0	F	183
Batemans Bay	0	M	168
Batemans Bay	1	F	3465
Batemans Bay	1	M	3332
Batemans Bay - South	0	F	224
Batemans Bay - South	0	M	185
Batemans Bay - South	1	F	3827
Batemans Bay - South	1	M	3483
Bega - Tathra	0	F	157
Bega - Tathra	0	M	103
Bega - Tathra	1	F	3832
Bega - Tathra	1	M	3648
Bega-Eden Hinterland	0	F	107
Bega-Eden Hinterland	0	M	79
Bega-Eden Hinterland	1	F	3965
Bega-Eden Hinterland	1	M	4023
Broulee - Tomakin	0	F	53
Broulee - Tomakin	0	M	37
Broulee - Tomakin	1	F	1499
Broulee - Tomakin	1	M	1434
Deua - Wadbilliga	1	F	11
Deua - Wadbilliga	1	M	8
Eden	0	F	53
Eden	0	M	54
Eden	1	F	1435
Eden	1	M	1384
Eurobodalla Hinterland	0	F	47
Eurobodalla Hinterland	0	M	37
Eurobodalla Hinterland	1	F	1470
Eurobodalla Hinterland	1	M	1512
Merimbula - Tura Beach	0	F	199
Merimbula - Tura Beach	0	M	166
Merimbula - Tura Beach	1	F	4938
Merimbula - Tura Beach	1	M	4570
Moruya - Tuross Head	0	F	122
Moruya - Tuross Head	0	M	127
Moruya - Tuross Head	1	F	3621
Moruya - Tuross Head	1	M	3586
Narooma - Bermagui	0	F	161
Narooma - Bermagui	0	M	152
Narooma - Bermagui	1	F	4015
Narooma - Bermagui	1	M	3884
Goulburn	0	F	562
Goulburn	0	M	523
Goulburn	1	F	10174
Goulburn	1	M	9659
Goulburn Region	0	F	181
Goulburn Region	0	M	205
Goulburn Region	1	F	5462
Goulburn Region	1	M	5816
Yass	0	F	116
Yass	0	M	98
Yass	1	F	3053
Yass	1	M	2827
Yass Region	0	F	189
Yass Region	0	M	199
Yass Region	1	F	5208
Yass Region	1	M	5186
Young	0	F	209
Young	0	M	227
Young	1	F	4922
Young	1	M	4546
Young Region	0	F	97
Young Region	0	M	94
Young Region	1	F	3309
Young Region	1	M	3342
Avoca Beach - Copacabana	0	F	206
Avoca Beach - Copacabana	0	M	169
Avoca Beach - Copacabana	1	F	3281
Avoca Beach - Copacabana	1	M	3327
Box Head - MacMasters Beach	0	F	239
Box Head - MacMasters Beach	0	M	192
Box Head - MacMasters Beach	1	F	4990
Box Head - MacMasters Beach	1	M	4827
Calga - Kulnura	0	F	206
Calga - Kulnura	0	M	190
Calga - Kulnura	1	F	1821
