SA2_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Braidwood					19
Braidwood	0	0	0	1	80
Braidwood	0	0	1	0	14
Braidwood	0	0	1	1	9
Braidwood	0	1	0	0	169
Braidwood	0	1	0	1	7
Braidwood	0	1	1	0	23
Braidwood	1	0	0	1	200
Braidwood	1	0	1	0	102
Braidwood	1	0	1	1	62
Braidwood	1	1	0	0	762
Braidwood	1	1	0	1	71
Braidwood	1	1	1	0	134
Braidwood	1	1	1	1	23
Karabar					84
Karabar	0	0	0	1	379
Karabar	0	0	1	0	110
Karabar	0	0	1	1	64
Karabar	0	1	0	0	485
Karabar	0	1	0	1	73
Karabar	0	1	1	0	74
Karabar	0	1	1	1	28
Karabar	1	0	0	1	780
Karabar	1	0	1	0	246
Karabar	1	0	1	1	194
Karabar	1	1	0	0	1899
Karabar	1	1	0	1	164
Karabar	1	1	1	0	494
Karabar	1	1	1	1	85
Queanbeyan					115
Queanbeyan	0	0	0	1	402
Queanbeyan	0	0	1	0	95
Queanbeyan	0	0	1	1	34
Queanbeyan	0	1	0	0	538
Queanbeyan	0	1	0	1	33
Queanbeyan	0	1	1	0	81
Queanbeyan	0	1	1	1	18
Queanbeyan	1	0	0	1	437
Queanbeyan	1	0	1	0	208
Queanbeyan	1	0	1	1	136
Queanbeyan	1	1	0	0	2290
Queanbeyan	1	1	0	1	93
Queanbeyan	1	1	1	0	349
Queanbeyan	1	1	1	1	62
Queanbeyan - East					32
Queanbeyan - East	0	0	0	1	144
Queanbeyan - East	0	0	1	0	35
Queanbeyan - East	0	0	1	1	24
Queanbeyan - East	0	1	0	0	203
Queanbeyan - East	0	1	0	1	12
Queanbeyan - East	0	1	1	0	15
Queanbeyan - East	0	1	1	1	7
Queanbeyan - East	1	0	0	1	222
Queanbeyan - East	1	0	1	0	150
Queanbeyan - East	1	0	1	1	92
Queanbeyan - East	1	1	0	0	1205
Queanbeyan - East	1	1	0	1	62
Queanbeyan - East	1	1	1	0	155
Queanbeyan - East	1	1	1	1	33
Queanbeyan Region					65
Queanbeyan Region	0	0	0	1	232
Queanbeyan Region	0	0	1	0	66
Queanbeyan Region	0	0	1	1	39
Queanbeyan Region	0	1	0	0	411
Queanbeyan Region	0	1	0	1	59
Queanbeyan Region	0	1	1	0	95
Queanbeyan Region	0	1	1	1	20
Queanbeyan Region	1	0	0	1	1386
Queanbeyan Region	1	0	1	0	736
Queanbeyan Region	1	0	1	1	505
Queanbeyan Region	1	1	0	0	4955
Queanbeyan Region	1	1	0	1	241
Queanbeyan Region	1	1	1	0	1222
Queanbeyan Region	1	1	1	1	214
Queanbeyan West - Jerrabomberra					58
Queanbeyan West - Jerrabomberra	0	0	0	1	323
Queanbeyan West - Jerrabomberra	0	0	1	0	98
Queanbeyan West - Jerrabomberra	0	0	1	1	79
Queanbeyan West - Jerrabomberra	0	1	0	0	464
Queanbeyan West - Jerrabomberra	0	1	0	1	32
Queanbeyan West - Jerrabomberra	0	1	1	0	83
Queanbeyan West - Jerrabomberra	0	1	1	1	54
Queanbeyan West - Jerrabomberra	1	0	0	1	890
Queanbeyan West - Jerrabomberra	1	0	1	0	730
Queanbeyan West - Jerrabomberra	1	0	1	1	524
Queanbeyan West - Jerrabomberra	1	1	0	0	4060
Queanbeyan West - Jerrabomberra	1	1	0	1	208
Queanbeyan West - Jerrabomberra	1	1	1	0	1150
Queanbeyan West - Jerrabomberra	1	1	1	1	158
Bombala					14
Bombala	0	0	0	1	80
Bombala	0	0	1	0	9
Bombala	0	0	1	1	4
Bombala	0	1	0	0	87
Bombala	0	1	1	0	8
Bombala	0	1	1	1	5
Bombala	1	0	0	1	133
Bombala	1	0	1	0	56
Bombala	1	0	1	1	30
Bombala	1	1	0	0	532
Bombala	1	1	0	1	15
Bombala	1	1	1	0	107
Bombala	1	1	1	1	18
Cooma					36
Cooma	0	0	0	1	258
Cooma	0	0	1	0	73
Cooma	0	0	1	1	27
Cooma	0	1	0	0	382
Cooma	0	1	0	1	47
Cooma	0	1	1	0	68
Cooma	0	1	1	1	17
Cooma	1	0	0	1	372
Cooma	1	0	1	0	160
Cooma	1	0	1	1	123
Cooma	1	1	0	0	1202
Cooma	1	1	0	1	77
Cooma	1	1	1	0	181
Cooma	1	1	1	1	73
Cooma Region					19
Cooma Region	0	0	0	1	68
Cooma Region	0	0	1	0	9
Cooma Region	0	0	1	1	7
Cooma Region	0	1	0	0	56
Cooma Region	0	1	0	1	3
Cooma Region	0	1	1	0	25
Cooma Region	0	1	1	1	4
Cooma Region	1	0	0	1	187
Cooma Region	1	0	1	0	103
Cooma Region	1	0	1	1	76
Cooma Region	1	1	0	0	739
Cooma Region	1	1	0	1	21
Cooma Region	1	1	1	0	200
Cooma Region	1	1	1	1	21
Jindabyne - Berridale					32
Jindabyne - Berridale	0	0	0	1	133
Jindabyne - Berridale	0	0	1	0	65
Jindabyne - Berridale	0	0	1	1	12
Jindabyne - Berridale	0	1	0	0	206
Jindabyne - Berridale	0	1	0	1	13
Jindabyne - Berridale	0	1	1	0	34
Jindabyne - Berridale	0	1	1	1	5
Jindabyne - Berridale	1	0	0	1	269
Jindabyne - Berridale	1	0	1	0	146
Jindabyne - Berridale	1	0	1	1	101
Jindabyne - Berridale	1	1	0	0	1707
Jindabyne - Berridale	1	1	0	1	47
Jindabyne - Berridale	1	1	1	0	315
Jindabyne - Berridale	1	1	1	1	39
Batemans Bay					62
Batemans Bay	0	0	0	1	302
Batemans Bay	0	0	1	0	36
Batemans Bay	0	0	1	1	34
Batemans Bay	0	1	0	0	470
Batemans Bay	0	1	0	1	56
Batemans Bay	0	1	1	0	95
Batemans Bay	0	1	1	1	22
Batemans Bay	1	0	0	1	411
Batemans Bay	1	0	1	0	124
Batemans Bay	1	0	1	1	43
Batemans Bay	1	1	0	0	1243
Batemans Bay	1	1	0	1	144
Batemans Bay	1	1	1	0	226
Batemans Bay	1	1	1	1	57
Batemans Bay - South					39
Batemans Bay - South	0	0	0	1	312
Batemans Bay - South	0	0	1	0	60
Batemans Bay - South	0	0	1	1	54
Batemans Bay - South	0	1	0	0	449
Batemans Bay - South	0	1	0	1	41
Batemans Bay - South	0	1	1	0	103
Batemans Bay - South	0	1	1	1	22
Batemans Bay - South	1	0	0	1	388
Batemans Bay - South	1	0	1	0	145
Batemans Bay - South	1	0	1	1	87
Batemans Bay - South	1	1	0	0	1233
Batemans Bay - South	1	1	0	1	120
Batemans Bay - South	1	1	1	0	241
Batemans Bay - South	1	1	1	1	53
Bega - Tathra					44
Bega - Tathra	0	0	0	1	210
Bega - Tathra	0	0	1	0	100
Bega - Tathra	0	0	1	1	42
Bega - Tathra	0	1	0	0	408
Bega - Tathra	0	1	0	1	47
Bega - Tathra	0	1	1	0	91
Bega - Tathra	0	1	1	1	21
Bega - Tathra	1	0	0	1	472
Bega - Tathra	1	0	1	0	177
Bega - Tathra	1	0	1	1	105
Bega - Tathra	1	1	0	0	1863
Bega - Tathra	1	1	0	1	108
Bega - Tathra	1	1	1	0	374
Bega - Tathra	1	1	1	1	50
Bega-Eden Hinterland					57
Bega-Eden Hinterland	0	0	0	1	234
