SA2_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Braidwood			91875	4
Braidwood	0			17
Braidwood	0		7875	3
Braidwood	0		15750	4
Braidwood	0		21000	8
Braidwood	0		26250	13
Braidwood	0		34125	20
Braidwood	0		42000	15
Braidwood	0		52500	9
Braidwood	0		65625	13
Braidwood	0		78750	3
Braidwood	0		91875	4
Braidwood	0		105000	4
Braidwood	0		131250	7
Braidwood	1	0		117
Braidwood	1	0	0	9
Braidwood	1	0	7875	3
Braidwood	1	0	15750	4
Braidwood	1	0	21000	3
Braidwood	1	0	26250	39
Braidwood	1	0	34125	17
Braidwood	1	0	42000	67
Braidwood	1	0	52500	62
Braidwood	1	0	65625	68
Braidwood	1	0	78750	71
Braidwood	1	0	91875	43
Braidwood	1	0	105000	56
Braidwood	1	0	131250	101
Braidwood	1	0	157500	64
Braidwood	1	0	183750	41
Braidwood	1	0	210000	23
Braidwood	1	0	Inf	53
Braidwood	1	1	26250	6
Braidwood	1	1	34125	5
Braidwood	1	1	42000	12
Karabar				3
Karabar			34125	4
Karabar			42000	4
Karabar			52500	3
Karabar			65625	3
Karabar			78750	5
Karabar			91875	7
Karabar			131250	3
Karabar			Inf	6
Karabar	0			54
Karabar	0		0	3
Karabar	0		7875	3
Karabar	0		15750	14
Karabar	0		21000	26
Karabar	0		26250	21
Karabar	0		34125	32
Karabar	0		42000	45
Karabar	0		52500	44
Karabar	0		65625	49
Karabar	0		78750	36
Karabar	0		91875	32
Karabar	0		105000	23
Karabar	0		131250	43
Karabar	0		157500	14
Karabar	0		183750	14
Karabar	0		210000	4
Karabar	1	0		175
Karabar	1	0	0	9
Karabar	1	0	7875	3
Karabar	1	0	15750	3
Karabar	1	0	21000	3
Karabar	1	0	26250	27
Karabar	1	0	34125	10
Karabar	1	0	42000	73
Karabar	1	0	52500	65
Karabar	1	0	65625	100
Karabar	1	0	78750	105
Karabar	1	0	91875	84
Karabar	1	0	105000	131
Karabar	1	0	131250	258
