SA2_NAME16	medianTotalPersonalIncome
Braidwood	30888
Karabar	42224
Queanbeyan	43524
Queanbeyan - East	45916
Queanbeyan Region	55952
Queanbeyan West - Jerrabomberra	58136
Bombala	30004
Cooma	31616
Cooma Region	32968
Jindabyne - Berridale	39572
Batemans Bay	26156
Batemans Bay - South	27092
Bega - Tathra	30472
Bega-Eden Hinterland	25792
Broulee - Tomakin	30992
Deua - Wadbilliga	27924
Eden	25272
Eurobodalla Hinterland	26624
Merimbula - Tura Beach	29380
Moruya - Tuross Head	26104
Narooma - Bermagui	25584
Goulburn	32604
Goulburn Region	31304
Yass	37856
Yass Region	47892
Young	27820
Young Region	27976
Avoca Beach - Copacabana	39572
Box Head - MacMasters Beach	33332
Calga - Kulnura	35464
Erina - Green Point	31668
Gosford - Springfield	33956
Kariong	36556
Kincumber - Picketts Valley	29692
Narara	34580
Niagara Park - Lisarow	34632
Point Clare - Koolewong	33540
Saratoga - Davistown	34320
Terrigal - North Avoca	39156
Umina - Booker Bay - Patonga	28652
Wamberal - Forresters Beach	39416
Woy Woy - Blackwall	27612
Wyoming	29952
Bateau Bay - Killarney Vale	30316
Blue Haven - San Remo	28600
Budgewoi - Buff Point - Halekulani	26936
Chittaway Bay - Tumbi Umbi	34164
Gorokan - Kanwal - Charmhaven	26832
Jilliby - Yarramalong	36088
Lake Munmorah - Mannering Park	26208
Ourimbah - Fountaindale	37804
Summerland Point - Gwandalan	28236
The Entrance	29016
Toukley - Norah Head	27716
Tuggerah - Kangy Angy	34372
Warnervale - Wadalba	32812
Wyong	26416
Bathurst	33020
Bathurst - East	34944
Bathurst Region	33956
Oberon	30992
Condobolin	28756
Cowra	26416
Cowra Region	26780
Forbes	29484
Grenfell	25636
Parkes (NSW)	30108
Parkes Region	25844
West Wyalong	30108
Lithgow	25740
Lithgow Region	28184
Mudgee	33072
Mudgee Region - East	23400
Mudgee Region - West	25948
Wollangambe - Wollemi	
Blayney	32240
Orange	30628
Orange - North	38376
Orange Region	36036
Grafton	25792
Grafton Region	24128
Maclean - Yamba - Iluka	24388
Bellingen	27508
Coffs Harbour - North	28912
Coffs Harbour - South	29172
Coramba - Nana Glen - Bucca	30680
Dorrigo	24596
Korora - Emerald Beach	35100
Sawtell - Boambee	29120
Urunga	27196
Woolgoolga - Arrawarra	27456
Bourke - Brewarrina	31512
Cobar	36660
Coonamble	27924
Nyngan - Warren	32708
Walgett - Lightning Ridge	23972
Broken Hill	27404
Far West	25844
Coonabarabran	24700
Dubbo - East	34996
Dubbo - South	36400
Dubbo - West	35464
Dubbo Region	35724
Gilgandra	27976
Narromine	30628
Wellington	25532
Branxton - Greta - Pokolbin	36712
Cessnock	25948
Cessnock Region	30368
Dungog	30056
Kurri Kurri - Abermain	26832
Singleton	35880
Singleton Region	33020
Maitland	33592
Maitland - East	32760
Maitland - North	39572
Maitland - West	31980
Thornton - Millers Forest	37648
Anna Bay	27716
Lemon Tree Passage - Tanilba Bay	25116
Nelson Bay Peninsula	29380
Raymond Terrace	28652
Seaham - Woodville	37284
Tea Gardens - Hawks Nest	25168
Williamtown - Medowie - Karuah	33592
Muswellbrook	32760
Muswellbrook Region	34996
Scone	35152
Scone Region	30940
Dapto - Avondale	28028
Horsley - Kembla Grange	36400
Port Kembla Industrial	18148
Unanderra - Mount Kembla	31668
Berkeley - Lake Heights - Cringila	24440
Port Kembla - Warrawong	23192
Windang - Primbee	25740
Illawarra Catchment Reserve	19448
Albion Park - Macquarie Pass	33592
Albion Park Rail	28600
Kiama	33748
Kiama Downs - Minnamurra	37128
Kiama Hinterland - Gerringong	36348
Shellharbour - Flinders	36192
Shellharbour - Oak Flats	29588
Warilla	25324
Balgownie - Fairy Meadow	28600
Corrimal - Tarrawanna - Bellambi	29796
Figtree - Keiraville	30732
Helensburgh	43368
Thirroul - Austinmer - Coalcliff	43004
Woonona - Bulli - Russell Vale	36192
Wollongong - East	33488
Wollongong - West	26104
Bulahdelah - Stroud	24700
Forster	25324
Forster-Tuncurry Region	24908
Tuncurry	23556
Kempsey	24544
Kempsey Region	24544
Macksville - Scotts Head	25324
Nambucca Heads	23452
Nambucca Heads Region	24492
South West Rocks	24960
Lord Howe Island	39624
Laurieton - Bonny Hills	25116
Port Macquarie - East	31044
Port Macquarie - West	27560
Port Macquarie Region	27768
Wauchope	27664
Gloucester	25012
Old Bar - Manning Point - Red Head	26988
Taree	24544
Taree Region	23660
Wingham	24908
Albury - East	37752
Albury - North	31148
Albury - South	37388
Albury Region	32292
Lavington	27924
Hay	30680
Wentworth - Buronga	28236
Wentworth-Balranald Region	31980
Corowa	29276
Corowa Region	29172
Deniliquin	30316
Deniliquin Region	28028
Moama	31200
Tocumwal - Finley - Jerilderie	27820
Armidale	29328
Armidale Region - North	29900
Armidale Region - South	30160
Walcha	29900
Glen Innes	24856
Inverell	28184
Inverell Region - East	22568
Inverell Region - West	25168
Tenterfield	23608
Moree	34684
Moree Region	35464
Narrabri	33800
Narrabri Region	32188
Gunnedah	32084
Gunnedah Region	31512
Quirindi	27716
Tamworth - East	33852
Tamworth - North	35464
Tamworth - West	28964
Tamworth Region	30784
Belmont - Bennetts Green	31512
Belmont South - Blacksmiths	27612
Charlestown - Dudley	34580
Glendale - Cardiff - Hillsborough	34580
Mount Hutton - Windale	25324
Redhead	33228
Swansea - Caves Beach	28340
Valentine - Eleebana	37856
Warners Bay - Boolaroo	33332
