SA2_NAME16	FamilyHousehold	IncomeHousehold.max	households
Braidwood	0		27
Braidwood	0	0	12
Braidwood	0	7875	14
Braidwood	0	15750	25
Braidwood	0	21000	51
Braidwood	0	26250	113
Braidwood	0	34125	43
Braidwood	0	42000	42
Braidwood	0	52500	36
Braidwood	0	65625	35
Braidwood	0	78750	26
Braidwood	0	91875	15
Braidwood	0	105000	15
Braidwood	0	131250	15
Braidwood	0	210000	7
Braidwood	1		141
Braidwood	1	0	11
Braidwood	1	7875	7
Braidwood	1	15750	10
Braidwood	1	21000	6
Braidwood	1	26250	46
Braidwood	1	34125	39
Braidwood	1	42000	91
Braidwood	1	52500	70
Braidwood	1	65625	88
Braidwood	1	78750	72
Braidwood	1	91875	50
Braidwood	1	105000	62
Braidwood	1	131250	105
Braidwood	1	157500	62
Braidwood	1	183750	45
Braidwood	1	210000	30
Braidwood	1	Inf	61
Karabar	0		48
Karabar	0	0	11
Karabar	0	7875	10
Karabar	0	15750	36
Karabar	0	21000	66
Karabar	0	26250	128
Karabar	0	34125	50
Karabar	0	42000	62
Karabar	0	52500	74
Karabar	0	65625	69
Karabar	0	78750	57
Karabar	0	91875	46
Karabar	0	105000	37
Karabar	0	131250	51
Karabar	0	157500	9
Karabar	0	183750	9
Karabar	0	210000	15
Karabar	0	Inf	6
Karabar	1		225
Karabar	1	0	15
Karabar	1	7875	3
Karabar	1	15750	18
Karabar	1	21000	21
Karabar	1	26250	47
Karabar	1	34125	43
Karabar	1	42000	124
Karabar	1	52500	102
Karabar	1	65625	135
Karabar	1	78750	129
Karabar	1	91875	119
Karabar	1	105000	149
Karabar	1	131250	294
Karabar	1	157500	228
Karabar	1	183750	177
Karabar	1	210000	118
Karabar	1	Inf	207
Queanbeyan	0		105
Queanbeyan	0	0	26
Queanbeyan	0	7875	28
Queanbeyan	0	15750	79
Queanbeyan	0	21000	131
Queanbeyan	0	26250	244
Queanbeyan	0	34125	144
Queanbeyan	0	42000	170
Queanbeyan	0	52500	183
Queanbeyan	0	65625	245
Queanbeyan	0	78750	211
Queanbeyan	0	91875	184
Queanbeyan	0	105000	118
Queanbeyan	0	131250	164
Queanbeyan	0	157500	15
Queanbeyan	0	183750	9
Queanbeyan	0	210000	37
Queanbeyan	0	Inf	6
Queanbeyan	1		239
Queanbeyan	1	0	19
Queanbeyan	1	7875	5
Queanbeyan	1	15750	8
Queanbeyan	1	21000	10
Queanbeyan	1	26250	52
Queanbeyan	1	34125	63
Queanbeyan	1	42000	155
Queanbeyan	1	52500	146
Queanbeyan	1	65625	187
Queanbeyan	1	78750	193
Queanbeyan	1	91875	177
Queanbeyan	1	105000	183
Queanbeyan	1	131250	352
Queanbeyan	1	157500	269
Queanbeyan	1	183750	172
Queanbeyan	1	210000	104
Queanbeyan	1	Inf	178
Queanbeyan - East	0		27
Queanbeyan - East	0	0	23
Queanbeyan - East	0	7875	7
Queanbeyan - East	0	15750	23
Queanbeyan - East	0	21000	64
Queanbeyan - East	0	26250	90
Queanbeyan - East	0	34125	63
Queanbeyan - East	0	42000	73
Queanbeyan - East	0	52500	85
Queanbeyan - East	0	65625	117
Queanbeyan - East	0	78750	79
Queanbeyan - East	0	91875	76
Queanbeyan - East	0	105000	50
Queanbeyan - East	0	131250	59
Queanbeyan - East	0	210000	17
Queanbeyan - East	1		118
Queanbeyan - East	1	0	3
Queanbeyan - East	1	7875	3
Queanbeyan - East	1	15750	9
Queanbeyan - East	1	21000	9
Queanbeyan - East	1	26250	14
Queanbeyan - East	1	34125	26
Queanbeyan - East	1	42000	50
Queanbeyan - East	1	52500	61
Queanbeyan - East	1	65625	97
Queanbeyan - East	1	78750	102
