SA2_NAME16	Age	UsualResidence	persons
Braidwood	0-14	Home	614
Braidwood	0-14	Visitor from ACT	3
Braidwood	0-14	Visitor from NSW	17
Braidwood	15-24	Home	270
Braidwood	15-24	Visitor from ACT	5
Braidwood	15-24	Visitor from NSW	17
Braidwood	25-34	Home	266
Braidwood	25-34	Visitor from ACT	4
Braidwood	25-34	Visitor from NSW	12
Braidwood	35-44	Home	402
Braidwood	35-44	Visitor from ACT	4
Braidwood	35-44	Visitor from NSW	16
Braidwood	45-54	Home	526
Braidwood	45-54	Visitor from NSW	27
Braidwood	45-54	Visitor from QLD	4
Braidwood	45-54	Visitor same SA2	3
Braidwood	55-64	Home	627
Braidwood	55-64	Visitor from ACT	9
Braidwood	55-64	Visitor from NSW	26
Braidwood	55-64	Visitor from QLD	7
Braidwood	65-74	Home	536
Braidwood	65-74	Visitor from ACT	3
Braidwood	65-74	Visitor from NSW	29
Braidwood	65-74	Visitor from QLD	3
Braidwood	65-74	Visitor from TAS	3
Braidwood	65-74	Visitor same SA2	3
Braidwood	75-84	Home	223
Braidwood	75-84	Visitor from NSW	15
Braidwood	85+	Home	76
Braidwood	85+	Visitor from ACT	6
Braidwood	85+	Visitor from NSW	5
Karabar	0-14	Home	1581
Karabar	0-14	Visitor from ACT	9
Karabar	0-14	Visitor from NSW	22
Karabar	15-24	Home	1065
Karabar	15-24	Visitor from ACT	12
Karabar	15-24	Visitor from NSW	24
Karabar	15-24	Visitor from QLD	10
Karabar	15-24	Visitor from SA	4
Karabar	25-34	Home	1026
Karabar	25-34	Visitor from ACT	14
Karabar	25-34	Visitor from NSW	31
Karabar	25-34	Visitor from QLD	3
Karabar	25-34	Visitor from TAS	3
Karabar	35-44	Home	1071
Karabar	35-44	Visitor from ACT	13
Karabar	35-44	Visitor from NSW	37
Karabar	35-44	Visitor from QLD	7
Karabar	35-44	Visitor from VIC	3
Karabar	45-54	Home	1154
Karabar	45-54	Visitor from ACT	3
Karabar	45-54	Visitor from NSW	26
Karabar	45-54	Visitor from QLD	10
Karabar	45-54	Visitor from SA	3
Karabar	45-54	Visitor from TAS	4
Karabar	45-54	Visitor from VIC	3
Karabar	45-54	Visitor same SA2	3
Karabar	55-64	Home	998
Karabar	55-64	Visitor from NSW	25
Karabar	55-64	Visitor from QLD	10
Karabar	55-64	Visitor from TAS	3
Karabar	55-64	Visitor from VIC	3
Karabar	65-74	Home	603
Karabar	65-74	Visitor from NSW	15
Karabar	75-84	Home	287
Karabar	75-84	Visitor from NSW	9
Karabar	85+	Home	81
Karabar	85+	Visitor from NSW	4
Queanbeyan	0-14	Home	1626
Queanbeyan	0-14	Visitor from ACT	12
Queanbeyan	0-14	Visitor from NSW	27
Queanbeyan	0-14	Visitor from VIC	3
Queanbeyan	15-24	Home	1118
Queanbeyan	15-24	Visitor from ACT	20
Queanbeyan	15-24	Visitor from NSW	36
Queanbeyan	15-24	Visitor from QLD	3
Queanbeyan	15-24	Visitor from VIC	3
Queanbeyan	25-34	Home	2120
Queanbeyan	25-34	Visitor from ACT	18
Queanbeyan	25-34	Visitor from NSW	66
Queanbeyan	25-34	Visitor from VIC	3
Queanbeyan	35-44	Home	1481
Queanbeyan	35-44	Visitor from ACT	17
Queanbeyan	35-44	Visitor from NSW	50
Queanbeyan	35-44	Visitor from QLD	3
Queanbeyan	35-44	Visitor from VIC	7
Queanbeyan	45-54	Home	1326
Queanbeyan	45-54	Visitor from ACT	6
Queanbeyan	45-54	Visitor from NSW	76
Queanbeyan	45-54	Visitor from QLD	6
Queanbeyan	45-54	Visitor from TAS	5
Queanbeyan	45-54	Visitor from VIC	9
Queanbeyan	55-64	Home	1062
Queanbeyan	55-64	Visitor from ACT	6
Queanbeyan	55-64	Visitor from NSW	69
Queanbeyan	55-64	Visitor from QLD	13
Queanbeyan	55-64	Visitor from SA	4
Queanbeyan	55-64	Visitor from VIC	3
Queanbeyan	65-74	Home	774
Queanbeyan	65-74	Visitor from NSW	26
Queanbeyan	65-74	Visitor from TAS	4
Queanbeyan	65-74	Visitor from WA	3
Queanbeyan	75-84	Home	500
Queanbeyan	75-84	Visitor from NSW	7
Queanbeyan	85+	Home	294
Queanbeyan	85+	Visitor from NSW	13
Queanbeyan - East	0-14	Home	786
Queanbeyan - East	0-14	Visitor from ACT	10
Queanbeyan - East	0-14	Visitor from NSW	12
Queanbeyan - East	15-24	Home	538
Queanbeyan - East	15-24	Visitor from ACT	9
Queanbeyan - East	15-24	Visitor from NSW	39
