SA2_NAME16	FamilyComposition	families_with_children
Braidwood	Blended family with no other children present	19
Braidwood	Intact family with no other children present	291
Braidwood	Intact family with other children present	5
Braidwood	Other couple family with other children only	7
Braidwood	Step family with no other children present	37
Karabar	Blended family with no other children present	67
Karabar	Intact family with no other children present	831
Karabar	Intact family with other children present	13
Karabar	Other couple family with other children only	10
Karabar	Step family with no other children present	89
Queanbeyan	Blended family with no other children present	54
Queanbeyan	Intact family with no other children present	832
Queanbeyan	Intact family with other children present	10
Queanbeyan	Other couple family with other children only	10
Queanbeyan	Step family with no other children present	59
Queanbeyan - East	Blended family with no other children present	24
Queanbeyan - East	Intact family with no other children present	473
Queanbeyan - East	Intact family with other children present	3
Queanbeyan - East	Other couple family with other children only	7
Queanbeyan - East	Step family with no other children present	24
Queanbeyan Region	Blended family with no other children present	91
Queanbeyan Region	Intact family with no other children present	2113
Queanbeyan Region	Intact family with other children present	21
Queanbeyan Region	Other couple family with other children only	9
Queanbeyan Region	Step family with no other children present	170
Queanbeyan Region	Step family with other children present	3
Queanbeyan West - Jerrabomberra	Blended family with no other children present	79
Queanbeyan West - Jerrabomberra	Blended family with other children present	4
Queanbeyan West - Jerrabomberra	Intact family with no other children present	1758
Queanbeyan West - Jerrabomberra	Intact family with other children present	10
Queanbeyan West - Jerrabomberra	Other couple family with other children only	3
Queanbeyan West - Jerrabomberra	Step family with no other children present	136
Bombala	Blended family with no other children present	12
Bombala	Intact family with no other children present	203
Bombala	Intact family with other children present	3
Bombala	Other couple family with other children only	3
Bombala	Step family with no other children present	16
Cooma	Blended family with no other children present	37
Cooma	Intact family with no other children present	493
Cooma	Intact family with other children present	4
Cooma	Other couple family with other children only	4
Cooma	Step family with no other children present	43
Cooma Region	Blended family with no other children present	18
Cooma Region	Intact family with no other children present	298
Cooma Region	Other couple family with other children only	3
Cooma Region	Step family with no other children present	27
Jindabyne - Berridale	Blended family with no other children present	22
Jindabyne - Berridale	Intact family with no other children present	637
Jindabyne - Berridale	Step family with no other children present	33
Batemans Bay	Blended family with no other children present	42
Batemans Bay	Intact family with no other children present	472
Batemans Bay	Intact family with other children present	9
Batemans Bay	Other couple family with other children only	8
Batemans Bay	Step family with no other children present	37
Batemans Bay - South	Blended family with no other children present	20
Batemans Bay - South	Intact family with no other children present	495
Batemans Bay - South	Intact family with other children present	11
Batemans Bay - South	Other couple family with other children only	3
Batemans Bay - South	Step family with no other children present	58
Bega - Tathra	Blended family with no other children present	45
Bega - Tathra	Intact family with no other children present	702
Bega - Tathra	Intact family with other children present	8
Bega - Tathra	Other couple family with other children only	13
Bega - Tathra	Step family with no other children present	59
Bega-Eden Hinterland	Blended family with no other children present	49
Bega-Eden Hinterland	Intact family with no other children present	700
Bega-Eden Hinterland	Intact family with other children present	18
Bega-Eden Hinterland	Other couple family with other children only	10
Bega-Eden Hinterland	Step family with no other children present	46
Bega-Eden Hinterland	Step family with other children present	6
Broulee - Tomakin	Blended family with no other children present	9
Broulee - Tomakin	Intact family with no other children present	246
Broulee - Tomakin	Intact family with other children present	6
Broulee - Tomakin	Step family with no other children present	18
Eden	Blended family with no other children present	15
Eden	Intact family with no other children present	197
Eden	Intact family with other children present	3
Eden	Other couple family with other children only	3
Eden	Step family with no other children present	30
Eurobodalla Hinterland	Blended family with no other children present	14
Eurobodalla Hinterland	Intact family with no other children present	257
Eurobodalla Hinterland	Intact family with other children present	3
Eurobodalla Hinterland	Other couple family with other children only	3
Eurobodalla Hinterland	Step family with no other children present	33
Merimbula - Tura Beach	Blended family with no other children present	33
Merimbula - Tura Beach	Intact family with no other children present	690
Merimbula - Tura Beach	Intact family with other children present	10
Merimbula - Tura Beach	Other couple family with other children only	13
Merimbula - Tura Beach	Step family with no other children present	96
Moruya - Tuross Head	Blended family with no other children present	36
Moruya - Tuross Head	Intact family with no other children present	513
Moruya - Tuross Head	Intact family with other children present	3
Moruya - Tuross Head	Other couple family with other children only	6
Moruya - Tuross Head	Step family with no other children present	71
Narooma - Bermagui	Blended family with no other children present	33
Narooma - Bermagui	Intact family with no other children present	480
Narooma - Bermagui	Intact family with other children present	9
Narooma - Bermagui	Other couple family with other children only	9
Narooma - Bermagui	Step family with no other children present	51
Goulburn	Blended family with no other children present	144
Goulburn	Blended family with other children present	3
Goulburn	Intact family with no other children present	1859
Goulburn	Intact family with other children present	18
Goulburn	Other couple family with other children only	12
Goulburn	Step family with no other children present	190
Goulburn	Step family with other children present	5
Goulburn Region	Blended family with no other children present	57
Goulburn Region	Intact family with no other children present	1163
Goulburn Region	Intact family with other children present	21
Goulburn Region	Other couple family with other children only	12
Goulburn Region	Step family with no other children present	81
Goulburn Region	Step family with other children present	3
Yass	Blended family with no other children present	36
Yass	Intact family with no other children present	649
Yass	Intact family with other children present	7
Yass	Other couple family with other children only	6
Yass	Step family with no other children present	59
Yass Region	Blended family with no other children present	66
Yass Region	Intact family with no other children present	1342
Yass Region	Intact family with other children present	14
Yass Region	Other couple family with other children only	8
Yass Region	Step family with no other children present	99
Young	Blended family with no other children present	63
Young	Intact family with no other children present	869
Young	Intact family with other children present	11
Young	Other couple family with other children only	4
Young	Step family with no other children present	77
Young Region	Blended family with no other children present	32
Young Region	Intact family with no other children present	612
Young Region	Intact family with other children present	3
Young Region	Other couple family with other children only	10
Young Region	Step family with no other children present	45
Avoca Beach - Copacabana	Blended family with no other children present	21
Avoca Beach - Copacabana	Intact family with no other children present	917
Avoca Beach - Copacabana	Intact family with other children present	7
Avoca Beach - Copacabana	Other couple family with other children only	4
Avoca Beach - Copacabana	Step family with no other children present	62
Box Head - MacMasters Beach	Blended family with no other children present	52
Box Head - MacMasters Beach	Blended family with other children present	3
Box Head - MacMasters Beach	Intact family with no other children present	1158
Box Head - MacMasters Beach	Intact family with other children present	11
Box Head - MacMasters Beach	Other couple family with other children only	13
Box Head - MacMasters Beach	Step family with no other children present	81
Calga - Kulnura	Blended family with no other children present	17
Calga - Kulnura	Intact family with no other children present	473
Calga - Kulnura	Intact family with other children present	7
Calga - Kulnura	Other couple family with other children only	3
Calga - Kulnura	Step family with no other children present	39
Erina - Green Point	Blended family with no other children present	51
Erina - Green Point	Blended family with other children present	3
Erina - Green Point	Intact family with no other children present	1418
Erina - Green Point	Intact family with other children present	12
Erina - Green Point	Other couple family with other children only	16
Erina - Green Point	Step family with no other children present	118
Gosford - Springfield	Blended family with no other children present	81
Gosford - Springfield	Intact family with no other children present	1540
Gosford - Springfield	Intact family with other children present	20
Gosford - Springfield	Other couple family with other children only	6
Gosford - Springfield	Step family with no other children present	134
Gosford - Springfield	Step family with other children present	3
Kariong	Blended family with no other children present	43
Kariong	Intact family with no other children present	823
Kariong	Intact family with other children present	8
Kariong	Other couple family with other children only	5
Kariong	Step family with no other children present	54
Kariong	Step family with other children present	4
Kincumber - Picketts Valley	Blended family with no other children present	33
Kincumber - Picketts Valley	Intact family with no other children present	714
Kincumber - Picketts Valley	Intact family with other children present	7
Kincumber - Picketts Valley	Step family with no other children present	64
Narara	Blended family with no other children present	35
Narara	Intact family with no other children present	766
Narara	Intact family with other children present	9
Narara	Other couple family with other children only	4
Narara	Step family with no other children present	55
Niagara Park - Lisarow	Blended family with no other children present	49
Niagara Park - Lisarow	Intact family with no other children present	989
Niagara Park - Lisarow	Intact family with other children present	12
Niagara Park - Lisarow	Other couple family with other children only	10
Niagara Park - Lisarow	Step family with no other children present	83
Point Clare - Koolewong	Blended family with no other children present	18
Point Clare - Koolewong	Intact family with no other children present	676
Point Clare - Koolewong	Intact family with other children present	3
Point Clare - Koolewong	Other couple family with other children only	7
Point Clare - Koolewong	Step family with no other children present	39
Saratoga - Davistown	Blended family with no other children present	38
Saratoga - Davistown	Intact family with no other children present	773
Saratoga - Davistown	Intact family with other children present	10
Saratoga - Davistown	Other couple family with other children only	4
Saratoga - Davistown	Step family with no other children present	57
Terrigal - North Avoca	Blended family with no other children present	57
Terrigal - North Avoca	Intact family with no other children present	1467
Terrigal - North Avoca	Intact family with other children present	6
Terrigal - North Avoca	Other couple family with other children only	4
Terrigal - North Avoca	Step family with no other children present	120
Umina - Booker Bay - Patonga	Blended family with no other children present	123
Umina - Booker Bay - Patonga	Intact family with no other children present	1858
Umina - Booker Bay - Patonga	Intact family with other children present	17
Umina - Booker Bay - Patonga	Other couple family with other children only	21
Umina - Booker Bay - Patonga	Step family with no other children present	195
Umina - Booker Bay - Patonga	Step family with other children present	3
Wamberal - Forresters Beach	Blended family with no other children present	37
Wamberal - Forresters Beach	Intact family with no other children present	1179
Wamberal - Forresters Beach	Intact family with other children present	13
Wamberal - Forresters Beach	Other couple family with other children only	3
Wamberal - Forresters Beach	Step family with no other children present	93
Wamberal - Forresters Beach	Step family with other children present	5
Woy Woy - Blackwall	Blended family with no other children present	73
Woy Woy - Blackwall	Blended family with other children present	3
Woy Woy - Blackwall	Intact family with no other children present	1069
Woy Woy - Blackwall	Intact family with other children present	16
Woy Woy - Blackwall	Other couple family with other children only	15
Woy Woy - Blackwall	Step family with no other children present	114
