SA2_NAME16	medianMortgageRepayment
Braidwood	18984
Karabar	23136
Queanbeyan	20796
Queanbeyan - East	22104
Queanbeyan Region	28860
Queanbeyan West - Jerrabomberra	26004
Bombala	10920
Cooma	14232
Cooma Region	18720
Jindabyne - Berridale	18000
Batemans Bay	17424
Batemans Bay - South	18204
Bega - Tathra	16800
Bega-Eden Hinterland	15336
Broulee - Tomakin	18204
Deua - Wadbilliga	
Eden	16728
Eurobodalla Hinterland	15600
Merimbula - Tura Beach	18000
Moruya - Tuross Head	16236
Narooma - Bermagui	15600
Goulburn	18204
Goulburn Region	19200
Yass	21156
Yass Region	24288
Young	15600
Young Region	12480
Avoca Beach - Copacabana	26004
Box Head - MacMasters Beach	24000
Calga - Kulnura	22200
Erina - Green Point	24000
Gosford - Springfield	20796
Kariong	23400
Kincumber - Picketts Valley	22788
Narara	20796
Niagara Park - Lisarow	21600
Point Clare - Koolewong	21840
Saratoga - Davistown	24000
Terrigal - North Avoca	26004
Umina - Booker Bay - Patonga	21000
Wamberal - Forresters Beach	26004
Woy Woy - Blackwall	20796
Wyoming	20796
Bateau Bay - Killarney Vale	20796
Blue Haven - San Remo	19200
Budgewoi - Buff Point - Halekulani	18720
Chittaway Bay - Tumbi Umbi	21168
Gorokan - Kanwal - Charmhaven	18204
Jilliby - Yarramalong	26400
Lake Munmorah - Mannering Park	18252
Ourimbah - Fountaindale	21600
Summerland Point - Gwandalan	19200
The Entrance	21420
Toukley - Norah Head	20400
Tuggerah - Kangy Angy	21600
Warnervale - Wadalba	24444
Wyong	19236
Bathurst	18936
Bathurst - East	21420
Bathurst Region	20352
Oberon	16188
Condobolin	10800
Cowra	14304
Cowra Region	12996
Forbes	13776
Grenfell	10920
Parkes (NSW)	15600
Parkes Region	12000
West Wyalong	12000
Lithgow	15600
Lithgow Region	18204
Mudgee	21192
Mudgee Region - East	14304
Mudgee Region - West	18204
Wollangambe - Wollemi	
Blayney	18000
Orange	17664
Orange - North	20796
Orange Region	19764
Grafton	15600
Grafton Region	15600
Maclean - Yamba - Iluka	17160
Bellingen	16896
Coffs Harbour - North	19236
Coffs Harbour - South	18204
Coramba - Nana Glen - Bucca	18984
Dorrigo	12996
Korora - Emerald Beach	20796
Sawtell - Boambee	19200
Urunga	18204
Woolgoolga - Arrawarra	18720
Bourke - Brewarrina	10728
Cobar	15600
Coonamble	10404
Nyngan - Warren	12000
Walgett - Lightning Ridge	8844
Broken Hill	11436
Far West	7500
Coonabarabran	10872
Dubbo - East	18204
Dubbo - South	18204
Dubbo - West	17424
Dubbo Region	19656
Gilgandra	12996
Narromine	13200
Wellington	12996
Branxton - Greta - Pokolbin	21840
Cessnock	17736
Cessnock Region	20280
Dungog	19944
Kurri Kurri - Abermain	17160
Singleton	22104
Singleton Region	24000
Maitland	21600
Maitland - East	20796
Maitland - North	24000
Maitland - West	20796
Thornton - Millers Forest	21120
Anna Bay	22080
Lemon Tree Passage - Tanilba Bay	18204
Nelson Bay Peninsula	20796
Raymond Terrace	17556
Seaham - Woodville	23400
Tea Gardens - Hawks Nest	18204
Williamtown - Medowie - Karuah	20796
Muswellbrook	20016
Muswellbrook Region	23316
Scone	21600
Scone Region	18204
Dapto - Avondale	20796
Horsley - Kembla Grange	23400
Port Kembla Industrial	
Unanderra - Mount Kembla	22452
Berkeley - Lake Heights - Cringila	19500
Port Kembla - Warrawong	19500
Windang - Primbee	20796
Illawarra Catchment Reserve	
Albion Park - Macquarie Pass	23400
Albion Park Rail	20400
Kiama	23796
Kiama Downs - Minnamurra	24000
Kiama Hinterland - Gerringong	25560
Shellharbour - Flinders	26004
Shellharbour - Oak Flats	20796
Warilla	19764
Balgownie - Fairy Meadow	24012
Corrimal - Tarrawanna - Bellambi	23400
Figtree - Keiraville	24000
Helensburgh	27456
Thirroul - Austinmer - Coalcliff	28596
Woonona - Bulli - Russell Vale	26004
Wollongong - East	21600
Wollongong - West	22104
Bulahdelah - Stroud	16380
Forster	18204
Forster-Tuncurry Region	15600
Tuncurry	15600
Kempsey	14820
Kempsey Region	15600
Macksville - Scotts Head	15600
Nambucca Heads	15240
Nambucca Heads Region	15600
South West Rocks	18000
Lord Howe Island	22404
Laurieton - Bonny Hills	18228
Port Macquarie - East	20796
Port Macquarie - West	20796
Port Macquarie Region	18204
Wauchope	19200
Gloucester	15600
Old Bar - Manning Point - Red Head	19500
Taree	15564
Taree Region	15600
Wingham	14940
Albury - East	19500
Albury - North	15600
Albury - South	18204
Albury Region	15600
Lavington	15600
Hay	11748
Wentworth - Buronga	14400
Wentworth-Balranald Region	11436
Corowa	14940
Corowa Region	15600
Deniliquin	12996
Deniliquin Region	11964
Moama	18720
Tocumwal - Finley - Jerilderie	12996
Armidale	17424
Armidale Region - North	14268
Armidale Region - South	16896
Walcha	12876
Glen Innes	12996
Inverell	15444
Inverell Region - East	11436
Inverell Region - West	12408
Tenterfield	12948
Moree	15600
Moree Region	11700
Narrabri	18204
Narrabri Region	14556
Gunnedah	18204
Gunnedah Region	14556
Quirindi	13836
Tamworth - East	17532
Tamworth - North	18204
Tamworth - West	16536
Tamworth Region	18204
Belmont - Bennetts Green	22020
Belmont South - Blacksmiths	20796
Charlestown - Dudley	21600
Glendale - Cardiff - Hillsborough	20796
Mount Hutton - Windale	20796
Redhead	24444
Swansea - Caves Beach	22104
Valentine - Eleebana	24000
Warners Bay - Boolaroo	21600
Bolton Point - Teralba	18252
Bonnells Bay - Silverwater	20604
Edgeworth - Cameron Park	22560
Morisset - Cooranbong	20796
Toronto - Awaba	20412
Wangi Wangi - Rathmines	20796
West Wallsend - Barnsley - Killingworth	20280
Adamstown - Kotara	23400
Beresfield - Hexham	16440
Hamilton - Broadmeadow	24000
Lambton - New Lambton	22104
Maryland - Fletcher - Minmi	23400
Mayfield - Warabrook	20400
Merewether - The Junction	26004
Newcastle - Cooks Hill	24000
Newcastle Port - Kooragang	23664
Shortland - Jesmond	18204
Stockton - Fullerton Cove	24000
Wallsend - Elermore Vale	20388
Waratah - North Lambton	20796
Wickham - Carrington - Tighes Hill	20796
Ballina	18984
Ballina Region	20796
Bangalow	21600
Brunswick Heads - Ocean Shores	20796
Byron Bay	24000
Evans Head	16644
Lennox Head - Skennars Head	23400
Mullumbimby	19092
Casino	15600
Casino Region	14556
Goonellabah	18204
Kyogle	14172
Lismore	15600
Lismore Region	18204
Kingscliff - Fingal Head	25296
