SA2_NAME16	Age	Sex	persons
Braidwood	0-4	F	90
Braidwood	0-4	M	112
Braidwood	5-14	F	212
Braidwood	5-14	M	233
Braidwood	15-19	F	90
Braidwood	15-19	M	98
Braidwood	20-24	F	49
Braidwood	20-24	M	60
Braidwood	25-34	F	146
Braidwood	25-34	M	143
Braidwood	35-44	F	229
Braidwood	35-44	M	210
Braidwood	45-54	F	300
Braidwood	45-54	M	278
Braidwood	55-64	F	339
Braidwood	55-64	M	358
Braidwood	65-74	F	296
Braidwood	65-74	M	297
Braidwood	75-84	F	114
Braidwood	75-84	M	132
Braidwood	85+	F	48
Braidwood	85+	M	28
Karabar	0-4	F	237
Karabar	0-4	M	282
Karabar	5-14	F	545
Karabar	5-14	M	557
Karabar	15-19	F	280
Karabar	15-19	M	307
Karabar	20-24	F	270
Karabar	20-24	M	261
Karabar	25-34	F	550
Karabar	25-34	M	534
Karabar	35-44	F	553
Karabar	35-44	M	552
Karabar	45-54	F	625
Karabar	45-54	M	573
Karabar	55-64	F	538
Karabar	55-64	M	518
Karabar	65-74	F	347
Karabar	65-74	M	321
Karabar	75-84	F	170
Karabar	75-84	M	142
Karabar	85+	F	55
Karabar	85+	M	29
Queanbeyan	0-4	F	341
Queanbeyan	0-4	M	415
Queanbeyan	5-14	F	446
Queanbeyan	5-14	M	471
Queanbeyan	15-19	F	208
Queanbeyan	15-19	M	221
Queanbeyan	20-24	F	411
Queanbeyan	20-24	M	346
Queanbeyan	25-34	F	1142
Queanbeyan	25-34	M	1101
Queanbeyan	35-44	F	716
Queanbeyan	35-44	M	839
Queanbeyan	45-54	F	671
Queanbeyan	45-54	M	721
Queanbeyan	55-64	F	553
Queanbeyan	55-64	M	578
Queanbeyan	65-74	F	420
Queanbeyan	65-74	M	403
Queanbeyan	75-84	F	307
Queanbeyan	75-84	M	225
Queanbeyan	85+	F	199
Queanbeyan	85+	M	111
Queanbeyan - East	0-4	F	160
Queanbeyan - East	0-4	M	202
Queanbeyan - East	5-14	F	209
Queanbeyan - East	5-14	M	226
Queanbeyan - East	15-19	F	115
Queanbeyan - East	15-19	M	109
Queanbeyan - East	20-24	F	177
Queanbeyan - East	20-24	M	176
Queanbeyan - East	25-34	F	484
Queanbeyan - East	25-34	M	488
Queanbeyan - East	35-44	F	286
Queanbeyan - East	35-44	M	353
Queanbeyan - East	45-54	F	331
Queanbeyan - East	45-54	M	367
Queanbeyan - East	55-64	F	280
Queanbeyan - East	55-64	M	283
Queanbeyan - East	65-74	F	154
Queanbeyan - East	65-74	M	162
Queanbeyan - East	75-84	F	90
Queanbeyan - East	75-84	M	73
Queanbeyan - East	85+	F	42
Queanbeyan - East	85+	M	14
Queanbeyan Region	0-4	F	495
Queanbeyan Region	0-4	M	549
Queanbeyan Region	5-14	F	1232
Queanbeyan Region	5-14	M	1295
Queanbeyan Region	15-19	F	555
Queanbeyan Region	15-19	M	588
Queanbeyan Region	20-24	F	400
Queanbeyan Region	20-24	M	394
Queanbeyan Region	25-34	F	878
Queanbeyan Region	25-34	M	867
Queanbeyan Region	35-44	F	1259
Queanbeyan Region	35-44	M	1141
Queanbeyan Region	45-54	F	1468
Queanbeyan Region	45-54	M	1468
Queanbeyan Region	55-64	F	1162
Queanbeyan Region	55-64	M	1263
Queanbeyan Region	65-74	F	650
Queanbeyan Region	65-74	M	788
Queanbeyan Region	75-84	F	182
Queanbeyan Region	75-84	M	227
Queanbeyan Region	85+	F	44
Queanbeyan Region	85+	M	36
Queanbeyan West - Jerrabomberra	0-4	F	405
Queanbeyan West - Jerrabomberra	0-4	M	439
Queanbeyan West - Jerrabomberra	5-14	F	1019
Queanbeyan West - Jerrabomberra	5-14	M	1057
