SA2_NAME16	Age	persons
Braidwood	0-4	203
Braidwood	5-14	443
Braidwood	15-19	190
Braidwood	20-24	110
Braidwood	25-34	297
Braidwood	35-44	442
Braidwood	45-54	577
Braidwood	55-64	696
Braidwood	65-74	592
Braidwood	75-84	243
Braidwood	85+	77
Karabar	0-4	518
Karabar	5-14	1104
Karabar	15-19	582
Karabar	20-24	534
Karabar	25-34	1089
Karabar	35-44	1110
Karabar	45-54	1196
Karabar	55-64	1050
Karabar	65-74	664
Karabar	75-84	313
Karabar	85+	83
Queanbeyan	0-4	757
Queanbeyan	5-14	918
Queanbeyan	15-19	433
Queanbeyan	20-24	762
Queanbeyan	25-34	2239
Queanbeyan	35-44	1556
Queanbeyan	45-54	1386
Queanbeyan	55-64	1127
Queanbeyan	65-74	819
Queanbeyan	75-84	525
Queanbeyan	85+	314
Queanbeyan - East	0-4	362
Queanbeyan - East	5-14	440
Queanbeyan - East	15-19	226
Queanbeyan - East	20-24	359
Queanbeyan - East	25-34	973
Queanbeyan - East	35-44	637
Queanbeyan - East	45-54	702
Queanbeyan - East	55-64	569
Queanbeyan - East	65-74	312
Queanbeyan - East	75-84	160
Queanbeyan - East	85+	51
Queanbeyan Region	0-4	1047
Queanbeyan Region	5-14	2531
Queanbeyan Region	15-19	1143
Queanbeyan Region	20-24	795
Queanbeyan Region	25-34	1741
Queanbeyan Region	35-44	2397
Queanbeyan Region	45-54	2934
Queanbeyan Region	55-64	2427
Queanbeyan Region	65-74	1436
Queanbeyan Region	75-84	408
Queanbeyan Region	85+	86
Queanbeyan West - Jerrabomberra	0-4	846
Queanbeyan West - Jerrabomberra	5-14	2076
Queanbeyan West - Jerrabomberra	15-19	1018
Queanbeyan West - Jerrabomberra	20-24	727
Queanbeyan West - Jerrabomberra	25-34	1461
Queanbeyan West - Jerrabomberra	35-44	1906
Queanbeyan West - Jerrabomberra	45-54	2381
Queanbeyan West - Jerrabomberra	55-64	1308
Queanbeyan West - Jerrabomberra	65-74	597
Queanbeyan West - Jerrabomberra	75-84	257
Queanbeyan West - Jerrabomberra	85+	74
Bombala	0-4	139
Bombala	5-14	265
Bombala	15-19	120
Bombala	20-24	99
Bombala	25-34	220
Bombala	35-44	231
Bombala	45-54	337
Bombala	55-64	391
Bombala	65-74	340
Bombala	75-84	145
Bombala	85+	89
Cooma	0-4	327
Cooma	5-14	736
Cooma	15-19	402
