SA2_NAME16	PrivateDwelling	persons
Braidwood	0	482
Braidwood	1	3296
Karabar	0	410
Karabar	1	7770
Queanbeyan	0	1263
Queanbeyan	1	9590
Queanbeyan - East	0	434
Queanbeyan - East	1	4403
Queanbeyan Region	0	2306
Queanbeyan Region	1	15138
Queanbeyan West - Jerrabomberra	0	356
Queanbeyan West - Jerrabomberra	1	11994
Bombala	0	236
Bombala	1	2102
Cooma	0	697
Cooma	1	5909
Cooma Region	0	640
Cooma Region	1	2906
Jindabyne - Berridale	0	13200
Jindabyne - Berridale	1	6082
Batemans Bay	0	915
Batemans Bay	1	6801
Batemans Bay - South	0	884
Batemans Bay - South	1	7328
Bega - Tathra	0	865
Bega - Tathra	1	7449
Bega-Eden Hinterland	0	598
Bega-Eden Hinterland	1	7910
Broulee - Tomakin	0	429
Broulee - Tomakin	1	2827
Deua - Wadbilliga	0	3
Deua - Wadbilliga	1	18
Eden	0	427
Eden	1	2772
Eurobodalla Hinterland	0	320
Eurobodalla Hinterland	1	3018
Merimbula - Tura Beach	0	1498
Merimbula - Tura Beach	1	9299
Moruya - Tuross Head	0	527
Moruya - Tuross Head	1	7251
Narooma - Bermagui	0	1080
Narooma - Bermagui	1	7800
Goulburn	0	2878
Goulburn	1	20224
Goulburn Region	0	1099
Goulburn Region	1	11324
Yass	0	574
Yass	1	5884
Yass Region	0	690
Yass Region	1	10603
Young	0	851
Young	1	9597
Young Region	0	586
Young Region	1	6663
Avoca Beach - Copacabana	0	365
Avoca Beach - Copacabana	1	6794
Box Head - MacMasters Beach	0	408
Box Head - MacMasters Beach	1	10116
Calga - Kulnura	0	520
Calga - Kulnura	1	4185
Erina - Green Point	0	1005
Erina - Green Point	1	12661
Gosford - Springfield	0	1803
Gosford - Springfield	1	17187
Kariong	0	364
Kariong	1	5943
Kincumber - Picketts Valley	0	305
Kincumber - Picketts Valley	1	6868
Narara	0	201
Narara	1	6335
Niagara Park - Lisarow	0	330
Niagara Park - Lisarow	1	7546
Point Clare - Koolewong	0	175
Point Clare - Koolewong	1	5954
Saratoga - Davistown	0	214
Saratoga - Davistown	1	6529
Terrigal - North Avoca	0	736
Terrigal - North Avoca	1	12504
Umina - Booker Bay - Patonga	0	1397
Umina - Booker Bay - Patonga	1	21821
Wamberal - Forresters Beach	0	376
Wamberal - Forresters Beach	1	9093
Woy Woy - Blackwall	0	983
Woy Woy - Blackwall	1	12920
Wyoming	0	895
Wyoming	1	10338
Bateau Bay - Killarney Vale	0	1355
Bateau Bay - Killarney Vale	1	20249
Blue Haven - San Remo	0	331
Blue Haven - San Remo	1	10606
Budgewoi - Buff Point - Halekulani	0	418
Budgewoi - Buff Point - Halekulani	1	8779
Chittaway Bay - Tumbi Umbi	0	622
Chittaway Bay - Tumbi Umbi	1	14421
Gorokan - Kanwal - Charmhaven	0	1619
