SA2_NAME16	Age	Sex	Volunteer	adults
Braidwood	15-19	F		20
Braidwood	15-19	F	0	48
Braidwood	15-19	F	1	21
Braidwood	15-19	M		11
Braidwood	15-19	M	0	70
Braidwood	15-19	M	1	17
Braidwood	20-24	F		3
Braidwood	20-24	F	0	29
Braidwood	20-24	F	1	17
Braidwood	20-24	M		10
Braidwood	20-24	M	0	39
Braidwood	20-24	M	1	14
Braidwood	25-34	F		18
Braidwood	25-34	F	0	98
Braidwood	25-34	F	1	37
Braidwood	25-34	M		18
Braidwood	25-34	M	0	106
Braidwood	25-34	M	1	31
Braidwood	35-44	F		27
Braidwood	35-44	F	0	114
Braidwood	35-44	F	1	91
Braidwood	35-44	M		27
Braidwood	35-44	M	0	112
Braidwood	35-44	M	1	62
Braidwood	45-54	F		32
Braidwood	45-54	F	0	169
Braidwood	45-54	F	1	100
Braidwood	45-54	M		31
Braidwood	45-54	M	0	170
Braidwood	45-54	M	1	79
Braidwood	55-64	F		35
Braidwood	55-64	F	0	189
Braidwood	55-64	F	1	116
Braidwood	55-64	M		41
Braidwood	55-64	M	0	215
Braidwood	55-64	M	1	99
Braidwood	65-74	F		44
Braidwood	65-74	F	0	153
Braidwood	65-74	F	1	104
Braidwood	65-74	M		43
Braidwood	65-74	M	0	161
Braidwood	65-74	M	1	90
Braidwood	75-84	F		25
Braidwood	75-84	F	0	53
Braidwood	75-84	F	1	35
Braidwood	75-84	M		17
Braidwood	75-84	M	0	76
Braidwood	75-84	M	1	41
Braidwood	85+	F		13
Braidwood	85+	F	0	29
Braidwood	85+	F	1	5
Braidwood	85+	M		9
Braidwood	85+	M	0	19
Braidwood	85+	M	1	3
Karabar	15-19	F		25
Karabar	15-19	F	0	191
Karabar	15-19	F	1	59
Karabar	15-19	M		34
Karabar	15-19	M	0	245
Karabar	15-19	M	1	25
Karabar	20-24	F		19
Karabar	20-24	F	0	221
Karabar	20-24	F	1	29
Karabar	20-24	M		11
Karabar	20-24	M	0	228
Karabar	20-24	M	1	26
Karabar	25-34	F		34
Karabar	25-34	F	0	441
Karabar	25-34	F	1	85
Karabar	25-34	M		23
Karabar	25-34	M	0	457
Karabar	25-34	M	1	52
Karabar	35-44	F		38
Karabar	35-44	F	0	412
Karabar	35-44	F	1	109
Karabar	35-44	M		38
Karabar	35-44	M	0	417
Karabar	35-44	M	1	99
Karabar	45-54	F		37
Karabar	45-54	F	0	448
Karabar	45-54	F	1	135
Karabar	45-54	M		33
Karabar	45-54	M	0	431
Karabar	45-54	M	1	103
Karabar	55-64	F		26
Karabar	55-64	F	0	417
Karabar	55-64	F	1	90
Karabar	55-64	M		26
Karabar	55-64	M	0	406
Karabar	55-64	M	1	81
Karabar	65-74	F		26
Karabar	65-74	F	0	244
Karabar	65-74	F	1	71
Karabar	65-74	M		23
Karabar	65-74	M	0	238
Karabar	65-74	M	1	53
Karabar	75-84	F		26
Karabar	75-84	F	0	125
Karabar	75-84	F	1	21
Karabar	75-84	M		17
Karabar	75-84	M	0	107
Karabar	75-84	M	1	19
Karabar	85+	F		12
Karabar	85+	F	0	45
Karabar	85+	F	1	3
Karabar	85+	M		6
Karabar	85+	M	0	19
Karabar	85+	M	1	3
Queanbeyan	15-19	F		18
Queanbeyan	15-19	F	0	163
Queanbeyan	15-19	F	1	35
Queanbeyan	15-19	M		18
Queanbeyan	15-19	M	0	182
Queanbeyan	15-19	M	1	24
Queanbeyan	20-24	F		42
Queanbeyan	20-24	F	0	320
Queanbeyan	20-24	F	1	52
Queanbeyan	20-24	M		22
Queanbeyan	20-24	M	0	276
Queanbeyan	20-24	M	1	44
Queanbeyan	25-34	F		132
Queanbeyan	25-34	F	0	828
Queanbeyan	25-34	F	1	185
Queanbeyan	25-34	M		111
Queanbeyan	25-34	M	0	854
Queanbeyan	25-34	M	1	137
Queanbeyan	35-44	F		47
Queanbeyan	35-44	F	0	514
Queanbeyan	35-44	F	1	156
Queanbeyan	35-44	M		69
Queanbeyan	35-44	M	0	653
Queanbeyan	35-44	M	1	119
Queanbeyan	45-54	F		39
Queanbeyan	45-54	F	0	496
Queanbeyan	45-54	F	1	134
Queanbeyan	45-54	M		57
Queanbeyan	45-54	M	0	551
Queanbeyan	45-54	M	1	115
Queanbeyan	55-64	F		33
Queanbeyan	55-64	F	0	412
Queanbeyan	55-64	F	1	100
Queanbeyan	55-64	M		47
Queanbeyan	55-64	M	0	445
Queanbeyan	55-64	M	1	85
Queanbeyan	65-74	F		41
Queanbeyan	65-74	F	0	307
Queanbeyan	65-74	F	1	71
Queanbeyan	65-74	M		45
Queanbeyan	65-74	M	0	293
Queanbeyan	65-74	M	1	70
Queanbeyan	75-84	F		32
Queanbeyan	75-84	F	0	230
Queanbeyan	75-84	F	1	36
Queanbeyan	75-84	M		33
Queanbeyan	75-84	M	0	176
Queanbeyan	75-84	M	1	21
Queanbeyan	85+	F		18
Queanbeyan	85+	F	0	177
Queanbeyan	85+	F	1	4
Queanbeyan	85+	M		8
Queanbeyan	85+	M	0	93
Queanbeyan	85+	M	1	9
Queanbeyan - East	15-19	F		3
Queanbeyan - East	15-19	F	0	86
Queanbeyan - East	15-19	F	1	20
Queanbeyan - East	15-19	M	0	93
Queanbeyan - East	15-19	M	1	14
Queanbeyan - East	20-24	F		6
Queanbeyan - East	20-24	F	0	145
Queanbeyan - East	20-24	F	1	26
Queanbeyan - East	20-24	M		16
Queanbeyan - East	20-24	M	0	125
Queanbeyan - East	20-24	M	1	35
Queanbeyan - East	25-34	F		37
Queanbeyan - East	25-34	F	0	372
Queanbeyan - East	25-34	F	1	70
Queanbeyan - East	25-34	M		33
Queanbeyan - East	25-34	M	0	396
Queanbeyan - East	25-34	M	1	57
Queanbeyan - East	35-44	F		11
Queanbeyan - East	35-44	F	0	203
Queanbeyan - East	35-44	F	1	67
Queanbeyan - East	35-44	M		24
Queanbeyan - East	35-44	M	0	267
Queanbeyan - East	35-44	M	1	58
Queanbeyan - East	45-54	F		18
Queanbeyan - East	45-54	F	0	241
Queanbeyan - East	45-54	F	1	73
Queanbeyan - East	45-54	M		31
Queanbeyan - East	45-54	M	0	261
Queanbeyan - East	45-54	M	1	72
Queanbeyan - East	55-64	F		17
Queanbeyan - East	55-64	F	0	207
Queanbeyan - East	55-64	F	1	56
Queanbeyan - East	55-64	M		19
Queanbeyan - East	55-64	M	0	212
Queanbeyan - East	55-64	M	1	50
Queanbeyan - East	65-74	F		7
Queanbeyan - East	65-74	F	0	103
Queanbeyan - East	65-74	F	1	43
Queanbeyan - East	65-74	M		6
Queanbeyan - East	65-74	M	0	110
Queanbeyan - East	65-74	M	1	44
Queanbeyan - East	75-84	F		19
Queanbeyan - East	75-84	F	0	57
Queanbeyan - East	75-84	F	1	11
Queanbeyan - East	75-84	M		8
Queanbeyan - East	75-84	M	0	49
Queanbeyan - East	75-84	M	1	11
Queanbeyan - East	85+	F		5
Queanbeyan - East	85+	F	0	35
Queanbeyan - East	85+	F	1	3
Queanbeyan - East	85+	M	0	7
Queanbeyan - East	85+	M	1	3
Queanbeyan Region	15-19	F		71
Queanbeyan Region	15-19	F	0	335
Queanbeyan Region	15-19	F	1	152
Queanbeyan Region	15-19	M		84
Queanbeyan Region	15-19	M	0	383
Queanbeyan Region	15-19	M	1	118
Queanbeyan Region	20-24	F		48
Queanbeyan Region	20-24	F	0	282
Queanbeyan Region	20-24	F	1	74
Queanbeyan Region	20-24	M		58
Queanbeyan Region	20-24	M	0	276
Queanbeyan Region	20-24	M	1	57
Queanbeyan Region	25-34	F		85
Queanbeyan Region	25-34	F	0	642
Queanbeyan Region	25-34	F	1	149
Queanbeyan Region	25-34	M		89
Queanbeyan Region	25-34	M	0	674
Queanbeyan Region	25-34	M	1	103
Queanbeyan Region	35-44	F		111
Queanbeyan Region	35-44	F	0	757
Queanbeyan Region	35-44	F	1	387
Queanbeyan Region	35-44	M		113
Queanbeyan Region	35-44	M	0	760
Queanbeyan Region	35-44	M	1	271
Queanbeyan Region	45-54	F		117
Queanbeyan Region	45-54	F	0	891
Queanbeyan Region	45-54	F	1	464
Queanbeyan Region	45-54	M		163
Queanbeyan Region	45-54	M	0	919
Queanbeyan Region	45-54	M	1	384
Queanbeyan Region	55-64	F		129
Queanbeyan Region	55-64	F	0	707
Queanbeyan Region	55-64	F	1	327
Queanbeyan Region	55-64	M		135
Queanbeyan Region	55-64	M	0	807
Queanbeyan Region	55-64	M	1	323
Queanbeyan Region	65-74	F		75
Queanbeyan Region	65-74	F	0	391
Queanbeyan Region	65-74	F	1	190
Queanbeyan Region	65-74	M		100
Queanbeyan Region	65-74	M	0	492
Queanbeyan Region	65-74	M	1	192
Queanbeyan Region	75-84	F		24
Queanbeyan Region	75-84	F	0	118
Queanbeyan Region	75-84	F	1	36
Queanbeyan Region	75-84	M		27
Queanbeyan Region	75-84	M	0	159
Queanbeyan Region	75-84	M	1	46
Queanbeyan Region	85+	F		8
Queanbeyan Region	85+	F	0	35
Queanbeyan Region	85+	F	1	5
Queanbeyan Region	85+	M		4
Queanbeyan Region	85+	M	0	30
Queanbeyan West - Jerrabomberra	15-19	F		29
Queanbeyan West - Jerrabomberra	15-19	F	0	319
Queanbeyan West - Jerrabomberra	15-19	F	1	134
Queanbeyan West - Jerrabomberra	15-19	M		27
Queanbeyan West - Jerrabomberra	15-19	M	0	386
Queanbeyan West - Jerrabomberra	15-19	M	1	122
Queanbeyan West - Jerrabomberra	20-24	F		20
Queanbeyan West - Jerrabomberra	20-24	F	0	275
Queanbeyan West - Jerrabomberra	20-24	F	1	63
Queanbeyan West - Jerrabomberra	20-24	M		16
Queanbeyan West - Jerrabomberra	20-24	M	0	294
Queanbeyan West - Jerrabomberra	20-24	M	1	54
Queanbeyan West - Jerrabomberra	25-34	F		36
Queanbeyan West - Jerrabomberra	25-34	F	0	600
Queanbeyan West - Jerrabomberra	25-34	F	1	127
Queanbeyan West - Jerrabomberra	25-34	M		36
Queanbeyan West - Jerrabomberra	25-34	M	0	558
Queanbeyan West - Jerrabomberra	25-34	M	1	106
Queanbeyan West - Jerrabomberra	35-44	F		42
Queanbeyan West - Jerrabomberra	35-44	F	0	671
Queanbeyan West - Jerrabomberra	35-44	F	1	308
Queanbeyan West - Jerrabomberra	35-44	M		44
Queanbeyan West - Jerrabomberra	35-44	M	0	630
Queanbeyan West - Jerrabomberra	35-44	M	1	213
Queanbeyan West - Jerrabomberra	45-54	F		53
Queanbeyan West - Jerrabomberra	45-54	F	0	818
Queanbeyan West - Jerrabomberra	45-54	F	1	319
Queanbeyan West - Jerrabomberra	45-54	M		59
