STE_NAME16	OnlyEnglishSpokenHome	persons
New South Wales	0	1882015
New South Wales	1	5126633
Victoria	0	1538835
Victoria	1	4026811
Queensland	0	557690
Queensland	1	3820632
South Australia	0	274115
South Australia	1	1311533
Western Australia	0	435339
Western Australia	1	1861041
Tasmania	0	27294
Tasmania	1	450411
Northern Territory	0	67559
Northern Territory	1	132634
Australian Capital Territory	0	86669
Australian Capital Territory	1	288986
Other Territories	0	2129
Other Territories	1	1732
