STE_NAME16	Ancestry	responses
New South Wales		510541
New South Wales	Australian	2261062
New South Wales	Australian Aboriginal	30849
New South Wales	Chinese	514594
New South Wales	Croatian	45305
New South Wales	Dutch	78231
New South Wales	English	2302481
New South Wales	Filipino	117356
New South Wales	French	44335
New South Wales	German	236146
New South Wales	Greek	132829
New South Wales	Hungarian	24670
New South Wales	Indian	211927
New South Wales	Irish	741671
New South Wales	Italian	272124
New South Wales	Korean	66613
New South Wales	Lebanese	166591
New South Wales	Macedonian	39630
New South Wales	Maltese	69490
New South Wales	Maori	33159
New South Wales	NZ	54623
New South Wales	(Other)	908989
New South Wales	Polish	52554
New South Wales	Russian	31663
New South Wales	Scottish	587052
New South Wales	Serbian	28657
New South Wales	South African	33358
New South Wales	Spanish	48614
New South Wales	Sri Lankan	26239
New South Wales	Turkish	27502
New South Wales	Vietnamese	109588
New South Wales	Welsh	42611
Victoria		393525
Victoria	Australian	1653291
Victoria	Australian Aboriginal	7081
Victoria	Chinese	370644
Victoria	Croatian	43137
Victoria	Dutch	97690
Victoria	English	1769214
Victoria	Filipino	68314
Victoria	French	32790
Victoria	German	201850
Victoria	Greek	170451
Victoria	Hungarian	23092
Victoria	Indian	209257
Victoria	Irish	597249
Victoria	Italian	352711
Victoria	Korean	17848
Victoria	Lebanese	46334
Victoria	Macedonian	43582
Victoria	Maltese	73875
Victoria	Maori	20969
Victoria	NZ	39565
Victoria	(Other)	696359
Victoria	Polish	56548
Victoria	Russian	24701
Victoria	Scottish	492281
Victoria	Serbian	23542
Victoria	South African	21915
Victoria	Spanish	27012
Victoria	Sri Lankan	58592
Victoria	Turkish	37631
Victoria	Vietnamese	108142
Victoria	Welsh	29288
Queensland		354904
Queensland	Australian	1649284
Queensland	Australian Aboriginal	36971
Queensland	Chinese	136389
Queensland	Croatian	12146
Queensland	Dutch	70757
Queensland	English	1794999
Queensland	Filipino	52844
Queensland	French	29411
Queensland	German	296387
Queensland	Greek	29602
Queensland	Hungarian	12139
Queensland	Indian	74094
Queensland	Irish	564334
Queensland	Italian	131687
Queensland	Korean	21863
Queensland	Lebanese	7690
Queensland	Macedonian	2547
Queensland	Maltese	18117
Queensland	Maori	53649
Queensland	NZ	67829
Queensland	(Other)	419029
Queensland	Polish	26858
Queensland	Russian	14223
Queensland	Scottish	486648
Queensland	Serbian	7209
Queensland	South African	26699
Queensland	Spanish	22728
Queensland	Sri Lankan	10407
Queensland	Turkish	3442
Queensland	Vietnamese	28325
Queensland	Welsh	31425
South Australia		97771
South Australia	Australian	560374
South Australia	Australian Aboriginal	8169
South Australia	Chinese	52268
South Australia	Croatian	8175
South Australia	Dutch	26489
South Australia	English	639350
South Australia	Filipino	15890
South Australia	French	7572
South Australia	German	129923
South Australia	Greek	38186
South Australia	Hungarian	5617
South Australia	Indian	33069
South Australia	Irish	134437
South Australia	Italian	96010
South Australia	Korean	4392
South Australia	Lebanese	5228
South Australia	Macedonian	1593
South Australia	Maltese	6815
South Australia	Maori	3162
South Australia	NZ	6808
South Australia	(Other)	138458
South Australia	Polish	18710
South Australia	Russian	6172
South Australia	Scottish	140424
South Australia	Serbian	5856
South Australia	South African	4709
South Australia	Spanish	5410
South Australia	Sri Lankan	3822
South Australia	Turkish	1212
South Australia	Vietnamese	20291
South Australia	Welsh	12102
Western Australia		188302
Western Australia	Australian	760032
Western Australia	Australian Aboriginal	20718
Western Australia	Chinese	103677
Western Australia	Croatian	18573
Western Australia	Dutch	47039
Western Australia	English	931150
Western Australia	Filipino	35456
Western Australia	French	15599
Western Australia	German	73062
Western Australia	Greek	15107
Western Australia	Hungarian	4989
Western Australia	Indian	68796
Western Australia	Irish	224372
Western Australia	Italian	122943
Western Australia	Korean	8330
Western Australia	Lebanese	3142
Western Australia	Macedonian	9853
Western Australia	Maltese	4554
Western Australia	Maori	27451
Western Australia	NZ	31800
Western Australia	(Other)	266823
Western Australia	Polish	20731
Western Australia	Russian	6000
Western Australia	Scottish	214154
Western Australia	Serbian	6487
Western Australia	South African	28984
Western Australia	Spanish	11389
Western Australia	Sri Lankan	8064
Western Australia	Turkish	2427
Western Australia	Vietnamese	21687
Western Australia	Welsh	22091
Tasmania		34080
Tasmania	Australian	220382
Tasmania	Australian Aboriginal	1669
Tasmania	Chinese	7137
Tasmania	Croatian	973
Tasmania	Dutch	10283
Tasmania	English	227074
Tasmania	Filipino	2173
Tasmania	French	1935
Tasmania	German	18391
Tasmania	Greek	2394
Tasmania	Hungarian	989
Tasmania	Indian	2906
Tasmania	Irish	55702
Tasmania	Italian	7358
Tasmania	Korean	708
Tasmania	Lebanese	329
Tasmania	Macedonian	80
Tasmania	Maltese	656
Tasmania	Maori	1048
Tasmania	NZ	2515
Tasmania	(Other)	24008
Tasmania	Polish	3485
Tasmania	Russian	840
Tasmania	Scottish	47546
Tasmania	Serbian	300
Tasmania	South African	1088
Tasmania	Spanish	1093
Tasmania	Sri Lankan	410
Tasmania	Turkish	159
Tasmania	Vietnamese	499
Tasmania	Welsh	3009
Northern Territory		29400
Northern Territory	Australian	65433
Northern Territory	Australian Aboriginal	37562
Northern Territory	Chinese	6228
Northern Territory	Croatian	333
Northern Territory	Dutch	2518
Northern Territory	English	54967
Northern Territory	Filipino	6951
Northern Territory	French	1142
Northern Territory	German	8737
Northern Territory	Greek	4082
Northern Territory	Hungarian	367
Northern Territory	Indian	4533
Northern Territory	Irish	18469
Northern Territory	Italian	4148
Northern Territory	Korean	479
Northern Territory	Lebanese	163
Northern Territory	Macedonian	66
Northern Territory	Maltese	392
Northern Territory	Maori	1641
Northern Territory	NZ	1832
Northern Territory	(Other)	20893
Northern Territory	Polish	882
Northern Territory	Russian	378
Northern Territory	Scottish	14971
Northern Territory	Serbian	130
Northern Territory	South African	664
Northern Territory	Spanish	924
Northern Territory	Sri Lankan	756
Northern Territory	Turkish	105
Northern Territory	Vietnamese	1324
Northern Territory	Welsh	992
Australian Capital Territory		23400
Australian Capital Territory	Australian	127285
Australian Capital Territory	Australian Aboriginal	1066
Australian Capital Territory	Chinese	22472
Australian Capital Territory	Croatian	4617
Australian Capital Territory	Dutch	6495
Australian Capital Territory	English	132031
Australian Capital Territory	Filipino	4969
Australian Capital Territory	French	2581
Australian Capital Territory	German	17633
Australian Capital Territory	Greek	4781
Australian Capital Territory	Hungarian	1745
Australian Capital Territory	Indian	14559
Australian Capital Territory	Irish	51611
Australian Capital Territory	Italian	12984
Australian Capital Territory	Korean	2784
Australian Capital Territory	Lebanese	1397
Australian Capital Territory	Macedonian	1086
Australian Capital Territory	Maltese	1642
Australian Capital Territory	Maori	980
Australian Capital Territory	NZ	2652
Australian Capital Territory	(Other)	49805
Australian Capital Territory	Polish	4190
Australian Capital Territory	Russian	1665
Australian Capital Territory	Scottish	40160
Australian Capital Territory	Serbian	1711
Australian Capital Territory	South African	1525
Australian Capital Territory	Spanish	2782
Australian Capital Territory	Sri Lankan	2626
Australian Capital Territory	Turkish	495
Australian Capital Territory	Vietnamese	4933
Australian Capital Territory	Welsh	3063
Other Territories		772
Other Territories	Australian	1095
Other Territories	Australian Aboriginal	94
Other Territories	Chinese	492
Other Territories	Croatian	5
Other Territories	Dutch	45
Other Territories	English	955
Other Territories	Filipino	74
Other Territories	French	19
Other Territories	German	101
Other Territories	Greek	3
Other Territories	Hungarian	5
Other Territories	Indian	22
Other Territories	Irish	213
Other Territories	Italian	48
Other Territories	Korean	3
Other Territories	Lebanese	6
Other Territories	Maltese	22
Other Territories	Maori	48
Other Territories	NZ	107
Other Territories	(Other)	1346
Other Territories	Polish	10
Other Territories	Russian	4
Other Territories	Scottish	224
Other Territories	South African	18
Other Territories	Spanish	5
Other Territories	Vietnamese	10
Other Territories	Welsh	8
