STE_NAME16	Age	MaxSchoolingCompleted	Sex	adults
New South Wales	15-19		F	11374
New South Wales	15-19		M	12539
New South Wales	15-19	Did not go to school	F	151
New South Wales	15-19	Did not go to school	M	229
New South Wales	15-19	Year 8 or below	F	711
New South Wales	15-19	Year 8 or below	M	1083
New South Wales	15-19	Year 9	F	2854
New South Wales	15-19	Year 9	M	4422
New South Wales	15-19	Year 10	F	12108
New South Wales	15-19	Year 10	M	18620
New South Wales	15-19	Year 11	F	8868
New South Wales	15-19	Year 11	M	11882
New South Wales	15-19	Year 12	F	61062
New South Wales	15-19	Year 12	M	56335
New South Wales	20-24		F	16325
New South Wales	20-24		M	19065
New South Wales	20-24	Did not go to school	F	603
New South Wales	20-24	Did not go to school	M	930
New South Wales	20-24	Year 8 or below	F	1237
New South Wales	20-24	Year 8 or below	M	2011
New South Wales	20-24	Year 9	F	3805
New South Wales	20-24	Year 9	M	4926
New South Wales	20-24	Year 10	F	21781
New South Wales	20-24	Year 10	M	32701
New South Wales	20-24	Year 11	F	11375
New South Wales	20-24	Year 11	M	15652
New South Wales	20-24	Year 12	F	185291
New South Wales	20-24	Year 12	M	172282
New South Wales	25-34		F	38256
New South Wales	25-34		M	44222
New South Wales	25-34	Did not go to school	F	2397
New South Wales	25-34	Did not go to school	M	3088
New South Wales	25-34	Year 8 or below	F	3893
New South Wales	25-34	Year 8 or below	M	5982
New South Wales	25-34	Year 9	F	9400
New South Wales	25-34	Year 9	M	11980
New South Wales	25-34	Year 10	F	53294
New South Wales	25-34	Year 10	M	75529
New South Wales	25-34	Year 11	F	22850
New South Wales	25-34	Year 11	M	27814
New South Wales	25-34	Year 12	F	410131
New South Wales	25-34	Year 12	M	357222
New South Wales	35-44		F	31990
New South Wales	35-44		M	37288
New South Wales	35-44	Did not go to school	F	2956
New South Wales	35-44	Did not go to school	M	2916
New South Wales	35-44	Year 8 or below	F	6151
New South Wales	35-44	Year 8 or below	M	7529
New South Wales	35-44	Year 9	F	11411
New South Wales	35-44	Year 9	M	13926
New South Wales	35-44	Year 10	F	68298
New South Wales	35-44	Year 10	M	87137
New South Wales	35-44	Year 11	F	23692
New South Wales	35-44	Year 11	M	26561
New South Wales	35-44	Year 12	F	363392
New South Wales	35-44	Year 12	M	318406
New South Wales	45-54		F	32700
New South Wales	45-54		M	36720
New South Wales	45-54	Did not go to school	F	4856
New South Wales	45-54	Did not go to school	M	4102
New South Wales	45-54	Year 8 or below	F	11782
New South Wales	45-54	Year 8 or below	M	13066
New South Wales	45-54	Year 9	F	20647
New South Wales	45-54	Year 9	M	23038
New South Wales	45-54	Year 10	F	141718
New South Wales	45-54	Year 10	M	145621
New South Wales	45-54	Year 11	F	26312
New South Wales	45-54	Year 11	M	25218
New South Wales	45-54	Year 12	F	260851
New South Wales	45-54	Year 12	M	230198
New South Wales	55-64		F	33783
New South Wales	55-64		M	35145
New South Wales	55-64	Did not go to school	F	6715
New South Wales	55-64	Did not go to school	M	4880
New South Wales	55-64	Year 8 or below	F	25697
New South Wales	55-64	Year 8 or below	M	24170
New South Wales	55-64	Year 9	F	33279
New South Wales	55-64	Year 9	M	28415
New South Wales	55-64	Year 10	F	146282
New South Wales	55-64	Year 10	M	125894
New South Wales	55-64	Year 11	F	19694
New South Wales	55-64	Year 11	M	19504
New South Wales	55-64	Year 12	F	190594
New South Wales	55-64	Year 12	M	194626
New South Wales	65-74		F	35061
New South Wales	65-74		M	33121
New South Wales	65-74	Did not go to school	F	6346
New South Wales	65-74	Did not go to school	M	4611
New South Wales	65-74	Year 8 or below	F	33509
New South Wales	65-74	Year 8 or below	M	33654
New South Wales	65-74	Year 9	F	42976
New South Wales	65-74	Year 9	M	40727
New South Wales	65-74	Year 10	F	108974
New South Wales	65-74	Year 10	M	82636
New South Wales	65-74	Year 11	F	14176
New South Wales	65-74	Year 11	M	12971
New South Wales	65-74	Year 12	F	105033
New South Wales	65-74	Year 12	M	122444
New South Wales	75-84		F	31503
New South Wales	75-84		M	24462
New South Wales	75-84	Did not go to school	F	7031
New South Wales	75-84	Did not go to school	M	4192
New South Wales	75-84	Year 8 or below	F	32053
New South Wales	75-84	Year 8 or below	M	27327
New South Wales	75-84	Year 9	F	26931
New South Wales	75-84	Year 9	M	20985
New South Wales	75-84	Year 10	F	53902
New South Wales	75-84	Year 10	M	39304
New South Wales	75-84	Year 11	F	7503
New South Wales	75-84	Year 11	M	6202
New South Wales	75-84	Year 12	F	42988
New South Wales	75-84	Year 12	M	48274
New South Wales	85+		F	25522
New South Wales	85+		M	12792
New South Wales	85+	Did not go to school	F	3698
New South Wales	85+	Did not go to school	M	1699
New South Wales	85+	Year 8 or below	F	22076
New South Wales	85+	Year 8 or below	M	12497
New South Wales	85+	Year 9	F	14734
New South Wales	85+	Year 9	M	7280
New South Wales	85+	Year 10	F	20614
New South Wales	85+	Year 10	M	10539
New South Wales	85+	Year 11	F	2653
New South Wales	85+	Year 11	M	1902
New South Wales	85+	Year 12	F	16350
New South Wales	85+	Year 12	M	14981
Victoria	15-19		F	9204
Victoria	15-19		M	9492
Victoria	15-19	Did not go to school	F	190
Victoria	15-19	Did not go to school	M	278
Victoria	15-19	Year 8 or below	F	941
Victoria	15-19	Year 8 or below	M	1446
Victoria	15-19	Year 9	F	2269
Victoria	15-19	Year 9	M	3375
Victoria	15-19	Year 10	F	5950
Victoria	15-19	Year 10	M	9403
Victoria	15-19	Year 11	F	6296
Victoria	15-19	Year 11	M	9575
Victoria	15-19	Year 12	F	48876
Victoria	15-19	Year 12	M	44638
Victoria	20-24		F	13222
Victoria	20-24		M	14564
Victoria	20-24	Did not go to school	F	691
Victoria	20-24	Did not go to school	M	1078
Victoria	20-24	Year 8 or below	F	1422
Victoria	20-24	Year 8 or below	M	2164
Victoria	20-24	Year 9	F	2768
Victoria	20-24	Year 9	M	4442
Victoria	20-24	Year 10	F	10093
Victoria	20-24	Year 10	M	16677
Victoria	20-24	Year 11	F	11035
Victoria	20-24	Year 11	M	17259
Victoria	20-24	Year 12	F	164166
Victoria	20-24	Year 12	M	152688
Victoria	25-34		F	31103
Victoria	25-34		M	33848
Victoria	25-34	Did not go to school	F	2647
Victoria	25-34	Did not go to school	M	3018
Victoria	25-34	Year 8 or below	F	4506
Victoria	25-34	Year 8 or below	M	6100
Victoria	25-34	Year 9	F	6131
Victoria	25-34	Year 9	M	10750
Victoria	25-34	Year 10	F	24056
Victoria	25-34	Year 10	M	38322
Victoria	25-34	Year 11	F	22364
Victoria	25-34	Year 11	M	32504
Victoria	25-34	Year 12	F	360695
Victoria	25-34	Year 12	M	312103
Victoria	35-44		F	25280
Victoria	35-44		M	28183
Victoria	35-44	Did not go to school	F	3194
Victoria	35-44	Did not go to school	M	3121
Victoria	35-44	Year 8 or below	F	6036
Victoria	35-44	Year 8 or below	M	6854
Victoria	35-44	Year 9	F	8227
Victoria	35-44	Year 9	M	12382
Victoria	35-44	Year 10	F	28331
Victoria	35-44	Year 10	M	43444
Victoria	35-44	Year 11	F	29532
Victoria	35-44	Year 11	M	38960
Victoria	35-44	Year 12	F	308836
Victoria	35-44	Year 12	M	262643
Victoria	45-54		F	25881
Victoria	45-54		M	27758
Victoria	45-54	Did not go to school	F	4367
Victoria	45-54	Did not go to school	M	3712
Victoria	45-54	Year 8 or below	F	9389
Victoria	45-54	Year 8 or below	M	9788
Victoria	45-54	Year 9	F	16100
Victoria	45-54	Year 9	M	19970
Victoria	45-54	Year 10	F	53963
Victoria	45-54	Year 10	M	65789
Victoria	45-54	Year 11	F	69896
Victoria	45-54	Year 11	M	70062
Victoria	45-54	Year 12	F	220946
Victoria	45-54	Year 12	M	181946
Victoria	55-64		F	26152
Victoria	55-64		M	26062
Victoria	55-64	Did not go to school	F	5205
Victoria	55-64	Did not go to school	M	3723
Victoria	55-64	Year 8 or below	F	18557
Victoria	55-64	Year 8 or below	M	15775
Victoria	55-64	Year 9	F	24715
Victoria	55-64	Year 9	M	24019
Victoria	55-64	Year 10	F	61875
Victoria	55-64	Year 10	M	61120
Victoria	55-64	Year 11	F	58309
Victoria	55-64	Year 11	M	52223
Victoria	55-64	Year 12	F	154682
Victoria	55-64	Year 12	M	144384
Victoria	65-74		F	27023
Victoria	65-74		M	24440
Victoria	65-74	Did not go to school	F	5236
Victoria	65-74	Did not go to school	M	3689
Victoria	65-74	Year 8 or below	F	37460
Victoria	65-74	Year 8 or below	M	30001
Victoria	65-74	Year 9	F	26489
Victoria	65-74	Year 9	M	25263
Victoria	65-74	Year 10	F	55034
Victoria	65-74	Year 10	M	45344
Victoria	65-74	Year 11	F	32846
Victoria	65-74	Year 11	M	25790
Victoria	65-74	Year 12	F	80387
Victoria	65-74	Year 12	M	90092
Victoria	75-84		F	24027
Victoria	75-84		M	18508
Victoria	75-84	Did not go to school	F	6478
Victoria	75-84	Did not go to school	M	3585
Victoria	75-84	Year 8 or below	F	37073
Victoria	75-84	Year 8 or below	M	29143
Victoria	75-84	Year 9	F	15878
Victoria	75-84	Year 9	M	13633
Victoria	75-84	Year 10	F	26004
Victoria	75-84	Year 10	M	20149
Victoria	75-84	Year 11	F	13456
Victoria	75-84	Year 11	M	9378
Victoria	75-84	Year 12	F	32464
Victoria	75-84	Year 12	M	34928
Victoria	85+		F	17623
Victoria	85+		M	9180
Victoria	85+	Did not go to school	F	2891
Victoria	85+	Did not go to school	M	1388
Victoria	85+	Year 8 or below	F	23771
Victoria	85+	Year 8 or below	M	13051
Victoria	85+	Year 9	F	7684
Victoria	85+	Year 9	M	4256
Victoria	85+	Year 10	F	10638
Victoria	85+	Year 10	M	5550
Victoria	85+	Year 11	F	4591
Victoria	85+	Year 11	M	2690
Victoria	85+	Year 12	F	13129
Victoria	85+	Year 12	M	11409
Queensland	15-19		F	8441
Queensland	15-19		M	9203
Queensland	15-19	Did not go to school	F	118
Queensland	15-19	Did not go to school	M	133
Queensland	15-19	Year 8 or below	F	425
Queensland	15-19	Year 8 or below	M	716
Queensland	15-19	Year 9	F	1610
Queensland	15-19	Year 9	M	2352
Queensland	15-19	Year 10	F	6812
Queensland	15-19	Year 10	M	9092
Queensland	15-19	Year 11	F	4981
Queensland	15-19	Year 11	M	6456
Queensland	15-19	Year 12	F	52525
Queensland	15-19	Year 12	M	49524
