STE_NAME16	HomeCensusNight	Sex	persons
New South Wales	0	F	155020
New South Wales	0	M	173295
New South Wales	1	F	3639194
New South Wales	1	M	3512713
Victoria	0	F	130260
Victoria	0	M	137796
Victoria	1	F	2888287
Victoria	1	M	2770280
Queensland	0	F	111182
Queensland	0	M	140196
Queensland	1	F	2270118
Queensland	1	M	2181686
South Australia	0	F	40235
South Australia	0	M	47090
South Australia	1	F	810418
South Australia	1	M	778908
Western Australia	0	F	56009
Western Australia	0	M	81722
Western Australia	1	F	1179985
Western Australia	1	M	1156696
Tasmania	0	F	15761
Tasmania	0	M	17052
Tasmania	1	F	244728
Tasmania	1	M	232430
Northern Territory	0	F	7254
Northern Territory	0	M	8575
Northern Territory	1	F	103008
Northern Territory	1	M	109993
Australian Capital Territory	0	F	9921
Australian Capital Territory	0	M	10308
Australian Capital Territory	1	F	191735
Australian Capital Territory	1	M	185433
Other Territories	0	F	160
Other Territories	0	M	169
Other Territories	1	F	1957
Other Territories	1	M	2295
