STE_NAME16	OnlyEnglishSpokenHome	Sex	persons
New South Wales	0	F	973694
New South Wales	0	M	908327
New South Wales	1	F	2590527
New South Wales	1	M	2536108
Victoria	0	F	794087
Victoria	0	M	744745
Victoria	1	F	2045460
Victoria	1	M	1981356
Queensland	0	F	294389
Queensland	0	M	263298
Queensland	1	F	1931413
Queensland	1	M	1889220
South Australia	0	F	141774
South Australia	0	M	132339
South Australia	1	F	664893
South Australia	1	M	646641
Western Australia	0	F	224239
Western Australia	0	M	211101
Western Australia	1	F	930034
Western Australia	1	M	931004
Tasmania	0	F	14397
Tasmania	0	M	12895
Tasmania	1	F	230075
Tasmania	1	M	220342
Northern Territory	0	F	34491
Northern Territory	0	M	33063
Northern Territory	1	F	63434
Northern Territory	1	M	69200
Australian Capital Territory	0	F	45182
Australian Capital Territory	0	M	41487
Australian Capital Territory	1	F	145943
Australian Capital Territory	1	M	143048
Other Territories	0	F	1068
Other Territories	0	M	1062
Other Territories	1	F	833
Other Territories	1	M	896
