STE_NAME16	medianMortgageRepayment
New South Wales	23832
Victoria	20736
Queensland	20796
South Australia	17892
Western Australia	23916
Tasmania	15600
Northern Territory	26004
Australian Capital Territory	24696
Other Territories	16800
