STE_NAME16	BornAust	persons
New South Wales	0	2072454
New South Wales	1	4899202
Victoria	0	1680256
Victoria	1	3845510
Queensland	0	1015875
Queensland	1	3343819
South Australia	0	384097
South Australia	1	1192551
Western Australia	0	797695
Western Australia	1	1492859
Tasmania	0	61240
Tasmania	1	411492
Northern Territory	0	45403
Northern Territory	1	157533
Australian Capital Territory	0	105161
Australian Capital Territory	1	270037
Other Territories	0	1480
Other Territories	1	2535
