STE_NAME16	Sex	persons
New South Wales	F	3794217
New South Wales	M	3686014
Victoria	F	3018549
Victoria	M	2908077
Queensland	F	2381308
Queensland	M	2321889
South Australia	F	850652
South Australia	M	825997
Western Australia	F	1235994
Western Australia	M	1238419
Tasmania	F	260482
Tasmania	M	249478
Northern Territory	F	110266
Northern Territory	M	118570
Australian Capital Territory	F	201653
Australian Capital Territory	M	195739
Other Territories	F	2120
Other Territories	M	2462
