STE_NAME16	Age	Sex	Volunteer	adults
New South Wales	15-19	F		17642
New South Wales	15-19	F	0	152927
New South Wales	15-19	F	1	47752
New South Wales	15-19	M		20003
New South Wales	15-19	M	0	169812
New South Wales	15-19	M	1	40295
New South Wales	20-24	F		17379
New South Wales	20-24	F	0	179569
New South Wales	20-24	F	1	44238
New South Wales	20-24	M		20452
New South Wales	20-24	M	0	193048
New South Wales	20-24	M	1	34989
New South Wales	25-34	F		39129
New South Wales	25-34	F	0	418104
New South Wales	25-34	F	1	83725
New South Wales	25-34	M		46172
New South Wales	25-34	M	0	415666
New South Wales	25-34	M	1	64728
New South Wales	35-44	F		31706
New South Wales	35-44	F	0	357358
New South Wales	35-44	F	1	119564
New South Wales	35-44	M		38070
New South Wales	35-44	M	0	372013
New South Wales	35-44	M	1	84177
New South Wales	45-54	F		31124
New South Wales	45-54	F	0	353824
New South Wales	45-54	F	1	114580
New South Wales	45-54	M		35742
New South Wales	45-54	M	0	351191
New South Wales	45-54	M	1	91520
New South Wales	55-64	F		30223
New South Wales	55-64	F	0	335598
New South Wales	55-64	F	1	90884
New South Wales	55-64	M		32239
New South Wales	55-64	M	0	324610
New South Wales	55-64	M	1	76210
New South Wales	65-74	F		29440
New South Wales	65-74	F	0	239854
New South Wales	65-74	F	1	77254
New South Wales	65-74	M		28753
New South Wales	65-74	M	0	238678
New South Wales	65-74	M	1	63034
New South Wales	75-84	F		26083
New South Wales	75-84	F	0	143032
New South Wales	75-84	F	1	33085
New South Wales	75-84	M		20446
New South Wales	75-84	M	0	124254
New South Wales	75-84	M	1	26209
New South Wales	85+	F		19216
New South Wales	85+	F	0	79771
New South Wales	85+	F	1	6767
New South Wales	85+	M		10117
New South Wales	85+	M	0	46863
New South Wales	85+	M	1	4769
Victoria	15-19	F		14036
Victoria	15-19	F	0	121944
Victoria	15-19	F	1	38505
Victoria	15-19	M		15343
Victoria	15-19	M	0	134527
Victoria	15-19	M	1	31976
Victoria	20-24	F		13826
Victoria	20-24	F	0	147600
Victoria	20-24	F	1	42639
Victoria	20-24	M		15460
Victoria	20-24	M	0	161393
Victoria	20-24	M	1	32882
Victoria	25-34	F		31333
Victoria	25-34	F	0	345206
Victoria	25-34	F	1	75488
Victoria	25-34	M		34848
Victoria	25-34	M	0	344213
Victoria	25-34	M	1	58102
Victoria	35-44	F		24655
Victoria	35-44	F	0	283714
Victoria	35-44	F	1	101564
Victoria	35-44	M		28407
Victoria	35-44	M	0	295462
Victoria	35-44	M	1	72113
Victoria	45-54	F		24267
Victoria	45-54	F	0	280491
Victoria	45-54	F	1	96278
Victoria	45-54	M		26584
Victoria	45-54	M	0	273219
Victoria	45-54	M	1	79571
Victoria	55-64	F		23202
Victoria	55-64	F	0	254825
Victoria	55-64	F	1	71857
Victoria	55-64	M		23513
Victoria	55-64	M	0	241671
Victoria	55-64	M	1	62380
Victoria	65-74	F		23027
Victoria	65-74	F	0	180804
Victoria	65-74	F	1	60939
Victoria	65-74	M		21532
Victoria	65-74	M	0	173025
Victoria	65-74	M	1	50266
Victoria	75-84	F		20293
Victoria	75-84	F	0	109292
Victoria	75-84	F	1	25962
Victoria	75-84	M		15921
Victoria	75-84	M	0	91807
Victoria	75-84	M	1	21722
Victoria	85+	F		13618
Victoria	85+	F	0	61504
Victoria	85+	F	1	5303
Victoria	85+	M		7479
Victoria	85+	M	0	36089
Victoria	85+	M	1	4001
Queensland	15-19	F		12164
Queensland	15-19	F	0	101373
Queensland	15-19	F	1	31549
Queensland	15-19	M		13566
Queensland	15-19	M	0	111056
Queensland	15-19	M	1	26574
Queensland	20-24	F		12148
