STE_NAME16	MotorVehicles.min	occupied_private_dwellings
New South Wales		95623
New South Wales	0	239625
New South Wales	1	946159
New South Wales	2	887849
New South Wales	3	283044
New South Wales	4	152005
Victoria		73257
Victoria	0	166061
Victoria	1	722675
Victoria	2	776286
Victoria	3	243135
Victoria	4	131289
Queensland		56263
Queensland	0	99133
Queensland	1	566233
Queensland	2	620096
Queensland	3	207335
Queensland	4	107773
South Australia		20017
South Australia	0	47848
South Australia	1	228940
South Australia	2	229930
South Australia	3	74249
South Australia	4	37802
Western Australia		25934
Western Australia	0	42620
Western Australia	1	274198
Western Australia	2	337355
Western Australia	3	118969
Western Australia	4	67709
Tasmania		7139
Tasmania	0	13694
Tasmania	1	69261
Tasmania	2	69092
Tasmania	3	24916
Tasmania	4	13474
Northern Territory		3389
Northern Territory	0	6948
Northern Territory	1	20562
Northern Territory	2	22357
Northern Territory	3	7713
Northern Territory	4	4097
Australian Capital Territory		3513
Australian Capital Territory	0	7832
Australian Capital Territory	1	53025
Australian Capital Territory	2	55714
Australian Capital Territory	3	15552
Australian Capital Territory	4	7030
Other Territories		69
Other Territories	0	63
Other Territories	1	435
Other Territories	2	516
Other Territories	3	178
Other Territories	4	105
