STE_NAME16	medianTotalFamilyIncome
New South Wales	92560
Victoria	89180
Queensland	86372
South Australia	78520
Western Australia	99320
Tasmania	72748
Northern Territory	109460
Australian Capital Territory	127140
Other Territories	81536
