STE_NAME16	BornAust	Sex	persons
New South Wales	0	F	1064716
New South Wales	0	M	1007742
New South Wales	1	F	2473670
New South Wales	1	M	2425532
Victoria	0	F	863136
Victoria	0	M	817124
Victoria	1	F	1951765
Victoria	1	M	1893746
Queensland	0	F	526551
Queensland	0	M	489325
Queensland	1	F	1685693
Queensland	1	M	1658125
South Australia	0	F	198482
South Australia	0	M	185620
South Australia	1	F	601986
South Australia	1	M	590563
Western Australia	0	F	404078
Western Australia	0	M	393619
Western Australia	1	F	744012
Western Australia	1	M	748850
Tasmania	0	F	31568
Tasmania	0	M	29672
Tasmania	1	F	209956
Tasmania	1	M	201535
Northern Territory	0	F	22767
Northern Territory	0	M	22636
Northern Territory	1	F	75851
Northern Territory	1	M	81677
Australian Capital Territory	0	F	54552
Australian Capital Territory	0	M	50617
Australian Capital Territory	1	F	136021
Australian Capital Territory	1	M	134014
Other Territories	0	F	646
Other Territories	0	M	832
Other Territories	1	F	1215
Other Territories	1	M	1313
