STE_NAME16	Age5yr	Indigenous	Sex	persons
Victoria	60-64	1	M	745
Victoria	65+		F	36469
Victoria	65+		M	29774
Victoria	65+	0	F	462906
Victoria	65+	0	M	390929
Victoria	65+	1	F	1379
Victoria	65+	1	M	1137
Queensland	0-4		F	8563
Queensland	0-4		M	8955
Queensland	0-4	0	F	125160
Queensland	0-4	0	M	131927
Queensland	0-4	1	F	10708
Queensland	0-4	1	M	11150
Queensland	5-9		F	8615
Queensland	5-9		M	9036
Queensland	5-9	0	F	134526
Queensland	5-9	0	M	142084
Queensland	5-9	1	F	11189
Queensland	5-9	1	M	11689
Queensland	10-14		F	7959
Queensland	10-14		M	8211
Queensland	10-14	0	F	127004
Queensland	10-14	0	M	134581
Queensland	10-14	1	F	10450
Queensland	10-14	1	M	10888
Queensland	15-19		F	8241
Queensland	15-19		M	8397
Queensland	15-19	0	F	127326
Queensland	15-19	0	M	132904
Queensland	15-19	1	F	9522
Queensland	15-19	1	M	9895
Queensland	20-24		F	10645
Queensland	20-24		M	11221
Queensland	20-24	0	F	138816
Queensland	20-24	0	M	139716
Queensland	20-24	1	F	8120
Queensland	20-24	1	M	8343
Queensland	25-29		F	11245
Queensland	25-29		M	11946
Queensland	25-29	0	F	144691
Queensland	25-29	0	M	139645
Queensland	25-29	1	F	6686
Queensland	25-29	1	M	6536
Queensland	30-34		F	10485
Queensland	30-34		M	11803
Queensland	30-34	0	F	149917
Queensland	30-34	0	M	142434
Queensland	30-34	1	F	5816
Queensland	30-34	1	M	5484
Queensland	35-39		F	9087
Queensland	35-39		M	10481
Queensland	35-39	0	F	141410
Queensland	35-39	0	M	134068
Queensland	35-39	1	F	5280
Queensland	35-39	1	M	4893
Queensland	40-44		F	9572
Queensland	40-44		M	10910
Queensland	40-44	0	F	150095
Queensland	40-44	0	M	141744
Queensland	40-44	1	F	5530
Queensland	40-44	1	M	5050
Queensland	45-49		F	9813
Queensland	45-49		M	11285
Queensland	45-49	0	F	150312
Queensland	45-49	0	M	141536
Queensland	45-49	1	F	5331
Queensland	45-49	1	M	4698
Queensland	50-54		F	9628
Queensland	50-54		M	10921
Queensland	50-54	0	F	143547
Queensland	50-54	0	M	135921
Queensland	50-54	1	F	4539
Queensland	50-54	1	M	4174
Queensland	55-59		F	9224
Queensland	55-59		M	10335
Queensland	55-59	0	F	136489
Queensland	55-59	0	M	129084
Queensland	55-59	1	F	3754
Queensland	55-59	1	M	3305
Queensland	60-64		F	8592
Queensland	60-64		M	9015
Queensland	60-64	0	F	121748
Queensland	60-64	0	M	116086
Queensland	60-64	1	F	2793
Queensland	60-64	1	M	2452
Queensland	65+		F	27177
Queensland	65+		M	24340
Queensland	65+	0	F	347112
Queensland	65+	0	M	311118
Queensland	65+	1	F	4583
