STE_NAME16	Age5yr	ChildrenEverBorn	females
Victoria	20-24	4	153
Victoria	20-24	5	31
Victoria	20-24	6	70
Victoria	25-29		19579
Victoria	25-29	0	150499
Victoria	25-29	1	29861
Victoria	25-29	2	16727
Victoria	25-29	3	5175
Victoria	25-29	4	1357
Victoria	25-29	5	315
Victoria	25-29	6	188
Victoria	30-34		16633
Victoria	30-34	0	93230
Victoria	30-34	1	50534
Victoria	30-34	2	46416
Victoria	30-34	3	15139
Victoria	30-34	4	4390
Victoria	30-34	5	1262
Victoria	30-34	6	724
Victoria	35-39		12783
Victoria	35-39	0	47933
Victoria	35-39	1	36489
Victoria	35-39	2	67709
Victoria	35-39	3	27352
Victoria	35-39	4	7967
Victoria	35-39	5	2281
Victoria	35-39	6	1592
Victoria	40-44		12282
Victoria	40-44	0	35767
Victoria	40-44	1	29923
Victoria	40-44	2	75285
Victoria	40-44	3	36176
Victoria	40-44	4	10880
Victoria	40-44	5	3227
Victoria	40-44	6	2281
Victoria	45-49		12428
Victoria	45-49	0	32302
Victoria	45-49	1	27948
Victoria	45-49	2	77278
Victoria	45-49	3	38963
Victoria	45-49	4	12356
Victoria	45-49	5	3507
Victoria	45-49	6	2490
Victoria	50-54		11960
Victoria	50-54	0	28185
Victoria	50-54	1	24505
Victoria	50-54	2	70485
Victoria	50-54	3	39520
Victoria	50-54	4	13121
Victoria	50-54	5	3602
Victoria	50-54	6	2397
Victoria	55-59		11865
Victoria	55-59	0	24477
Victoria	55-59	1	21525
Victoria	55-59	2	65062
Victoria	55-59	3	40445
Victoria	55-59	4	14608
Victoria	55-59	5	3994
Victoria	55-59	6	2471
Victoria	60-64		11059
Victoria	60-64	0	19367
Victoria	60-64	1	18167
Victoria	60-64	2	58644
Victoria	60-64	3	37693
Victoria	60-64	4	14212
Victoria	60-64	5	3981
Victoria	60-64	6	2327
Victoria	65-69		11018
Victoria	65-69	0	14449
Victoria	65-69	1	13701
Victoria	65-69	2	54357
Victoria	65-69	3	36430
Victoria	65-69	4	14419
Victoria	65-69	5	4357
Victoria	65-69	6	2580
Victoria	70-74		8993
Victoria	70-74	0	9209
Victoria	70-74	1	8498
Victoria	70-74	2	37364
Victoria	70-74	3	28628
Victoria	70-74	4	13104
Victoria	70-74	5	4511
Victoria	70-74	6	3167
Victoria	75-79		8070
Victoria	75-79	0	6334
Victoria	75-79	1	5845
Victoria	75-79	2	24054
Victoria	75-79	3	21902
Victoria	75-79	4	12501
Victoria	75-79	5	5046
Victoria	75-79	6	4441
Victoria	80-84		7425
Victoria	80-84	0	4464
Victoria	80-84	1	4511
Victoria	80-84	2	16208
Victoria	80-84	3	15473
Victoria	80-84	4	9921
Victoria	80-84	5	4553
Victoria	80-84	6	4804
Victoria	85+		12030
Victoria	85+	0	6046
Victoria	85+	1	6755
Victoria	85+	2	18227
Victoria	85+	3	16116
Victoria	85+	4	10267
Victoria	85+	5	5099
Victoria	85+	6	5891
Queensland	15-19		16062
Queensland	15-19	0	126668
Queensland	15-19	1	1943
Queensland	15-19	2	281
Queensland	15-19	3	53
Queensland	15-19	4	34
Queensland	15-19	5	10
Queensland	15-19	6	33
Queensland	20-24		15013
Queensland	20-24	0	121342
Queensland	20-24	1	13294
Queensland	20-24	2	6026
Queensland	20-24	3	1458
Queensland	20-24	4	304
Queensland	20-24	5	46
Queensland	20-24	6	98
Queensland	25-29		14294
Queensland	25-29	0	93486
Queensland	25-29	1	25552
Queensland	25-29	2	19233
Queensland	25-29	3	7039
Queensland	25-29	4	2137
Queensland	25-29	5	590
Queensland	25-29	6	292
Queensland	30-34		12306
Queensland	30-34	0	56053
Queensland	30-34	1	33578
Queensland	30-34	2	39525
Queensland	30-34	3	16316
Queensland	30-34	4	5486
Queensland	30-34	5	1790
Queensland	30-34	6	1161
Queensland	35-39		10262
Queensland	35-39	0	30739
Queensland	35-39	1	25180
Queensland	35-39	2	51129
Queensland	35-39	3	24433
Queensland	35-39	4	8864
Queensland	35-39	5	2951
Queensland	35-39	6	2212
Queensland	40-44		10593
Queensland	40-44	0	24851
Queensland	40-44	1	23042
Queensland	40-44	2	58245
Queensland	40-44	3	30518
Queensland	40-44	4	11169
Queensland	40-44	5	3757
Queensland	40-44	6	3015
Queensland	45-49		10962
Queensland	45-49	0	23588
Queensland	45-49	1	21988
Queensland	45-49	2	58488
Queensland	45-49	3	31648
Queensland	45-49	4	11793
Queensland	45-49	5	3913
Queensland	45-49	6	3077
Queensland	50-54		10762
Queensland	50-54	0	21490
Queensland	50-54	1	19214
Queensland	50-54	2	54563
Queensland	50-54	3	32242
Queensland	50-54	4	12513
Queensland	50-54	5	4091
Queensland	50-54	6	2831
Queensland	55-59		10423
Queensland	55-59	0	18361
Queensland	55-59	1	16218
Queensland	55-59	2	50732
Queensland	55-59	3	33535
Queensland	55-59	4	13473
Queensland	55-59	5	4098
Queensland	55-59	6	2636
Queensland	60-64		9588
Queensland	60-64	0	14653
Queensland	60-64	1	13524
Queensland	60-64	2	45457
Queensland	60-64	3	30802
Queensland	60-64	4	12851
Queensland	60-64	5	3867
Queensland	60-64	6	2386
Queensland	65-69		9144
Queensland	65-69	0	11655
Queensland	65-69	1	11140
Queensland	65-69	2	42105
Queensland	65-69	3	29372
Queensland	65-69	4	12673
Queensland	65-69	5	3996
Queensland	65-69	6	2438
Queensland	70-74		7442
Queensland	70-74	0	8101
Queensland	70-74	1	7315
Queensland	70-74	2	28247
Queensland	70-74	3	22690
Queensland	70-74	4	10950
Queensland	70-74	5	3992
Queensland	70-74	6	2742
Queensland	75-79		6196
Queensland	75-79	0	5390
Queensland	75-79	1	4325
Queensland	75-79	2	16072
Queensland	75-79	3	15735
Queensland	75-79	4	9790
Queensland	75-79	5	4353
Queensland	75-79	6	3394
Queensland	80-84		5473
Queensland	80-84	0	3514
Queensland	80-84	1	2973
Queensland	80-84	2	9348
Queensland	80-84	3	10106
Queensland	80-84	4	7180
Queensland	80-84	5	3647
Queensland	80-84	6	3612
Queensland	85+		10180
Queensland	85+	0	4011
Queensland	85+	1	4204
Queensland	85+	2	10493
Queensland	85+	3	9992
Queensland	85+	4	7000
Queensland	85+	5	3784
Queensland	85+	6	4097
South Australia	15-19		5171
South Australia	15-19	0	43408
South Australia	15-19	1	458
South Australia	15-19	2	85
South Australia	15-19	3	24
South Australia	15-19	4	9
South Australia	15-19	5	3
South Australia	15-19	6	9
South Australia	20-24		4219
South Australia	20-24	0	43020
South Australia	20-24	1	3554
South Australia	20-24	2	1578
South Australia	20-24	3	297
South Australia	20-24	4	71
South Australia	20-24	5	9
South Australia	20-24	6	25
South Australia	25-29		3650
South Australia	25-29	0	33198
South Australia	25-29	1	8554
South Australia	25-29	2	5879
South Australia	25-29	3	1841
South Australia	25-29	4	520
South Australia	25-29	5	131
South Australia	25-29	6	78
South Australia	30-34		3231
South Australia	30-34	0	19300
South Australia	30-34	1	12486
South Australia	30-34	2	13808
South Australia	30-34	3	4911
South Australia	30-34	4	1477
South Australia	30-34	5	481
South Australia	30-34	6	286
South Australia	35-39		2707
South Australia	35-39	0	10162
South Australia	35-39	1	8982
South Australia	35-39	2	18184
South Australia	35-39	3	7985
South Australia	35-39	4	2382
South Australia	35-39	5	767
South Australia	35-39	6	540
South Australia	40-44		2657
South Australia	40-44	0	8136
South Australia	40-44	1	7927
South Australia	40-44	2	20572
South Australia	40-44	3	9524
South Australia	40-44	4	3093
South Australia	40-44	5	969
South Australia	40-44	6	698
South Australia	45-49		3042
South Australia	45-49	0	8449
South Australia	45-49	1	7925
South Australia	45-49	2	21876
South Australia	45-49	3	10908
South Australia	45-49	4	3457
South Australia	45-49	5	986
South Australia	45-49	6	792
South Australia	50-54		3108
South Australia	50-54	0	8510
South Australia	50-54	1	7330
South Australia	50-54	2	21533
South Australia	50-54	3	11129
South Australia	50-54	4	3793
South Australia	50-54	5	1181
South Australia	50-54	6	754
South Australia	55-59		3277
South Australia	55-59	0	7726
South Australia	55-59	1	6720
South Australia	55-59	2	21782
South Australia	55-59	3	11706
South Australia	55-59	4	4154
South Australia	55-59	5	1149
South Australia	55-59	6	714
South Australia	60-64		2949
South Australia	60-64	0	6382
South Australia	60-64	1	5899
South Australia	60-64	2	20502
South Australia	60-64	3	11218
South Australia	60-64	4	3963
South Australia	60-64	5	1025
South Australia	60-64	6	583
South Australia	65-69		3024
South Australia	65-69	0	4925
South Australia	65-69	1	4834
South Australia	65-69	2	19823
South Australia	65-69	3	11393
South Australia	65-69	4	3966
South Australia	65-69	5	1054
South Australia	65-69	6	621
South Australia	70-74		2598
South Australia	70-74	0	3169
South Australia	70-74	1	2917
South Australia	70-74	2	13766
South Australia	70-74	3	9706
South Australia	70-74	4	3809
South Australia	70-74	5	1182
South Australia	70-74	6	746
South Australia	75-79		2209
South Australia	75-79	0	2011
South Australia	75-79	1	1818
South Australia	75-79	2	8278
South Australia	75-79	3	7729
South Australia	75-79	4	4150
South Australia	75-79	5	1606
South Australia	75-79	6	1070
South Australia	80-84		2011
South Australia	80-84	0	1333
South Australia	80-84	1	1406
South Australia	80-84	2	5204
South Australia	80-84	3	5508
South Australia	80-84	4	3564
South Australia	80-84	5	1569
South Australia	80-84	6	1340
South Australia	85+		3618
South Australia	85+	0	1939
South Australia	85+	1	2264
South Australia	85+	2	6623
South Australia	85+	3	6103
South Australia	85+	4	3847
South Australia	85+	5	1955
South Australia	85+	6	1793
Western Australia	15-19		8370
Western Australia	15-19	0	63595
Western Australia	15-19	1	772
Western Australia	15-19	2	94
Western Australia	15-19	3	25
Western Australia	15-19	4	4
Western Australia	15-19	5	7
Western Australia	15-19	6	13
Western Australia	20-24		7726
Western Australia	20-24	0	60847
Western Australia	20-24	1	6079
Western Australia	20-24	2	2436
Western Australia	20-24	3	510
Western Australia	20-24	4	119
Western Australia	20-24	5	19
Western Australia	20-24	6	39
Western Australia	25-29		8615
Western Australia	25-29	0	55169
Western Australia	25-29	1	14178
Western Australia	25-29	2	9537
Western Australia	25-29	3	3236
Western Australia	25-29	4	860
Western Australia	25-29	5	228
Western Australia	25-29	6	120
Western Australia	30-34		7689
Western Australia	30-34	0	34540
Western Australia	30-34	1	20364
Western Australia	30-34	2	22103
Western Australia	30-34	3	8105
Western Australia	30-34	4	2420
Western Australia	30-34	5	681
Western Australia	30-34	6	391
Western Australia	35-39		5811
Western Australia	35-39	0	17212
Western Australia	35-39	1	14585
Western Australia	35-39	2	29176
Western Australia	35-39	3	13007
Western Australia	35-39	4	3980
Western Australia	35-39	5	1180
Western Australia	35-39	6	793
Western Australia	40-44		5643
Western Australia	40-44	0	12671
Western Australia	40-44	1	11884
Western Australia	40-44	2	32160
Western Australia	40-44	3	15623
Western Australia	40-44	4	5067
Western Australia	40-44	5	1572
Western Australia	40-44	6	1162
Western Australia	45-49		5656
Western Australia	45-49	0	11800
Western Australia	45-49	1	11326
Western Australia	45-49	2	32378
Western Australia	45-49	3	16375
Western Australia	45-49	4	5509
Western Australia	45-49	5	1658
Western Australia	45-49	6	1245
Western Australia	50-54		5451
Western Australia	50-54	0	10399
Western Australia	50-54	1	9449
Western Australia	50-54	2	29612
Western Australia	50-54	3	16941
Western Australia	50-54	4	6055
Western Australia	50-54	5	1756
Western Australia	50-54	6	1226
Western Australia	55-59		5256
Western Australia	55-59	0	8539
Western Australia	55-59	1	7863
Western Australia	55-59	2	27402
Western Australia	55-59	3	17274
Western Australia	55-59	4	6464
Western Australia	55-59	5	1875
Western Australia	55-59	6	1099
Western Australia	60-64		4702
Western Australia	60-64	0	6709
Western Australia	60-64	1	6672
Western Australia	60-64	2	24445
Western Australia	60-64	3	16012
Western Australia	60-64	4	6052
Western Australia	60-64	5	1678
Western Australia	60-64	6	1043
Western Australia	65-69		4409
Western Australia	65-69	0	4795
Western Australia	65-69	1	5007
Western Australia	65-69	2	21994
