STE_NAME16	Age5yr	ChildrenEverBorn	females
Australian Capital Territory	85+	2	794
Australian Capital Territory	85+	3	759
Australian Capital Territory	85+	4	496
Australian Capital Territory	85+	5	244
Australian Capital Territory	85+	6	242
Other Territories	15-19		23
Other Territories	15-19	0	80
Other Territories	20-24		9
Other Territories	20-24	0	49
Other Territories	20-24	1	9
Other Territories	25-29		9
Other Territories	25-29	0	46
Other Territories	25-29	1	19
Other Territories	25-29	2	13
Other Territories	25-29	3	7
Other Territories	30-34		15
Other Territories	30-34	0	46
Other Territories	30-34	1	31
Other Territories	30-34	2	30
Other Territories	30-34	3	20
Other Territories	30-34	4	3
Other Territories	35-39		9
Other Territories	35-39	0	28
Other Territories	35-39	1	18
Other Territories	35-39	2	42
Other Territories	35-39	3	30
Other Territories	35-39	4	3
Other Territories	35-39	6	4
Other Territories	40-44		18
Other Territories	40-44	0	34
Other Territories	40-44	1	25
Other Territories	40-44	2	42
Other Territories	40-44	3	24
Other Territories	40-44	4	8
Other Territories	40-44	5	3
Other Territories	45-49		15
Other Territories	45-49	0	29
Other Territories	45-49	1	18
Other Territories	45-49	2	50
Other Territories	45-49	3	23
Other Territories	45-49	4	10
Other Territories	45-49	5	3
Other Territories	45-49	6	3
Other Territories	50-54		29
Other Territories	50-54	0	27
Other Territories	50-54	1	19
Other Territories	50-54	2	53
Other Territories	50-54	3	26
Other Territories	50-54	4	16
Other Territories	50-54	5	6
Other Territories	55-59		29
Other Territories	55-59	0	19
Other Territories	55-59	1	15
Other Territories	55-59	2	58
Other Territories	55-59	3	42
Other Territories	55-59	4	14
Other Territories	55-59	5	4
Other Territories	60-64		25
Other Territories	60-64	0	23
Other Territories	60-64	1	13
Other Territories	60-64	2	52
Other Territories	60-64	3	24
Other Territories	60-64	4	13
Other Territories	60-64	5	6
Other Territories	60-64	6	4
Other Territories	65-69		20
Other Territories	65-69	0	18
Other Territories	65-69	1	10
Other Territories	65-69	2	32
Other Territories	65-69	3	30
Other Territories	65-69	4	12
Other Territories	65-69	6	3
Other Territories	70-74		8
Other Territories	70-74	0	13
Other Territories	70-74	1	13
Other Territories	70-74	2	19
Other Territories	70-74	3	18
Other Territories	70-74	4	8
Other Territories	70-74	5	10
Other Territories	75-79		9
Other Territories	75-79	0	8
Other Territories	75-79	1	3
Other Territories	75-79	2	12
Other Territories	75-79	3	9
Other Territories	75-79	4	9
Other Territories	75-79	5	4
Other Territories	75-79	6	3
Other Territories	80-84		8
Other Territories	80-84	1	5
Other Territories	80-84	2	3
Other Territories	80-84	3	9
Other Territories	80-84	4	8
Other Territories	80-84	5	3
Other Territories	80-84	6	7
Other Territories	85+		3
Other Territories	85+	0	3
Other Territories	85+	2	5
Other Territories	85+	3	8
Other Territories	85+	4	7
Other Territories	85+	6	3
