STE_NAME16	medianTotalHouseholdIncome
New South Wales	77272
Victoria	73788
Queensland	72904
South Australia	62712
Western Australia	82940
Tasmania	57200
Northern Territory	103116
Australian Capital Territory	107640
Other Territories	71604
