STE_NAME16	CountryOfBirth	Sex	persons
New South Wales		F	378760
New South Wales		M	368758
New South Wales	AFG	F	5235
New South Wales	AFG	M	7802
New South Wales	AUS	F	2473670
New South Wales	AUS	M	2425532
New South Wales	BGD	F	10580
New South Wales	BGD	M	13637
New South Wales	BIH	F	3590
New South Wales	BIH	M	3503
New South Wales	CAN	F	7128
New South Wales	CAN	M	6158
New South Wales	CHL	F	6729
New South Wales	CHL	M	6331
New South Wales	CHN	F	130870
New South Wales	CHN	M	103638
New South Wales	DEU	F	15704
New South Wales	DEU	M	13838
New South Wales	EGY	F	9509
New South Wales	EGY	M	10214
New South Wales	FJI	F	18251
New South Wales	FJI	M	15631
New South Wales	FRA	F	5520
New South Wales	FRA	M	6018
New South Wales	GBR	F	130300
New South Wales	GBR	M	138061
New South Wales	GRC	F	15484
New South Wales	GRC	M	14001
New South Wales	HKG	F	22072
New South Wales	HKG	M	20271
New South Wales	HRV	F	8006
New South Wales	HRV	M	7640
New South Wales	IDN	F	17516
New South Wales	IDN	M	14256
New South Wales	IND	F	66592
New South Wales	IND	M	76869
New South Wales	IRL	F	11041
New South Wales	IRL	M	13005
New South Wales	IRN	F	10508
New South Wales	IRN	M	12539
New South Wales	IRQ	F	19716
New South Wales	IRQ	M	20557
New South Wales	ITA	F	23708
New South Wales	ITA	M	25765
New South Wales	JPN	F	9456
New South Wales	JPN	M	4556
New South Wales	KHM	F	6912
New South Wales	KHM	M	5531
New South Wales	KOR	F	27616
New South Wales	KOR	M	24196
New South Wales	LBN	F	27743
New South Wales	LBN	M	29632
New South Wales	LKA	F	13696
New South Wales	LKA	M	15035
New South Wales	MKD	F	8313
New South Wales	MKD	M	8189
New South Wales	MLT	F	7192
New South Wales	MLT	M	7292
New South Wales	MMR	F	3357
New South Wales	MMR	M	3769
New South Wales	MUS	F	2975
New South Wales	MUS	M	2754
New South Wales	MYS	F	16963
New South Wales	MYS	M	14690
New South Wales	NLD	F	8362
New South Wales	NLD	M	8540
New South Wales	NPL	F	14297
New South Wales	NPL	M	17822
New South Wales	NZL	F	58239
New South Wales	NZL	M	58896
New South Wales	PAK	F	9788
New South Wales	PAK	M	14739
New South Wales	PHL	F	52478
New South Wales	PHL	M	34270
New South Wales	PNG	F	3008
New South Wales	PNG	M	2459
New South Wales	POL	F	7653
New South Wales	POL	M	5796
New South Wales	SGP	F	6929
New South Wales	SGP	M	5809
New South Wales	THA	F	17789
New South Wales	THA	M	8929
New South Wales	TUR	F	6181
New South Wales	TUR	M	6629
New South Wales	TWN	F	7731
New South Wales	TWN	M	5759
New South Wales	USA	F	15489
New South Wales	USA	M	14592
New South Wales	VNM	F	46442
New South Wales	VNM	M	37687
New South Wales	ZAF	F	21822
New South Wales	ZAF	M	21237
New South Wales	ZWE	F	3308
New South Wales	ZWE	M	3181
Victoria		F	301839
Victoria		M	288885
Victoria	AFG	F	7141
Victoria	AFG	M	10983
Victoria	AUS	F	1951765
Victoria	AUS	M	1893746
Victoria	BGD	F	3553
Victoria	BGD	M	4279
Victoria	BIH	F	4392
Victoria	BIH	M	4094
Victoria	CAN	F	4905
Victoria	CAN	M	4065
Victoria	CHL	F	3917
Victoria	CHL	M	3503
Victoria	CHN	F	90712
Victoria	CHN	M	69940
Victoria	DEU	F	13786
Victoria	DEU	M	12525
Victoria	EGY	F	6603
Victoria	EGY	M	6679
Victoria	FJI	F	5851
Victoria	FJI	M	4972
Victoria	FRA	F	3421
Victoria	FRA	M	3721
Victoria	GBR	F	103423
Victoria	GBR	M	104527
Victoria	GRC	F	24856
Victoria	GRC	M	22378
Victoria	HKG	F	11375
Victoria	HKG	M	10263
Victoria	HRV	F	7953
Victoria	HRV	M	7536
Victoria	IDN	F	10052
Victoria	IDN	M	7754
Victoria	IND	F	77354
Victoria	IND	M	92450
Victoria	IRL	F	7476
Victoria	IRL	M	8144
Victoria	IRN	F	7534
Victoria	IRN	M	9094
Victoria	IRQ	F	9077
Victoria	IRQ	M	9564
Victoria	ITA	F	35605
Victoria	ITA	M	34927
Victoria	JPN	F	5877
Victoria	JPN	M	2638
Victoria	KHM	F	7436
Victoria	KHM	M	6153
Victoria	KOR	F	8009
Victoria	KOR	M	6789
Victoria	LBN	F	8036
Victoria	LBN	M	8643
Victoria	LKA	F	26787
Victoria	LKA	M	29048
Victoria	MKD	F	8923
Victoria	MKD	M	8701
Victoria	MLT	F	8988
Victoria	MLT	M	8884
Victoria	MMR	F	5377
Victoria	MMR	M	5592
Victoria	MUS	F	6034
Victoria	MUS	M	5780
Victoria	MYS	F	26808
Victoria	MYS	M	23243
Victoria	NLD	F	9835
Victoria	NLD	M	9979
Victoria	NPL	F	4122
Victoria	NPL	M	5267
Victoria	NZL	F	46749
Victoria	NZL	M	46502
Victoria	PAK	F	7756
Victoria	PAK	M	13363
Victoria	PHL	F	31123
Victoria	PHL	M	20164
Victoria	PNG	F	1486
Victoria	PNG	M	1121
Victoria	POL	F	8485
Victoria	POL	M	6224
Victoria	SGP	F	8786
