STE_NAME16	Age	HoursHousekeeping	Sex	adults
New South Wales	15-19		F	18215
New South Wales	15-19		M	20569
New South Wales	15-19	0	F	77352
New South Wales	15-19	0	M	98846
New South Wales	15-19	<5	F	94289
New South Wales	15-19	<5	M	91751
New South Wales	15-19	5-14	F	23900
New South Wales	15-19	5-14	M	16526
New South Wales	15-19	15-29	F	3115
New South Wales	15-19	15-29	M	1629
New South Wales	15-19	30+	F	1447
New South Wales	15-19	30+	M	785
New South Wales	20-24		F	17977
New South Wales	20-24		M	21285
New South Wales	20-24	0	F	68705
New South Wales	20-24	0	M	101475
New South Wales	20-24	<5	F	84111
New South Wales	20-24	<5	M	87058
New South Wales	20-24	5-14	F	50212
New South Wales	20-24	5-14	M	31990
New South Wales	20-24	15-29	F	11244
New South Wales	20-24	15-29	M	4527
New South Wales	20-24	30+	F	8938
New South Wales	20-24	30+	M	2149
New South Wales	25-34		F	40110
New South Wales	25-34		M	47720
New South Wales	25-34	0	F	91686
New South Wales	25-34	0	M	147929
New South Wales	25-34	<5	F	121117
New South Wales	25-34	<5	M	178858
New South Wales	25-34	5-14	F	146917
New South Wales	25-34	5-14	M	121070
New South Wales	25-34	15-29	F	63169
New South Wales	25-34	15-29	M	21621
New South Wales	25-34	30+	F	77957
New South Wales	25-34	30+	M	9368
New South Wales	35-44		F	32606
New South Wales	35-44		M	39784
New South Wales	35-44	0	F	57505
New South Wales	35-44	0	M	101161
New South Wales	35-44	<5	F	60935
New South Wales	35-44	<5	M	147822
New South Wales	35-44	5-14	F	150531
New South Wales	35-44	5-14	M	152484
New South Wales	35-44	15-29	F	101349
New South Wales	35-44	15-29	M	36992
New South Wales	35-44	30+	F	105709
New South Wales	35-44	30+	M	16007
New South Wales	45-54		F	32587
New South Wales	45-54		M	38113
New South Wales	45-54	0	F	60304
New South Wales	45-54	0	M	102556
New South Wales	45-54	<5	F	58457
New South Wales	45-54	<5	M	134216
New South Wales	45-54	5-14	F	165789
New South Wales	45-54	5-14	M	149664
New South Wales	45-54	15-29	F	106366
New South Wales	45-54	15-29	M	37723
New South Wales	45-54	30+	F	76028
New South Wales	45-54	30+	M	16171
New South Wales	55-64		F	32591
New South Wales	55-64		M	35229
New South Wales	55-64	0	F	68812
New South Wales	55-64	0	M	102718
New South Wales	55-64	<5	F	51171
New South Wales	55-64	<5	M	106833
New South Wales	55-64	5-14	F	140118
New South Wales	55-64	5-14	M	129493
New South Wales	55-64	15-29	F	93845
New South Wales	55-64	15-29	M	39166
New South Wales	55-64	30+	F	70173
New South Wales	55-64	30+	M	19629
New South Wales	65-74		F	33567
New South Wales	65-74		M	32619
New South Wales	65-74	0	F	72074
New South Wales	65-74	0	M	90759
New South Wales	65-74	<5	F	27082
New South Wales	65-74	<5	M	56994
New South Wales	65-74	5-14	F	76833
New South Wales	65-74	5-14	M	85179
New South Wales	65-74	15-29	F	71291
New South Wales	65-74	15-29	M	40265
New South Wales	65-74	30+	F	65692
New South Wales	65-74	30+	M	24650
New South Wales	75-84		F	30216
New South Wales	75-84		M	23694
New South Wales	75-84	0	F	60997
New South Wales	75-84	0	M	56707
New South Wales	75-84	<5	F	17883
New South Wales	75-84	<5	M	23378
New South Wales	75-84	5-14	F	35246
New South Wales	75-84	5-14	M	34498
New South Wales	75-84	15-29	F	28999
New South Wales	75-84	15-29	M	18797
New South Wales	75-84	30+	F	28871
New South Wales	75-84	30+	M	13835
New South Wales	85+		F	21169
New South Wales	85+		M	11521
New South Wales	85+	0	F	49602
New South Wales	85+	0	M	27392
New South Wales	85+	<5	F	10607
New South Wales	85+	<5	M	7103
New South Wales	85+	5-14	F	12504
New South Wales	85+	5-14	M	8243
New South Wales	85+	15-29	F	6607
New South Wales	85+	15-29	M	4228
New South Wales	85+	30+	F	5272
New South Wales	85+	30+	M	3253
Victoria	15-19		F	14605
Victoria	15-19		M	15842
Victoria	15-19	0	F	61619
Victoria	15-19	0	M	77566
Victoria	15-19	<5	F	77677
Victoria	15-19	<5	M	74706
Victoria	15-19	5-14	F	17512
Victoria	15-19	5-14	M	11922
Victoria	15-19	15-29	F	2172
Victoria	15-19	15-29	M	1203
Victoria	15-19	30+	F	917
Victoria	15-19	30+	M	600
Victoria	20-24		F	14484
Victoria	20-24		M	16265
Victoria	20-24	0	F	57473
Victoria	20-24	0	M	84168
Victoria	20-24	<5	F	75083
Victoria	20-24	<5	M	76061
Victoria	20-24	5-14	F	42480
Victoria	20-24	5-14	M	27951
Victoria	20-24	15-29	F	8564
Victoria	20-24	15-29	M	3663
Victoria	20-24	30+	F	5973
Victoria	20-24	30+	M	1625
Victoria	25-34		F	32311
Victoria	25-34		M	36388
Victoria	25-34	0	F	72901
Victoria	25-34	0	M	117291
Victoria	25-34	<5	F	107308
Victoria	25-34	<5	M	154691
Victoria	25-34	5-14	F	127185
Victoria	25-34	5-14	M	104010
Victoria	25-34	15-29	F	50513
Victoria	25-34	15-29	M	17425
Victoria	25-34	30+	F	61812
Victoria	25-34	30+	M	7360
Victoria	35-44		F	25450
Victoria	35-44		M	29721
Victoria	35-44	0	F	43675
Victoria	35-44	0	M	77321
Victoria	35-44	<5	F	50381
Victoria	35-44	<5	M	123188
Victoria	35-44	5-14	F	122490
Victoria	35-44	5-14	M	124760
Victoria	35-44	15-29	F	81271
Victoria	35-44	15-29	M	29006
Victoria	35-44	30+	F	86664
Victoria	35-44	30+	M	11977
Victoria	45-54		F	25574
Victoria	45-54		M	28724
Victoria	45-54	0	F	47106
Victoria	45-54	0	M	80085
Victoria	45-54	<5	F	46313
Victoria	45-54	<5	M	111288
Victoria	45-54	5-14	F	135839
Victoria	45-54	5-14	M	119474
Victoria	45-54	15-29	F	86071
Victoria	45-54	15-29	M	28181
Victoria	45-54	30+	F	60142
Victoria	45-54	30+	M	11630
Victoria	55-64		F	25155
Victoria	55-64		M	25713
Victoria	55-64	0	F	52206
Victoria	55-64	0	M	78018
Victoria	55-64	<5	F	38783
Victoria	55-64	<5	M	85448
Victoria	55-64	5-14	F	109453
Victoria	55-64	5-14	M	98420
Victoria	55-64	15-29	F	72563
Victoria	55-64	15-29	M	27292
Victoria	55-64	30+	F	51735
Victoria	55-64	30+	M	12676
Victoria	65-74		F	26423
Victoria	65-74		M	24649
Victoria	65-74	0	F	55398
Victoria	65-74	0	M	68351
Victoria	65-74	<5	F	20347
Victoria	65-74	<5	M	44499
Victoria	65-74	5-14	F	58742
Victoria	65-74	5-14	M	62994
Victoria	65-74	15-29	F	54546
Victoria	65-74	15-29	M	27864
Victoria	65-74	30+	F	49318
Victoria	65-74	30+	M	16472
Victoria	75-84		F	23635
Victoria	75-84		M	18547
Victoria	75-84	0	F	47031
Victoria	75-84	0	M	42885
Victoria	75-84	<5	F	13483
Victoria	75-84	<5	M	18439
Victoria	75-84	5-14	F	26723
Victoria	75-84	5-14	M	26423
Victoria	75-84	15-29	F	22714
Victoria	75-84	15-29	M	13642
Victoria	75-84	30+	F	21961
Victoria	75-84	30+	M	9523
Victoria	85+		F	15236
Victoria	85+		M	8475
Victoria	85+	0	F	38645
Victoria	85+	0	M	21357
Victoria	85+	<5	F	7584
Victoria	85+	<5	M	5534
Victoria	85+	5-14	F	9501
Victoria	85+	5-14	M	6517
Victoria	85+	15-29	F	5368
Victoria	85+	15-29	M	3186
Victoria	85+	30+	F	4104
Victoria	85+	30+	M	2497
Queensland	15-19		F	12467
Queensland	15-19		M	14001
Queensland	15-19	0	F	44102
Queensland	15-19	0	M	55596
Queensland	15-19	<5	F	66450
Queensland	15-19	<5	M	66403
Queensland	15-19	5-14	F	18273
Queensland	15-19	5-14	M	13027
Queensland	15-19	15-29	F	2584
Queensland	15-19	15-29	M	1509
Queensland	15-19	30+	F	1212
Queensland	15-19	30+	M	661
Queensland	20-24		F	12538
Queensland	20-24		M	14774
Queensland	20-24	0	F	34790
Queensland	20-24	0	M	53534
Queensland	20-24	<5	F	54158
Queensland	20-24	<5	M	59760
Queensland	20-24	5-14	F	39086
Queensland	20-24	5-14	M	25746
Queensland	20-24	15-29	F	9192
Queensland	20-24	15-29	M	3693
Queensland	20-24	30+	F	7818
Queensland	20-24	30+	M	1781
Queensland	25-34		F	25239
Queensland	25-34		M	30921
Queensland	25-34	0	F	40675
Queensland	25-34	0	M	71526
Queensland	25-34	<5	F	67070
Queensland	25-34	<5	M	107546
Queensland	25-34	5-14	F	98760
Queensland	25-34	5-14	M	84172
Queensland	25-34	15-29	F	43781
Queensland	25-34	15-29	M	16314
Queensland	25-34	30+	F	53311
Queensland	25-34	30+	M	7377
Queensland	35-44		F	21605
Queensland	35-44		M	27295
Queensland	35-44	0	F	27494
Queensland	35-44	0	M	53095
Queensland	35-44	<5	F	38299
Queensland	35-44	<5	M	89901
