STE_NAME16	HomeCensusNight	persons
New South Wales	0	328318
New South Wales	1	7151909
Victoria	0	268057
Victoria	1	5658565
Queensland	0	251382
Queensland	1	4451807
South Australia	0	87325
South Australia	1	1589325
Western Australia	0	137729
Western Australia	1	2336682
Tasmania	0	32811
Tasmania	1	477156
Northern Territory	0	15832
Northern Territory	1	213004
Australian Capital Territory	0	20228
Australian Capital Territory	1	377168
Other Territories	0	327
Other Territories	1	4258
