STE_NAME16	PrivateDwelling	persons
New South Wales	0	609136
New South Wales	1	6859902
Victoria	0	437935
Victoria	1	5435003
Queensland	0	490507
Queensland	1	4270088
South Australia	0	121517
South Australia	1	1538906
Western Australia	0	269300
Western Australia	1	2217302
Tasmania	0	40493
Tasmania	1	460709
Northern Territory	0	57984
Northern Territory	1	192148
Australian Capital Territory	0	35734
Australian Capital Territory	1	360035
Other Territories	0	1744
Other Territories	1	3448
