STE_NAME16	Ancestry	FatherBornAus	MotherBornAus	responses
New South Wales				436486
New South Wales		0	0	29644
New South Wales		0	1	3653
New South Wales		1	0	2726
New South Wales		1	1	38022
New South Wales	Australian			36106
New South Wales	Australian		1	1757151
New South Wales	Australian	0	0	70723
New South Wales	Australian	0	1	230525
New South Wales	Australian	1	0	166550
New South Wales	Australian Aboriginal			733
New South Wales	Australian Aboriginal	0	0	290
New South Wales	Australian Aboriginal	0	1	1584
New South Wales	Australian Aboriginal	1	0	691
New South Wales	Australian Aboriginal	1	1	27544
New South Wales	Chinese			4094
New South Wales	Chinese	0	0	474485
New South Wales	Chinese	0	1	7740
New South Wales	Chinese	1	0	12611
New South Wales	Chinese	1	1	15657
New South Wales	Croatian			408
New South Wales	Croatian	0	0	29734
New South Wales	Croatian	0	1	4223
New South Wales	Croatian	1	0	2437
New South Wales	Croatian	1	1	8493
New South Wales	Dutch			707
New South Wales	Dutch	0	0	37707
New South Wales	Dutch	0	1	11808
New South Wales	Dutch	1	0	7265
New South Wales	Dutch	1	1	20741
New South Wales	English			35521
New South Wales	English	0	0	426119
New South Wales	English	0	1	197852
New South Wales	English	1	0	142074
New South Wales	English	1	1	1500912
New South Wales	Filipino			1198
New South Wales	Filipino	0	0	102242
New South Wales	Filipino	0	1	2599
New South Wales	Filipino	1	0	9608
New South Wales	Filipino	1	1	1708
New South Wales	French			472
New South Wales	French	0	0	23389
New South Wales	French	0	1	3561
New South Wales	French	1	0	2541
New South Wales	French	1	1	14385
New South Wales	German			2980
New South Wales	German	0	0	66292
New South Wales	German	0	1	18933
New South Wales	German	1	0	13274
New South Wales	German	1	1	134673
New South Wales	Greek			1386
New South Wales	Greek	0	0	74920
New South Wales	Greek	0	1	13477
New South Wales	Greek	1	0	6880
New South Wales	Greek	1	1	36165
New South Wales	Hungarian			237
New South Wales	Hungarian	0	0	15815
New South Wales	Hungarian	0	1	2970
New South Wales	Hungarian	1	0	1499
New South Wales	Hungarian	1	1	4151
New South Wales	Indian			1236
New South Wales	Indian	0	0	201620
New South Wales	Indian	0	1	3610
New South Wales	Indian	1	0	2998
New South Wales	Indian	1	1	2468
New South Wales	Irish			9160
New South Wales	Irish	0	0	101544
New South Wales	Irish	0	1	51107
New South Wales	Irish	1	0	34912
New South Wales	Irish	1	1	544950
New South Wales	Italian			3024
New South Wales	Italian	0	0	124960
New South Wales	Italian	0	1	32613
New South Wales	Italian	1	0	14505
New South Wales	Italian	1	1	97015
New South Wales	Korean			311
New South Wales	Korean	0	0	63899
New South Wales	Korean	0	1	461
New South Wales	Korean	1	0	1389
New South Wales	Korean	1	1	547
New South Wales	Lebanese			1768
New South Wales	Lebanese	0	0	110629
New South Wales	Lebanese	0	1	21815
New South Wales	Lebanese	1	0	9937
New South Wales	Lebanese	1	1	22449
New South Wales	Macedonian			350
New South Wales	Macedonian	0	0	28636
New South Wales	Macedonian	0	1	3348
New South Wales	Macedonian	1	0	1826
New South Wales	Macedonian	1	1	5468
New South Wales	Maltese			700
New South Wales	Maltese	0	0	32820
New South Wales	Maltese	0	1	8612
New South Wales	Maltese	1	0	4853
New South Wales	Maltese	1	1	22504
New South Wales	Maori			555
New South Wales	Maori	0	0	22967
New South Wales	Maori	0	1	4280
New South Wales	Maori	1	0	2788
New South Wales	Maori	1	1	2582
New South Wales	NZ			535
New South Wales	NZ	0	0	29248
New South Wales	NZ	0	1	11234
New South Wales	NZ	1	0	8290
New South Wales	NZ	1	1	5320
New South Wales	(Other)			8816
New South Wales	(Other)	0	0	725448
New South Wales	(Other)	0	1	60073
New South Wales	(Other)	1	0	46221
New South Wales	(Other)	1	1	68425
New South Wales	Polish			435
New South Wales	Polish	0	0	32529
New South Wales	Polish	0	1	5090
New South Wales	Polish	1	0	3694
New South Wales	Polish	1	1	10801
New South Wales	Russian			365
New South Wales	Russian	0	0	22930
New South Wales	Russian	0	1	2095
New South Wales	Russian	1	0	1957
New South Wales	Russian	1	1	4320
New South Wales	Scottish			7169
New South Wales	Scottish	0	0	99760
New South Wales	Scottish	0	1	49478
New South Wales	Scottish	1	0	35950
New South Wales	Scottish	1	1	394703
New South Wales	Serbian			351
New South Wales	Serbian	0	0	22488
New South Wales	Serbian	0	1	2039
New South Wales	Serbian	1	0	1295
New South Wales	Serbian	1	1	2476
New South Wales	South African			209
New South Wales	South African	0	0	25847
New South Wales	South African	0	1	3393
New South Wales	South African	1	0	2591
New South Wales	South African	1	1	1317
New South Wales	Spanish			491
New South Wales	Spanish	0	0	37898
New South Wales	Spanish	0	1	2565
New South Wales	Spanish	1	0	2105
New South Wales	Spanish	1	1	5552
New South Wales	Sri Lankan			155
New South Wales	Sri Lankan	0	0	23651
New South Wales	Sri Lankan	0	1	1001
New South Wales	Sri Lankan	1	0	813
New South Wales	Sri Lankan	1	1	617
New South Wales	Turkish			266
New South Wales	Turkish	0	0	22098
New South Wales	Turkish	0	1	2300
New South Wales	Turkish	1	0	1289
New South Wales	Turkish	1	1	1551
New South Wales	Vietnamese			1272
New South Wales	Vietnamese	0	0	103201
New South Wales	Vietnamese	0	1	1370
New South Wales	Vietnamese	1	0	2619
New South Wales	Vietnamese	1	1	1132
New South Wales	Welsh			377
New South Wales	Welsh	0	0	15855
New South Wales	Welsh	0	1	4798
New South Wales	Welsh	1	0	3050
New South Wales	Welsh	1	1	18530
Victoria				330682
Victoria		0	0	27249
Victoria		0	1	2948
Victoria		1	0	2331
Victoria		1	1	30315
Victoria	Australian			25340
Victoria	Australian		1	1270311
Victoria	Australian	0	0	52955
Victoria	Australian	0	1	177048
Victoria	Australian	1	0	127641
Victoria	Australian Aboriginal			163
Victoria	Australian Aboriginal	0	0	302
Victoria	Australian Aboriginal	0	1	503
Victoria	Australian Aboriginal	1	0	209
Victoria	Australian Aboriginal	1	1	5910
Victoria	Chinese			2746
Victoria	Chinese	0	0	344038
Victoria	Chinese	0	1	4782
Victoria	Chinese	1	0	8256
Victoria	Chinese	1	1	10821
Victoria	Croatian			440
Victoria	Croatian	0	0	29309
Victoria	Croatian	0	1	4003
Victoria	Croatian	1	0	2156
Victoria	Croatian	1	1	7229
Victoria	Dutch			934
Victoria	Dutch	0	0	45667
Victoria	Dutch	0	1	14482
Victoria	Dutch	1	0	9063
Victoria	Dutch	1	1	27544
Victoria	English			26898
Victoria	English	0	0	332196
Victoria	English	0	1	155360
Victoria	English	1	0	114196
Victoria	English	1	1	1140566
Victoria	Filipino			723
Victoria	Filipino	0	0	59488
Victoria	Filipino	0	1	1238
Victoria	Filipino	1	0	5912
Victoria	Filipino	1	1	959
Victoria	French			353
Victoria	French	0	0	17145
Victoria	French	0	1	2462
Victoria	French	1	0	1862
Victoria	French	1	1	10966
Victoria	German			2558
Victoria	German	0	0	56285
Victoria	German	0	1	17402
Victoria	German	1	0	11788
Victoria	German	1	1	113820
Victoria	Greek			1932
Victoria	Greek	0	0	105091
Victoria	Greek	0	1	15728
Victoria	Greek	1	0	8016
Victoria	Greek	1	1	39688
Victoria	Hungarian			274
Victoria	Hungarian	0	0	14740
Victoria	Hungarian	0	1	2539
