STE_NAME16	Age	Sex	persons
New South Wales	0-4	F	226279
New South Wales	0-4	M	238859
New South Wales	5-14	F	448106
New South Wales	5-14	M	473094
New South Wales	15-19	F	218321
New South Wales	15-19	M	230103
New South Wales	20-24	F	241181
New South Wales	20-24	M	248490
New South Wales	25-34	F	540962
New South Wales	25-34	M	526560
New South Wales	35-44	F	508625
New South Wales	35-44	M	494264
New South Wales	45-54	F	499528
New South Wales	45-54	M	478458
New South Wales	55-64	F	456703
New South Wales	55-64	M	433059
New South Wales	65-74	F	346555
New South Wales	65-74	M	330471
New South Wales	75-84	F	202200
New South Wales	75-84	M	170912
New South Wales	85+	F	105755
New South Wales	85+	M	61753
Victoria	0-4	F	180626
Victoria	0-4	M	190593
Victoria	5-14	F	345717
Victoria	5-14	M	363984
Victoria	15-19	F	174492
Victoria	15-19	M	181849
Victoria	20-24	F	204065
Victoria	20-24	M	209733
Victoria	25-34	F	452031
Victoria	25-34	M	437167
Victoria	35-44	F	409936
Victoria	35-44	M	395979
Victoria	45-54	F	401040
Victoria	45-54	M	379374
Victoria	55-64	F	349886
Victoria	55-64	M	327567
Victoria	65-74	F	264772
Victoria	65-74	M	244826
Victoria	75-84	F	155554
Victoria	75-84	M	129451
Victoria	85+	F	80427
Victoria	85+	M	47567
Queensland	0-4	F	144432
Queensland	0-4	M	152036
Queensland	5-14	F	299749
Queensland	5-14	M	316486
Queensland	15-19	F	145089
Queensland	15-19	M	151196
Queensland	20-24	F	157576
Queensland	20-24	M	159280
Queensland	25-34	F	328837
Queensland	25-34	M	317852
Queensland	35-44	F	320977
Queensland	35-44	M	307148
Queensland	45-54	F	323168
Queensland	45-54	M	308537
Queensland	55-64	F	282601
Queensland	55-64	M	270282
Queensland	65-74	F	214009
Queensland	65-74	M	208597
Queensland	75-84	F	111109
Queensland	75-84	M	98704
Queensland	85+	F	53759
Queensland	85+	M	31767
South Australia	0-4	F	47163
South Australia	0-4	M	49910
South Australia	5-14	F	95419
South Australia	5-14	M	100505
South Australia	15-19	F	49169
South Australia	15-19	M	51516
South Australia	20-24	F	52766
South Australia	20-24	M	55223
South Australia	25-34	F	109837
South Australia	25-34	M	108274
South Australia	35-44	F	105275
South Australia	35-44	M	104188
South Australia	45-54	F	114770
South Australia	45-54	M	112117
South Australia	55-64	F	109756
South Australia	55-64	M	104169
South Australia	65-74	F	87533
South Australia	65-74	M	81316
South Australia	75-84	F	50821
South Australia	75-84	M	42437
South Australia	85+	F	28143
South Australia	85+	M	16340
Western Australia	0-4	F	78574
Western Australia	0-4	M	83155
Western Australia	5-14	F	153378
Western Australia	5-14	M	161574
Western Australia	15-19	F	72882
Western Australia	15-19	M	77112
Western Australia	20-24	F	77777
Western Australia	20-24	M	82563
Western Australia	25-34	F	188224
Western Australia	25-34	M	190956
Western Australia	35-44	F	171523
Western Australia	35-44	M	173520
