STE_NAME16	AustCitizen	Sex	persons
New South Wales	0	F	648763
New South Wales	0	M	645355
New South Wales	1	F	3145454
New South Wales	1	M	3040659
Victoria	0	F	550997
Victoria	0	M	537500
Victoria	1	F	2467552
Victoria	1	M	2370577
Queensland	0	F	407128
Queensland	0	M	404744
Queensland	1	F	1974180
Queensland	1	M	1917145
South Australia	0	F	121364
South Australia	0	M	119778
South Australia	1	F	729288
South Australia	1	M	706219
Western Australia	0	F	253626
Western Australia	0	M	266114
Western Australia	1	F	982368
Western Australia	1	M	972305
Tasmania	0	F	28167
Tasmania	0	M	27938
Tasmania	1	F	232315
Tasmania	1	M	221540
Northern Territory	0	F	22632
Northern Territory	0	M	26235
Northern Territory	1	F	87634
Northern Territory	1	M	92335
Australian Capital Territory	0	F	31352
Australian Capital Territory	0	M	30091
Australian Capital Territory	1	F	170301
Australian Capital Territory	1	M	165648
Other Territories	0	F	526
Other Territories	0	M	748
Other Territories	1	F	1594
Other Territories	1	M	1714
