STE_NAME16	Age.min	Sex	persons
New South Wales	0	F	42778
New South Wales	0	M	44928
New South Wales	1	F	45072
New South Wales	1	M	47803
New South Wales	2	F	45726
New South Wales	2	M	47859
New South Wales	3	F	46121
New South Wales	3	M	49065
New South Wales	4	F	46583
New South Wales	4	M	49213
New South Wales	5	F	46340
New South Wales	5	M	48880
New South Wales	6	F	47089
New South Wales	6	M	49383
New South Wales	7	F	46311
New South Wales	7	M	48834
New South Wales	8	F	46778
New South Wales	8	M	49053
New South Wales	9	F	46453
New South Wales	9	M	49062
New South Wales	10	F	44759
New South Wales	10	M	47390
New South Wales	11	F	43143
New South Wales	11	M	45935
New South Wales	12	F	42422
New South Wales	12	M	45387
New South Wales	13	F	42632
New South Wales	13	M	44965
New South Wales	14	F	42169
New South Wales	14	M	44213
New South Wales	15	F	42763
New South Wales	15	M	45396
New South Wales	16	F	43560
New South Wales	16	M	45861
New South Wales	17	F	43464
New South Wales	17	M	45665
New South Wales	18	F	43637
New South Wales	18	M	45810
New South Wales	19	F	44895
New South Wales	19	M	47372
New South Wales	20	F	46028
New South Wales	20	M	48338
New South Wales	21	F	46925
New South Wales	21	M	49107
New South Wales	22	F	47792
New South Wales	22	M	48826
New South Wales	23	F	49501
New South Wales	23	M	50537
New South Wales	24	F	50938
New South Wales	24	M	51678
New South Wales	25	F	52311
New South Wales	25	M	52093
New South Wales	26	F	53759
New South Wales	26	M	53016
New South Wales	27	F	53216
New South Wales	27	M	52290
New South Wales	28	F	53710
New South Wales	28	M	51815
New South Wales	29	F	53575
New South Wales	29	M	51374
New South Wales	30	F	54855
New South Wales	30	M	52898
New South Wales	31	F	54562
New South Wales	31	M	52953
New South Wales	32	F	55282
New South Wales	32	M	53503
New South Wales	33	F	55751
New South Wales	33	M	53503
New South Wales	34	F	53924
New South Wales	34	M	53127
New South Wales	35	F	53365
New South Wales	35	M	52414
New South Wales	36	F	50923
New South Wales	36	M	50558
New South Wales	37	F	49958
New South Wales	37	M	48794
New South Wales	38	F	49319
New South Wales	38	M	48057
New South Wales	39	F	48793
New South Wales	39	M	47532
New South Wales	40	F	49534
New South Wales	40	M	47804
New South Wales	41	F	49214
New South Wales	41	M	47983
New South Wales	42	F	50948
New South Wales	42	M	49417
New South Wales	43	F	52440
New South Wales	43	M	49909
New South Wales	44	F	54134
New South Wales	44	M	51779
New South Wales	45	F	55371
New South Wales	45	M	52173
New South Wales	46	F	50783
New South Wales	46	M	48442
New South Wales	47	F	50438
New South Wales	47	M	47494
New South Wales	48	F	48983
New South Wales	48	M	46159
New South Wales	49	F	47266
New South Wales	49	M	45330
New South Wales	50	F	47493
New South Wales	50	M	46196
New South Wales	51	F	47604
New South Wales	51	M	45871
New South Wales	52	F	50098
New South Wales	52	M	48432
New South Wales	53	F	51005
New South Wales	53	M	49112
New South Wales	54	F	50481
New South Wales	54	M	49247
New South Wales	55	F	50497
New South Wales	55	M	48661
New South Wales	56	F	48931
New South Wales	56	M	46265
New South Wales	57	F	47437
New South Wales	57	M	45278
New South Wales	58	F	47751
New South Wales	58	M	44630
New South Wales	59	F	46326
New South Wales	59	M	43942
New South Wales	60	F	44892
New South Wales	60	M	43091
New South Wales	61	F	44112
New South Wales	61	M	41626
New South Wales	62	F	43041
New South Wales	62	M	40530
New South Wales	63	F	42645
New South Wales	63	M	40355
New South Wales	64	F	41067
New South Wales	64	M	38680
New South Wales	65	F	40388
New South Wales	65	M	38558
New South Wales	66	F	39622
New South Wales	66	M	37973
New South Wales	67	F	38107
New South Wales	67	M	36383
New South Wales	68	F	38123
New South Wales	68	M	37077
New South Wales	69	F	39859
New South Wales	69	M	38372
New South Wales	70	F	33552
New South Wales	70	M	32140
New South Wales	71	F	31890
New South Wales	71	M	30386
New South Wales	72	F	30716
New South Wales	72	M	29251
New South Wales	73	F	27500
New South Wales	73	M	25390
New South Wales	74	F	26784
New South Wales	74	M	24930
New South Wales	75	F	25252
New South Wales	75	M	23005
New South Wales	76	F	24016
New South Wales	76	M	21910
New South Wales	77	F	23064
New South Wales	77	M	20319
New South Wales	78	F	21826
New South Wales	78	M	18823
New South Wales	79	F	21109
New South Wales	79	M	17972
New South Wales	80	F	86922
New South Wales	80	M	68882
New South Wales	85	F	63883
New South Wales	90	M	16125
New South Wales	95	F	8556
New South Wales	95	M	3116
New South Wales	100	F	830
New South Wales	100	M	192
Victoria	0	F	34518
Victoria	0	M	36400
Victoria	1	F	36271
Victoria	1	M	38453
Victoria	2	F	36327
Victoria	2	M	38150
Victoria	3	F	37013
Victoria	3	M	38999
Victoria	4	F	36488
Victoria	4	M	38593
Victoria	5	F	35636
Victoria	5	M	37834
Victoria	6	F	36628
Victoria	6	M	38156
Victoria	7	F	35786
Victoria	7	M	37604
Victoria	8	F	35711
Victoria	8	M	37664
Victoria	9	F	35807
Victoria	9	M	37820
Victoria	10	F	34791
Victoria	10	M	36461
Victoria	11	F	33154
Victoria	11	M	34967
Victoria	12	F	33076
Victoria	12	M	35116
Victoria	13	F	32673
Victoria	13	M	34452
Victoria	14	F	32478
Victoria	14	M	33908
Victoria	15	F	32753
Victoria	15	M	34736
Victoria	16	F	34202
Victoria	16	M	34950
Victoria	17	F	34391
Victoria	17	M	35792
Victoria	18	F	35396
Victoria	18	M	37274
Victoria	19	F	37758
Victoria	19	M	39091
Victoria	20	F	39231
Victoria	20	M	40397
Victoria	21	F	40189
Victoria	21	M	41925
Victoria	22	F	40529
Victoria	22	M	42060
Victoria	23	F	41840
Victoria	23	M	42409
Victoria	24	F	42273
Victoria	24	M	42940
Victoria	25	F	43716
Victoria	25	M	43369
Victoria	26	F	44980
Victoria	26	M	43981
Victoria	27	F	44839
Victoria	27	M	42957
Victoria	28	F	45479
Victoria	28	M	43886
Victoria	29	F	44699
Victoria	29	M	43369
Victoria	30	F	46361
Victoria	30	M	44106
Victoria	31	F	46234
Victoria	31	M	44074
