STE_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
New South Wales		0	8787
New South Wales		3937	115
New South Wales		5250	539
New South Wales		7875	551
New South Wales		10500	300
New South Wales		11812	376
New South Wales		14437	560
New South Wales		18375	656
New South Wales		23625	380
New South Wales		28875	184
New South Wales		34125	118
New South Wales		39375	56
New South Wales		44625	31
New South Wales		49875	60
New South Wales	(Other)	0	3780
New South Wales	(Other)	3937	511
New South Wales	(Other)	5250	1936
New South Wales	(Other)	7875	2495
New South Wales	(Other)	10500	1460
New South Wales	(Other)	11812	4064
New South Wales	(Other)	14437	2972
New South Wales	(Other)	18375	2984
New South Wales	(Other)	23625	1549
New South Wales	(Other)	28875	734
New South Wales	(Other)	34125	371
New South Wales	(Other)	39375	201
New South Wales	(Other)	44625	117
New South Wales	(Other)	49875	289
New South Wales	Co-op/church group etc	0	1194
New South Wales	Co-op/church group etc	3937	1204
New South Wales	Co-op/church group etc	5250	2660
New South Wales	Co-op/church group etc	7875	4290
New South Wales	Co-op/church group etc	10500	1482
New South Wales	Co-op/church group etc	11812	1516
New South Wales	Co-op/church group etc	14437	1498
New South Wales	Co-op/church group etc	18375	1192
New South Wales	Co-op/church group etc	23625	403
New South Wales	Co-op/church group etc	28875	145
New South Wales	Co-op/church group etc	34125	103
New South Wales	Co-op/church group etc	39375	62
New South Wales	Co-op/church group etc	44625	35
New South Wales	Co-op/church group etc	49875	17
New South Wales	Person not in same household	0	12289
New South Wales	Person not in same household	3937	847
New South Wales	Person not in same household	5250	5992
New South Wales	Person not in same household	7875	9978
New South Wales	Person not in same household	10500	9608
New South Wales	Person not in same household	11812	12985
New South Wales	Person not in same household	14437	20755
New South Wales	Person not in same household	18375	26036
New South Wales	Person not in same household	23625	16032
New South Wales	Person not in same household	28875	9137
New South Wales	Person not in same household	34125	5406
New South Wales	Person not in same household	39375	3288
New South Wales	Person not in same household	44625	1873
New South Wales	Person not in same household	49875	3986
New South Wales	Real estate agent	0	1289
New South Wales	Real estate agent	3937	371
New South Wales	Real estate agent	5250	3835
New South Wales	Real estate agent	7875	13530
New South Wales	Real estate agent	10500	12187
New South Wales	Real estate agent	11812	29364
New South Wales	Real estate agent	14437	69812
New South Wales	Real estate agent	18375	137506
New South Wales	Real estate agent	23625	101848
New South Wales	Real estate agent	28875	62055
New South Wales	Real estate agent	34125	34858
New South Wales	Real estate agent	39375	17859
New South Wales	Real estate agent	44625	9999
New South Wales	Real estate agent	49875	16974
New South Wales	State or territory housing authority	0	5454
New South Wales	State or territory housing authority	3937	4717
New South Wales	State or territory housing authority	5250	37488
New South Wales	State or territory housing authority	7875	19845
New South Wales	State or territory housing authority	10500	8901
New South Wales	State or territory housing authority	11812	7864
New South Wales	State or territory housing authority	14437	7812
New South Wales	State or territory housing authority	18375	4982
New South Wales	State or territory housing authority	23625	1239
New South Wales	State or territory housing authority	28875	386
New South Wales	State or territory housing authority	34125	199
New South Wales	State or territory housing authority	39375	94
New South Wales	State or territory housing authority	44625	47
New South Wales	State or territory housing authority	49875	46
Victoria		0	6679
Victoria		3937	84
Victoria		5250	404
Victoria		7875	365
Victoria		10500	216
Victoria		11812	361
Victoria		14437	579
Victoria		18375	425
Victoria		23625	166
Victoria		28875	68
Victoria		34125	31
Victoria		39375	17
Victoria		44625	15
Victoria		49875	40
Victoria	(Other)	0	1927
Victoria	(Other)	3937	331
Victoria	(Other)	5250	1382
Victoria	(Other)	7875	1695
Victoria	(Other)	10500	1175
Victoria	(Other)	11812	2284
Victoria	(Other)	14437	2904
Victoria	(Other)	18375	1552
Victoria	(Other)	23625	535
Victoria	(Other)	28875	260
Victoria	(Other)	34125	120
Victoria	(Other)	39375	70
Victoria	(Other)	44625	44
Victoria	(Other)	49875	135
Victoria	Co-op/church group etc	0	609
Victoria	Co-op/church group etc	3937	603
Victoria	Co-op/church group etc	5250	1526
Victoria	Co-op/church group etc	7875	2357
Victoria	Co-op/church group etc	10500	1149
Victoria	Co-op/church group etc	11812	1196
Victoria	Co-op/church group etc	14437	811
Victoria	Co-op/church group etc	18375	366
Victoria	Co-op/church group etc	23625	144
Victoria	Co-op/church group etc	28875	53
Victoria	Co-op/church group etc	34125	25
Victoria	Co-op/church group etc	39375	23
Victoria	Co-op/church group etc	44625	6
Victoria	Co-op/church group etc	49875	7
Victoria	Person not in same household	0	10449
Victoria	Person not in same household	3937	988
Victoria	Person not in same household	5250	6186
Victoria	Person not in same household	7875	10212
Victoria	Person not in same household	10500	8532
Victoria	Person not in same household	11812	13622
Victoria	Person not in same household	14437	22684
Victoria	Person not in same household	18375	16819
Victoria	Person not in same household	23625	7528
Victoria	Person not in same household	28875	3475
Victoria	Person not in same household	34125	1656
Victoria	Person not in same household	39375	1023
Victoria	Person not in same household	44625	519
Victoria	Person not in same household	49875	1292
Victoria	Real estate agent	0	1109
Victoria	Real estate agent	3937	436
Victoria	Real estate agent	5250	3849
Victoria	Real estate agent	7875	12517
Victoria	Real estate agent	10500	12993
Victoria	Real estate agent	11812	42065
Victoria	Real estate agent	14437	113361
