STE_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
New South Wales	15-19		F	19232
New South Wales	15-19		M	21638
New South Wales	15-19	0	F	187617
New South Wales	15-19	0	M	198151
New South Wales	15-19	1	F	11466
New South Wales	15-19	1	M	10317
New South Wales	20-24		F	18622
New South Wales	20-24		M	21870
New South Wales	20-24	0	F	206823
New South Wales	20-24	0	M	214116
New South Wales	20-24	1	F	15741
New South Wales	20-24	1	M	12500
New South Wales	25-34		F	41655
New South Wales	25-34		M	48777
New South Wales	25-34	0	F	448842
New South Wales	25-34	0	M	445703
New South Wales	25-34	1	F	50463
New South Wales	25-34	1	M	32082
New South Wales	35-44		F	34406
New South Wales	35-44		M	40592
New South Wales	35-44	0	F	400640
New South Wales	35-44	0	M	408126
New South Wales	35-44	1	F	73581
New South Wales	35-44	1	M	45544
New South Wales	45-54		F	33847
New South Wales	45-54		M	38512
New South Wales	45-54	0	F	369578
New South Wales	45-54	0	M	380409
New South Wales	45-54	1	F	96102
New South Wales	45-54	1	M	59530
New South Wales	55-64		F	33279
New South Wales	55-64		M	35178
New South Wales	55-64	0	F	323819
New South Wales	55-64	0	M	336666
New South Wales	55-64	1	F	99609
New South Wales	55-64	1	M	61219
New South Wales	65-74		F	33844
New South Wales	65-74		M	32340
New South Wales	65-74	0	F	258068
New South Wales	65-74	0	M	259511
New South Wales	65-74	1	F	54640
New South Wales	65-74	1	M	38622
New South Wales	75-84		F	30391
New South Wales	75-84		M	23447
New South Wales	75-84	0	F	151007
New South Wales	75-84	0	M	129651
New South Wales	75-84	1	F	20805
New South Wales	75-84	1	M	17805
New South Wales	85+		F	21360
New South Wales	85+		M	11402
New South Wales	85+	0	F	80273
New South Wales	85+	0	M	45089
New South Wales	85+	1	F	4125
New South Wales	85+	1	M	5255
Victoria	15-19		F	15236
Victoria	15-19		M	16650
Victoria	15-19	0	F	150788
Victoria	15-19	0	M	157875
Victoria	15-19	1	F	8463
Victoria	15-19	1	M	7319
Victoria	20-24		F	14873
Victoria	20-24		M	16800
Victoria	20-24	0	F	176374
Victoria	20-24	0	M	182970
Victoria	20-24	1	F	12814
Victoria	20-24	1	M	9965
Victoria	25-34		F	33466
Victoria	25-34		M	36930
Victoria	25-34	0	F	378029
Victoria	25-34	0	M	374418
Victoria	25-34	1	F	40524
Victoria	25-34	1	M	25820
Victoria	35-44		F	26817
Victoria	35-44		M	30437
Victoria	35-44	0	F	324080
Victoria	35-44	0	M	329456
Victoria	35-44	1	F	59045
Victoria	35-44	1	M	36089
Victoria	45-54		F	26415
Victoria	45-54		M	28894
Victoria	45-54	0	F	295807
Victoria	45-54	0	M	303221
Victoria	45-54	1	F	78819
Victoria	45-54	1	M	47262
Victoria	55-64		F	25486
Victoria	55-64		M	25549
Victoria	55-64	0	F	246209
Victoria	55-64	0	M	254979
Victoria	55-64	1	F	78193
Victoria	55-64	1	M	47041
Victoria	65-74		F	26575
Victoria	65-74		M	24235
Victoria	65-74	0	F	195687
Victoria	65-74	0	M	191656
Victoria	65-74	1	F	42517
Victoria	65-74	1	M	28933
Victoria	75-84		F	23893
Victoria	75-84		M	18447
Victoria	75-84	0	F	115149
Victoria	75-84	0	M	96788
Victoria	75-84	1	F	16513
Victoria	75-84	1	M	14216
Victoria	85+		F	15432
Victoria	85+		M	8630
Victoria	85+	0	F	61789
Victoria	85+	0	M	34797
Victoria	85+	1	F	3207
Victoria	85+	1	M	4131
Queensland	15-19		F	13002
Queensland	15-19		M	14660
Queensland	15-19	0	F	124933
Queensland	15-19	0	M	130263
Queensland	15-19	1	F	7160
Queensland	15-19	1	M	6272
Queensland	20-24		F	12879
Queensland	20-24		M	15099
Queensland	20-24	0	F	135550
Queensland	20-24	0	M	137146
Queensland	20-24	1	F	9151
Queensland	20-24	1	M	7038
Queensland	25-34		F	26098
Queensland	25-34		M	31341
Queensland	25-34	0	F	273377
Queensland	25-34	0	M	268468
Queensland	25-34	1	F	29369
Queensland	25-34	1	M	18037
Queensland	35-44		F	22545
Queensland	35-44		M	27742
Queensland	35-44	0	F	254710
Queensland	35-44	0	M	253349
Queensland	35-44	1	F	43718
Queensland	35-44	1	M	26059
Queensland	45-54		F	23438
Queensland	45-54		M	27575
Queensland	45-54	0	F	244221
Queensland	45-54	0	M	248156
Queensland	45-54	1	F	55516
Queensland	45-54	1	M	32806
Queensland	55-64		F	21947
Queensland	55-64		M	23922
Queensland	55-64	0	F	203717
Queensland	55-64	0	M	212331
Queensland	55-64	1	F	56934
Queensland	55-64	1	M	34035
Queensland	65-74		F	21412
Queensland	65-74		M	21485
Queensland	65-74	0	F	160000
Queensland	65-74	0	M	164646
Queensland	65-74	1	F	32603
Queensland	65-74	1	M	22469
Queensland	75-84		F	17854
Queensland	75-84		M	14272
Queensland	75-84	0	F	82051
Queensland	75-84	0	M	74291
Queensland	75-84	1	F	11210
Queensland	75-84	1	M	10139
Queensland	85+		F	12258
Queensland	85+		M	6736
Queensland	85+	0	F	39513
Queensland	85+	0	M	22366
Queensland	85+	1	F	1991
Queensland	85+	1	M	2668
South Australia	15-19		F	3782
South Australia	15-19		M	4360
South Australia	15-19	0	F	42858
South Australia	15-19	0	M	44918
South Australia	15-19	1	F	2524
South Australia	15-19	1	M	2249
South Australia	20-24		F	3163
South Australia	20-24		M	3791
South Australia	20-24	0	F	46035
South Australia	20-24	0	M	48635
South Australia	20-24	1	F	3575
South Australia	20-24	1	M	2798
South Australia	25-34		F	6635
South Australia	25-34		M	8201
South Australia	25-34	0	F	92023
South Australia	25-34	0	M	93080
South Australia	25-34	1	F	11175
South Australia	25-34	1	M	6993
South Australia	35-44		F	5829
South Australia	35-44		M	7574
South Australia	35-44	0	F	83579
South Australia	35-44	0	M	86608
South Australia	35-44	1	F	15874
South Australia	35-44	1	M	10000
South Australia	45-54		F	6560
South Australia	45-54		M	7972
South Australia	45-54	0	F	85894
South Australia	45-54	0	M	90053
South Australia	45-54	1	F	22314
South Australia	45-54	1	M	14093
South Australia	55-64		F	6982
South Australia	55-64		M	7298
South Australia	55-64	0	F	77518
South Australia	55-64	0	M	81380
South Australia	55-64	1	F	25258
South Australia	55-64	1	M	15489
South Australia	65-74		F	7596
South Australia	65-74		M	7016
South Australia	65-74	0	F	65851
South Australia	65-74	0	M	64362
South Australia	65-74	1	F	14093
South Australia	65-74	1	M	9937
South Australia	75-84		F	7030
South Australia	75-84		M	5322
South Australia	75-84	0	F	38718
South Australia	75-84	0	M	32564
South Australia	75-84	1	F	5075
South Australia	75-84	1	M	4551
South Australia	85+		F	4667
South Australia	85+		M	2627
South Australia	85+	0	F	22453
South Australia	85+	0	M	12240
South Australia	85+	1	F	1026
South Australia	85+	1	M	1472
Western Australia	15-19		F	6364
Western Australia	15-19		M	7158
Western Australia	15-19	0	F	63071
Western Australia	15-19	0	M	67034
Western Australia	15-19	1	F	3446
Western Australia	15-19	1	M	2920
Western Australia	20-24		F	6282
Western Australia	20-24		M	7808
Western Australia	20-24	0	F	67011
Western Australia	20-24	0	M	71221
Western Australia	20-24	1	F	4481
Western Australia	20-24	1	M	3535
Western Australia	25-34		F	15606
Western Australia	25-34		M	21065
