STE_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
New South Wales	15-19				F	18008
New South Wales	15-19				M	20568
New South Wales	15-19	0			F	182074
New South Wales	15-19	0			M	199106
New South Wales	15-19	1	0	1	F	15816
New South Wales	15-19	1	0	1	M	9190
New South Wales	15-19	1	1	0	F	2206
New South Wales	15-19	1	1	0	M	1102
New South Wales	15-19	1	1	1	F	212
New South Wales	15-19	1	1	1	M	136
New South Wales	20-24				F	17455
New South Wales	20-24				M	20565
New South Wales	20-24	0			F	190527
New South Wales	20-24	0			M	212902
New South Wales	20-24	1	0	1	F	14284
New South Wales	20-24	1	0	1	M	7449
New South Wales	20-24	1	1	0	F	18099
New South Wales	20-24	1	1	0	M	7314
New South Wales	20-24	1	1	1	F	826
New South Wales	20-24	1	1	1	M	252
New South Wales	25-34				F	39049
New South Wales	25-34				M	46350
New South Wales	25-34	0			F	284523
New South Wales	25-34	0			M	350451
New South Wales	25-34	1	0	1	F	22010
New South Wales	25-34	1	0	1	M	12585
New South Wales	25-34	1	1	0	F	187571
New South Wales	25-34	1	1	0	M	114791
New South Wales	25-34	1	1	1	F	7801
New South Wales	25-34	1	1	1	M	2380
New South Wales	35-44				F	31441
New South Wales	35-44				M	38194
New South Wales	35-44	0			F	152864
New South Wales	35-44	0			M	202265
New South Wales	35-44	1	0	1	F	16174
New South Wales	35-44	1	0	1	M	8970
New South Wales	35-44	1	1	0	F	295216
New South Wales	35-44	1	1	0	M	239477
New South Wales	35-44	1	1	1	F	12936
New South Wales	35-44	1	1	1	M	5357
New South Wales	45-54				F	31522
New South Wales	45-54				M	36127
New South Wales	45-54	0			F	291627
New South Wales	45-54	0			M	284746
New South Wales	45-54	1	0	1	F	35275
New South Wales	45-54	1	0	1	M	13270
New South Wales	45-54	1	1	0	F	135653
New South Wales	45-54	1	1	0	M	141263
New South Wales	45-54	1	1	1	F	5446
New South Wales	45-54	1	1	1	M	3060
New South Wales	55-64				F	31019
New South Wales	55-64				M	33031
New South Wales	55-64	0			F	320323
New South Wales	55-64	0			M	335639
New South Wales	55-64	1	0	1	F	90443
New South Wales	55-64	1	0	1	M	36353
New South Wales	55-64	1	1	0	F	13746
New South Wales	55-64	1	1	0	M	27271
New South Wales	55-64	1	1	1	F	1175
New South Wales	55-64	1	1	1	M	767
New South Wales	65-74				F	30801
New South Wales	65-74				M	30103
New South Wales	65-74	0			F	239981
New South Wales	65-74	0			M	250666
New South Wales	65-74	1	0	1	F	71658
New South Wales	65-74	1	0	1	M	44540
New South Wales	65-74	1	1	0	F	3613
New South Wales	65-74	1	1	0	M	4854
New South Wales	65-74	1	1	1	F	501
New South Wales	65-74	1	1	1	M	316
New South Wales	75-84				F	27514
New South Wales	75-84				M	21304
New South Wales	75-84	0			F	160935
New South Wales	75-84	0			M	137739
New South Wales	75-84	1	0	1	F	12672
New South Wales	75-84	1	0	1	M	10871
New South Wales	75-84	1	1	0	F	967
New South Wales	75-84	1	1	0	M	910
New South Wales	75-84	1	1	1	F	107
New South Wales	75-84	1	1	1	M	84
New South Wales	85+				F	19701
New South Wales	85+				M	10370
New South Wales	85+	0			F	84754
New South Wales	85+	0			M	50411
New South Wales	85+	1	0	1	F	974
New South Wales	85+	1	0	1	M	720
New South Wales	85+	1	1	0	F	314
New South Wales	85+	1	1	0	M	237
New South Wales	85+	1	1	1	F	16
New South Wales	85+	1	1	1	M	13
Victoria	15-19				F	14378
Victoria	15-19				M	15802
Victoria	15-19	0			F	147309
Victoria	15-19	0			M	158339
Victoria	15-19	1	0	1	F	11328
Victoria	15-19	1	0	1	M	6793
Victoria	15-19	1	1	0	F	1340
Victoria	15-19	1	1	0	M	808
Victoria	15-19	1	1	1	F	132
Victoria	15-19	1	1	1	M	98
Victoria	20-24				F	13959
Victoria	20-24				M	15681
Victoria	20-24	0			F	166081
Victoria	20-24	0			M	182936
Victoria	20-24	1	0	1	F	11614
Victoria	20-24	1	0	1	M	6009
Victoria	20-24	1	1	0	F	11812
Victoria	20-24	1	1	0	M	4906
Victoria	20-24	1	1	1	F	594
Victoria	20-24	1	1	1	M	202
Victoria	25-34				F	31324
Victoria	25-34				M	35031
Victoria	25-34	0			F	248893
Victoria	25-34	0			M	298305
Victoria	25-34	1	0	1	F	19612
Victoria	25-34	1	0	1	M	10493
Victoria	25-34	1	1	0	F	146300
Victoria	25-34	1	1	0	M	91709
Victoria	25-34	1	1	1	F	5890
Victoria	25-34	1	1	1	M	1628
