STE_NAME16	CountryOfBirth	persons
New South Wales		747513
New South Wales	AFG	13032
New South Wales	AUS	4899202
New South Wales	BGD	24217
New South Wales	BIH	7095
New South Wales	CAN	13290
New South Wales	CHL	13058
New South Wales	CHN	234508
New South Wales	DEU	29541
New South Wales	EGY	19724
New South Wales	FJI	33879
New South Wales	FRA	11540
New South Wales	GBR	268371
New South Wales	GRC	29481
New South Wales	HKG	42347
New South Wales	HRV	15638
New South Wales	IDN	31774
New South Wales	IND	143459
New South Wales	IRL	24038
New South Wales	IRN	23048
New South Wales	IRQ	40271
New South Wales	ITA	49476
New South Wales	JPN	14008
New South Wales	KHM	12439
New South Wales	KOR	51816
New South Wales	LBN	57381
New South Wales	LKA	28732
New South Wales	MKD	16501
New South Wales	MLT	14481
New South Wales	MMR	7128
New South Wales	MUS	5731
New South Wales	MYS	31655
New South Wales	NLD	16900
New South Wales	NPL	32117
New South Wales	NZL	117136
New South Wales	PAK	24524
New South Wales	PHL	86749
New South Wales	PNG	5466
New South Wales	POL	13451
New South Wales	SGP	12730
New South Wales	THA	26719
New South Wales	TUR	12808
New South Wales	TWN	13493
New South Wales	USA	30081
New South Wales	VNM	84130
New South Wales	ZAF	43058
New South Wales	ZWE	6495
Victoria		590730
Victoria	AFG	18116
Victoria	AUS	3845510
Victoria	BGD	7829
Victoria	BIH	8487
Victoria	CAN	8967
Victoria	CHL	7416
Victoria	CHN	160652
Victoria	DEU	26308
Victoria	EGY	13282
Victoria	FJI	10825
Victoria	FRA	7144
Victoria	GBR	207953
Victoria	GRC	47240
Victoria	HKG	21642
Victoria	HRV	15486
Victoria	IDN	17805
Victoria	IND	169802
Victoria	IRL	15615
Victoria	IRN	16627
Victoria	IRQ	18637
Victoria	ITA	70527
Victoria	JPN	8515
Victoria	KHM	13587
Victoria	KOR	14797
Victoria	LBN	16684
Victoria	LKA	55830
Victoria	MKD	17631
Victoria	MLT	17873
Victoria	MMR	10973
Victoria	MUS	11812
Victoria	MYS	50049
Victoria	NLD	19813
Victoria	NPL	9390
Victoria	NZL	93253
Victoria	PAK	21125
Victoria	PHL	51290
Victoria	PNG	2611
Victoria	POL	14706
Victoria	SGP	16063
Victoria	THA	15979
Victoria	TUR	15744
Victoria	TWN	9900
