STE_NAME16	PrivateDwelling	Sex	persons
New South Wales	0	F	296934
New South Wales	0	M	312197
New South Wales	1	F	3490575
New South Wales	1	M	3369324
Victoria	0	F	222712
Victoria	0	M	215221
Victoria	1	F	2770842
Victoria	1	M	2664156
Queensland	0	F	234474
Queensland	0	M	256036
Queensland	1	F	2179684
Queensland	1	M	2090401
South Australia	0	F	59497
South Australia	0	M	62025
South Australia	1	F	783548
South Australia	1	M	755356
Western Australia	0	F	112014
Western Australia	0	M	157291
Western Australia	1	F	1127053
Western Australia	1	M	1090247
Tasmania	0	F	20104
Tasmania	0	M	20392
Tasmania	1	F	235865
Tasmania	1	M	224840
Northern Territory	0	F	23710
Northern Territory	0	M	34276
Northern Territory	1	F	95524
Northern Territory	1	M	96626
Australian Capital Territory	0	F	16997
Australian Capital Territory	0	M	18734
Australian Capital Territory	1	F	183342
Australian Capital Territory	1	M	176694
Other Territories	0	F	639
Other Territories	0	M	1103
Other Territories	1	F	1738
Other Territories	1	M	1710
