STE_NAME16	Age5yr	Indigenous	persons
New South Wales	0-4		24267
New South Wales	0-4	0	415908
New South Wales	0-4	1	24956
New South Wales	5-9		23840
New South Wales	5-9	0	428993
New South Wales	5-9	1	25354
New South Wales	10-14		21637
New South Wales	10-14	0	397416
New South Wales	10-14	1	23961
New South Wales	15-19		23065
New South Wales	15-19	0	402981
New South Wales	15-19	1	22377
New South Wales	20-24		29878
New South Wales	20-24	0	440844
New South Wales	20-24	1	18950
New South Wales	25-29		34881
New South Wales	25-29	0	477136
New South Wales	25-29	1	15146
New South Wales	30-34		33573
New South Wales	30-34	0	494168
New South Wales	30-34	1	12623
New South Wales	35-39		28717
New South Wales	35-39	0	460035
New South Wales	35-39	1	10966
New South Wales	40-44		27897
New South Wales	40-44	0	463352
New South Wales	40-44	1	11918
New South Wales	45-49		27539
New South Wales	45-49	0	453109
New South Wales	45-49	1	11793
New South Wales	50-54		27626
New South Wales	50-54	0	447290
New South Wales	50-54	1	10628
New South Wales	55-59		27198
New South Wales	55-59	0	433458
New South Wales	55-59	1	9067
New South Wales	60-64		24890
New South Wales	60-64	0	388290
New South Wales	60-64	1	6866
New South Wales	65+		82741
New South Wales	65+	0	1123322
New South Wales	65+	1	11576
Victoria	0-4		20056
Victoria	0-4	0	345682
Victoria	0-4	1	5476
Victoria	5-9		18793
Victoria	5-9	0	344437
Victoria	5-9	1	5403
Victoria	10-14		16916
Victoria	10-14	0	319146
Victoria	10-14	1	5011
Victoria	15-19		18173
Victoria	15-19	0	333364
Victoria	15-19	1	4797
Victoria	20-24		24248
Victoria	20-24	0	385278
Victoria	20-24	1	4276
Victoria	25-29		27885
Victoria	25-29	0	409748
Victoria	25-29	1	3638
Victoria	30-34		27041
Victoria	30-34	0	417988
Victoria	30-34	1	2905
Victoria	35-39		22427
Victoria	35-39	0	379048
Victoria	35-39	1	2554
Victoria	40-44		21874
Victoria	40-44	0	377333
Victoria	40-44	1	2687
Victoria	45-49		21840
Victoria	45-49	0	377469
Victoria	45-49	1	2739
Victoria	50-54		21209
Victoria	50-54	0	354838
Victoria	50-54	1	2332
Victoria	55-59		20638
Victoria	55-59	0	335057
Victoria	55-59	1	1919
Victoria	60-64		19236
Victoria	60-64	0	299051
Victoria	60-64	1	1548
Victoria	65+		66241
Victoria	65+	0	853836
Victoria	65+	1	2518
Queensland	0-4		17519
Queensland	0-4	0	257086
Queensland	0-4	1	21857
Queensland	5-9		17645
Queensland	5-9	0	276607
Queensland	5-9	1	22877
Queensland	10-14		16170
Queensland	10-14	0	261589
Queensland	10-14	1	21340
Queensland	15-19		16637
Queensland	15-19	0	260231
Queensland	15-19	1	19420
Queensland	20-24		21865
Queensland	20-24	0	278536
Queensland	20-24	1	16464
Queensland	25-29		23191
Queensland	25-29	0	284333
Queensland	25-29	1	13223
Queensland	30-34		22289
Queensland	30-34	0	292356
Queensland	30-34	1	11303
Queensland	35-39		19568
Queensland	35-39	0	275479
Queensland	35-39	1	10174
Queensland	40-44		20477
Queensland	40-44	0	291840
Queensland	40-44	1	10586
Queensland	45-49		21097
Queensland	45-49	0	291847
Queensland	45-49	1	10030
Queensland	50-54		20546
Queensland	50-54	0	279467
Queensland	50-54	1	8713
Queensland	55-59		19559
Queensland	55-59	0	265575
Queensland	55-59	1	7062
Queensland	60-64		17601
Queensland	60-64	0	237837
Queensland	60-64	1	5247
Queensland	65+		51519
Queensland	65+	0	658231
Queensland	65+	1	8194
South Australia	0-4		4614
South Australia	0-4	0	88673
South Australia	0-4	1	3787
South Australia	5-9		4533
South Australia	5-9	0	91973
South Australia	5-9	1	3963
South Australia	10-14		4208
South Australia	10-14	0	87589
South Australia	10-14	1	3668
South Australia	15-19		4403
South Australia	15-19	0	92727
South Australia	15-19	1	3553
South Australia	20-24		5193
South Australia	20-24	0	99779
South Australia	20-24	1	3011
South Australia	25-29		5474
South Australia	25-29	0	99264
South Australia	25-29	1	2624
South Australia	30-34		5517
South Australia	30-34	0	103001
South Australia	30-34	1	2226
South Australia	35-39		4973
South Australia	35-39	0	96071
South Australia	35-39	1	1768
South Australia	40-44		5012
South Australia	40-44	0	99698
South Australia	40-44	1	1939
South Australia	45-49		5668
South Australia	45-49	0	106028
South Australia	45-49	1	1921
South Australia	50-54		5708
South Australia	50-54	0	105869
South Australia	50-54	1	1693
South Australia	55-59		5935
South Australia	55-59	0	104569
South Australia	55-59	1	1396
South Australia	60-64		5416
South Australia	60-64	0	95566
South Australia	60-64	1	1048
South Australia	65+		18805
South Australia	65+	0	286203
