STE_NAME16	Age	UsualResidence	persons
New South Wales	0-14	Home	1355716
New South Wales	0-14	Visitor from ACT	457
New South Wales	0-14	Visitor from NSW	24927
New South Wales	0-14	Visitor from NT	81
New South Wales	0-14	Visitor from QLD	1810
New South Wales	0-14	Visitor from SA	244
New South Wales	0-14	Visitor from TAS	80
New South Wales	0-14	Visitor from VIC	1031
New South Wales	0-14	Visitor from WA	335
New South Wales	0-14	Visitor same SA2	1509
New South Wales	15-24	Home	891918
New South Wales	15-24	Visitor from ACT	993
New South Wales	15-24	Visitor from NSW	38193
New South Wales	15-24	Visitor from NT	220
New South Wales	15-24	Visitor from OT	7
New South Wales	15-24	Visitor from QLD	2992
New South Wales	15-24	Visitor from SA	516
New South Wales	15-24	Visitor from TAS	191
New South Wales	15-24	Visitor from VIC	2092
New South Wales	15-24	Visitor from WA	551
New South Wales	15-24	Visitor same SA2	1671
New South Wales	25-34	Home	1014208
New South Wales	25-34	Visitor from ACT	1065
New South Wales	25-34	Visitor from NSW	41163
New South Wales	25-34	Visitor from NT	214
New South Wales	25-34	Visitor from OT	3
New South Wales	25-34	Visitor from QLD	3792
New South Wales	25-34	Visitor from SA	773
New South Wales	25-34	Visitor from TAS	207
New South Wales	25-34	Visitor from VIC	3640
New South Wales	25-34	Visitor from WA	1080
New South Wales	25-34	Visitor same SA2	1389
New South Wales	35-44	Home	963758
New South Wales	35-44	Visitor from ACT	890
New South Wales	35-44	Visitor from NSW	28088
New South Wales	35-44	Visitor from NT	153
New South Wales	35-44	Visitor from OT	5
New South Wales	35-44	Visitor from QLD	3524
New South Wales	35-44	Visitor from SA	668
New South Wales	35-44	Visitor from TAS	223
New South Wales	35-44	Visitor from VIC	3655
New South Wales	35-44	Visitor from WA	907
New South Wales	35-44	Visitor same SA2	1011
New South Wales	45-54	Home	937160
New South Wales	45-54	Visitor from ACT	894
New South Wales	45-54	Visitor from NSW	27728
New South Wales	45-54	Visitor from NT	145
New South Wales	45-54	Visitor from OT	14
New South Wales	45-54	Visitor from QLD	4178
New South Wales	45-54	Visitor from SA	932
New South Wales	45-54	Visitor from TAS	349
New South Wales	45-54	Visitor from VIC	4248
New South Wales	45-54	Visitor from WA	968
New South Wales	45-54	Visitor same SA2	1085
New South Wales	55-64	Home	843001
New South Wales	55-64	Visitor from ACT	1096
New South Wales	55-64	Visitor from NSW	29141
New South Wales	55-64	Visitor from NT	111
New South Wales	55-64	Visitor from OT	13
New South Wales	55-64	Visitor from QLD	4145
New South Wales	55-64	Visitor from SA	1113
New South Wales	55-64	Visitor from TAS	620
New South Wales	55-64	Visitor from VIC	4529
New South Wales	55-64	Visitor from WA	915
New South Wales	55-64	Visitor same SA2	1044
New South Wales	65-74	Home	633984
New South Wales	65-74	Visitor from ACT	919
New South Wales	65-74	Visitor from NSW	24233
New South Wales	65-74	Visitor from NT	60
New South Wales	65-74	Visitor from OT	9
New South Wales	65-74	Visitor from QLD	3006
New South Wales	65-74	Visitor from SA	1344
New South Wales	65-74	Visitor from TAS	737
New South Wales	65-74	Visitor from VIC	5440
New South Wales	65-74	Visitor from WA	600
New South Wales	65-74	Visitor same SA2	952
New South Wales	75-84	Home	353363
New South Wales	75-84	Visitor from ACT	345
New South Wales	75-84	Visitor from NSW	13269
New South Wales	75-84	Visitor from NT	15
New South Wales	75-84	Visitor from OT	6
New South Wales	75-84	Visitor from QLD	751
New South Wales	75-84	Visitor from SA	392
New South Wales	75-84	Visitor from TAS	239
New South Wales	75-84	Visitor from VIC	2054
New South Wales	75-84	Visitor from WA	179
New South Wales	75-84	Visitor same SA2	738
New South Wales	85+	Home	158804
New South Wales	85+	Visitor from ACT	65
New South Wales	85+	Visitor from NSW	7162
New South Wales	85+	Visitor from QLD	157
New South Wales	85+	Visitor from SA	50
New South Wales	85+	Visitor from TAS	33
New South Wales	85+	Visitor from VIC	342
New South Wales	85+	Visitor from WA	27
New South Wales	85+	Visitor same SA2	400
Victoria	0-14	Home	1056154
Victoria	0-14	Visitor from ACT	54
Victoria	0-14	Visitor from NSW	900
Victoria	0-14	Visitor from NT	121
Victoria	0-14	Visitor from QLD	748
Victoria	0-14	Visitor from SA	429
Victoria	0-14	Visitor from TAS	156
Victoria	0-14	Visitor from VIC	18852
Victoria	0-14	Visitor from WA	285
Victoria	0-14	Visitor same SA2	806
Victoria	15-24	Home	736146
Victoria	15-24	Visitor from ACT	172
Victoria	15-24	Visitor from NSW	1838
Victoria	15-24	Visitor from NT	208
Victoria	15-24	Visitor from OT	8
Victoria	15-24	Visitor from QLD	1233
Victoria	15-24	Visitor from SA	806
Victoria	15-24	Visitor from TAS	422
Victoria	15-24	Visitor from VIC	27939
Victoria	15-24	Visitor from WA	602
Victoria	15-24	Visitor same SA2	1054
Victoria	25-34	Home	847766
Victoria	25-34	Visitor from ACT	340
Victoria	25-34	Visitor from NSW	2954
Victoria	25-34	Visitor from NT	188
Victoria	25-34	Visitor from QLD	1826
Victoria	25-34	Visitor from SA	982
Victoria	25-34	Visitor from TAS	318
Victoria	25-34	Visitor from VIC	30282
Victoria	25-34	Visitor from WA	845
Victoria	25-34	Visitor same SA2	834
Victoria	35-44	Home	775275
Victoria	35-44	Visitor from ACT	214
Victoria	35-44	Visitor from NSW	2928
Victoria	35-44	Visitor from NT	108
Victoria	35-44	Visitor from OT	3
Victoria	35-44	Visitor from QLD	1552
Victoria	35-44	Visitor from SA	916
Victoria	35-44	Visitor from TAS	365
Victoria	35-44	Visitor from VIC	19775
Victoria	35-44	Visitor from WA	813
Victoria	35-44	Visitor same SA2	662
Victoria	45-54	Home	749898
Victoria	45-54	Visitor from ACT	234
Victoria	45-54	Visitor from NSW	3375
Victoria	45-54	Visitor from NT	126
Victoria	45-54	Visitor from OT	3
Victoria	45-54	Visitor from QLD	2090
Victoria	45-54	Visitor from SA	1107
Victoria	45-54	Visitor from TAS	500
Victoria	45-54	Visitor from VIC	18021
Victoria	45-54	Visitor from WA	1008
Victoria	45-54	Visitor same SA2	664
Victoria	55-64	Home	640418
Victoria	55-64	Visitor from ACT	230
Victoria	55-64	Visitor from NSW	2984
Victoria	55-64	Visitor from NT	116
Victoria	55-64	Visitor from OT	3
Victoria	55-64	Visitor from QLD	1878
Victoria	55-64	Visitor from SA	1188
Victoria	55-64	Visitor from TAS	706
Victoria	55-64	Visitor from VIC	17942
Victoria	55-64	Visitor from WA	999
Victoria	55-64	Visitor same SA2	624
Victoria	65-74	Home	468479
Victoria	65-74	Visitor from ACT	154
Victoria	65-74	Visitor from NSW	1721
Victoria	65-74	Visitor from NT	71
Victoria	65-74	Visitor from OT	3
Victoria	65-74	Visitor from QLD	1177
Victoria	65-74	Visitor from SA	828
Victoria	65-74	Visitor from TAS	544
Victoria	65-74	Visitor from VIC	14728
Victoria	65-74	Visitor from WA	606
Victoria	65-74	Visitor same SA2	634
Victoria	75-84	Home	264266
Victoria	75-84	Visitor from ACT	34
